$V
      combo_index chisq_test pop_mean  density_x density_y skewness   
 [1,] 15382561405 1208.54    0.7055493 0.6443268 142.3225  0.280246   
 [2,] 15382577097 1178.502   0.7108553 0.6436769 127.0455  0.3201126  
 [3,] 15663789820 1098.214   0.7097057 0.6443068 94.70673  2.010502   
 [4,] 2348376983  1096.173   0.7102679 0.644037  101.9285  1.984584   
 [5,] 15663775540 1082.138   0.7099737 0.6440215 101.9781  1.98209    
 [6,] 918536648   1042.278   0.7096673 0.6439995 101.8886  1.937988   
 [7,] 3694925648  1024.925   0.7092801 0.6439676 101.9494  1.914773   
 [8,] 15662667877 1023.085   0.7089857 0.6439576 101.9895  1.940743   
 [9,] 15658192896 979.7536   0.7095571 0.6440607 101.6145  -0.06725995
[10,] 15663784885 955.7902   0.7075034 0.6438929 101.916   1.802129   
[11,] 15663787929 930.1939   0.7078456 0.6439155 101.768   0.306551   
[12,] 15663777941 887.6516   0.7062268 0.6439885 101.8464  0.905998   
[13,] 2740542327  886.2085   0.709947  0.6436645 79.75775  1.98386    
[14,] 2740556607  881.785    0.7096787 0.6438685 89.79522  1.973069   
[15,] 2348376389  854.5375   0.7097137 0.6453535 83.98196  1.962225   
[16,] 2348393864  853.8207   0.7156442 0.6438368 69.55994  1.962628   
[17,] 15663774946 843.8248   0.7094248 0.6453478 83.97361  1.959202   
[18,] 2348379584  838.6449   0.7159883 0.6432636 63.40458  1.968254   
[19,] 15663832745 838.1644   0.7153031 0.6438348 69.47191  1.959922   
[20,] 1790618396  828.4555   0.7111789 0.6435214 93.74434  0.6848448  

$Republican
      combo_index chisq_test pop_mean  density_x density_y skewness 
 [1,] 8955737549  553.9034   0.4733895 0.4468019 39.13838  1.823327 
 [2,] 69814652    447.3197   0.4198908 0.4129853 25.22013  2.018957 
 [3,] 20392449401 411.797    0.4522318 0.5778839 26.57053  -1.944422
 [4,] 20173830461 408.0921   0.4541103 0.5779576 26.56372  -1.935524
 [5,] 20228942003 399.7275   0.4544605 0.5727669 25.91937  -1.980512
 [6,] 20228770797 385.8795   0.4552201 0.5774188 25.84465  -1.967554
 [7,] 1988476548  352.5356   0.5090953 0.447854  28.10956  1.827627 
 [8,] 10424502956 344.9343   0.4846963 0.4476757 27.84147  1.827747 
 [9,] 8955735909  341.3198   0.4629132 0.4441077 25.09222  1.844916 
[10,] 21234899071 341.0879   0.4281559 0.5206849 37.29367  -1.817081
[11,] 17572523803 331.8108   0.4691893 0.5912988 23.53332  -1.906516
[12,] 20396887442 325.136    0.4574427 0.5823193 20.4214   -1.949786
[13,] 10229329678 321.3448   0.4573207 0.4485361 25.42411  1.758645 
[14,] 20228942014 316.9319   0.4537856 0.5753771 24.41829  -1.393438
[15,] 20392461726 314.3804   0.4547671 0.575561  24.42023  -1.896806
[16,] 22353837110 313.7485   0.430113  0.5206053 35.54325  -1.816438
[17,] 2009488921  312.9689   0.5193784 0.4461313 23.8367   1.832395 
[18,] 17572523810 311.7663   0.4813587 0.5913189 23.56709  -1.957203
[19,] 20173842786 311.0642   0.456449  0.5751937 24.41585  -1.88335 
[20,] 10143270259 308.7699   0.5154696 0.4475142 25.43509  1.785714 

$Democratic
      combo_index chisq_test pop_mean  density_x  density_y skewness 
 [1,] 69710155    687.6656   0.2862649 0.21602    82.50765  1.646348 
 [2,] 918443502   676.0649   0.2848083 0.2158829  82.47279  1.035843 
 [3,] 1309287273  666.2819   0.284631  0.215952   82.58369  1.379182 
 [4,] 9612147101  569.3442   0.2411352 0.1776182  65.95694  1.633451 
 [5,] 22353151862 564.7883   0.2085626 0.1272506  64.78268  1.768381 
 [6,] 1760652854  494.5663   0.2404082 0.1759725  59.6699   1.631508 
 [7,] 14646120466 493.1019   0.2058606 0.1282254  55.65629  1.990951 
 [8,] 20177910317 492.4754   0.1266507 0.09001365 102.3822  2.001508 
 [9,] 1948422249  492.2063   0.2428625 0.1765169  61.56857  0.2504394
[10,] 6861272991  484.3011   0.2400139 0.1772612  59.12282  1.621177 
[11,] 22353178474 478.3926   0.2089988 0.1290669  51.45438  1.745064 
[12,] 9612149884  451.1398   0.2387597 0.1750544  54.44193  1.696777 
[13,] 1934889011  448.3169   0.2417514 0.1750443  53.13769  1.710289 
[14,] 8963187815  445.0792   0.2414906 0.1766383  54.39343  1.607787 
[15,] 1948504899  435.6069   0.2402759 0.1750336  53.12096  0.3035314
[16,] 1948420025  430.8375   0.2442989 0.1768392  52.66032  0.2333851
[17,] 14645369234 421.8275   0.2060623 0.1300219  46.42755  1.990499 
[18,] 20177967922 413.2368   0.1290039 0.0898279  93.24114  1.985523 
[19,] 59000765    410.6548   0.2955637 0.2157897  55.38849  1.719874 
[20,] 20712739891 410.2254   0.283609  0.215656   48.59097  0.782188 

$Libertarian
      combo_index chisq_test pop_mean    density_x   density_y skewness 
 [1,] 9383174818  322.7868   0.01064095  0.01063251  1057.558  -2.016255
 [2,] 4511408239  306.0147   0.01260949  0.01280715  6316.469  -1.138739
 [3,] 4509452080  275.0108   0.01260764  0.01280372  5682.156  -1.132672
 [4,] 6041486185  266.8031   0.008046451 0.00719087  1124.555  1.53239  
 [5,] 16584197259 259.9534   0.01224671  0.01059443  824.3172  -1.850654
 [6,] 19196888501 256.4514   0.01036225  0.01044917  937.985   -1.99599 
 [7,] 9581297863  241.922    0.01059379  0.01050083  857.603   -2.004427
 [8,] 21266944530 231.1424   0.01219188  0.008401862 671.084   1.693426 
 [9,] 16584369036 221.5267   0.01217404  0.0105728   1106.043  -0.863754
[10,] 19196890734 211.8542   0.01229043  0.01047669  700.0219  -1.823505
[11,] 4808114854  209.5912   0.01279481  0.01283145  807.1563  -1.858514
[12,] 6070360295  202.5531   0.007566345 0.007185212 1125.714  1.267815 
[13,] 20584585976 199.5416   0.01225257  0.01283737  1592.837  -1.279193
[14,] 19199155933 198.8573   0.01223315  0.01045162  938.3155  -0.702422
[15,] 9383509561  198.7677   0.01220422  0.01071177  624.4236  -1.863413
[16,] 9581310199  197.146    0.01059939  0.01056185  718.5113  -1.996347
[17,] 9581312432  196.4692   0.01219203  0.01062959  630.2125  -1.857397
[18,] 18740965929 195.5431   0.01279682  0.01284343  1595.507  -1.710164
[19,] 13768781413 194.857    0.00778874  0.007377441 892.0133  1.002857 
[20,] 17663143955 191.9574   0.01018715  0.008608856 620.1442  2.013663 

$Reform
      combo_index chisq_test pop_mean    density_x   density_y skewness  
 [1,] 16616773309 1354.697   0.002901512 0.003735219 5838.954  1.827943  
 [2,] 16616773272 853.5847   0.002824789 0.003734418 5900.199  1.159948  
 [3,] 16607910603 723.5895   0.002813227 0.003736636 5933.561  -1.861846 
 [4,] 11181597598 706.8923   0.002812855 0.003734855 5921.295  -0.4290403
 [5,] 16612660425 697.1065   0.002831028 0.003735084 5910.863  -0.1393751
 [6,] 16595736441 696.4752   0.002816609 0.003738036 5927.089  -1.320614 
 [7,] 1.6616e+10  661.9496   0.002862057 0.00373618  5933.403  -1.891357 
 [8,] 1558685836  637.0352   0.001970794 0.003204558 3301.307  -1.967911 
 [9,] 16615476777 633.3004   0.002873624 0.003736557 5922.248  -0.7808636
[10,] 2360883419  606.9481   0.001895339 0.003188652 2144.566  1.755926  
[11,] 1.6616e+10  520.0702   0.002942374 0.003752965 2577.779  1.802738  
[12,] 2360883405  509.9904   0.001858142 0.003194602 2147.118  1.559595  
[13,] 14002397322 505.5615   0.002981723 0.003203478 3658.369  1.813709  
[14,] 16607912211 487.5876   0.002896833 0.00375681  2434.111  1.799443  
[15,] 2360796340  487.2101   0.001996544 0.00325663  2072.063  1.516298  
[16,] 1.6616e+10  479.5955   0.002924353 0.003755561 2377.317  1.805083  
[17,] 2234248417  469.0621   0.003003364 0.003207018 3441.544  1.784985  
[18,] 1593722720  462.2943   0.002145437 0.003222321 1636.248  1.803365  
[19,] 14001442172 461.5988   0.003236085 0.003200464 3657.121  1.756559  
[20,] 1558573832  448.2235   0.001939639 0.003222974 2323.243  -1.928075 

