Constituency,N,V,NP,VP
Aberdeen Central         ,57396,25285,9955,6948
Aberdeen Donside         ,56145,26845,10525,7488
Aberdeen S. and N. Kincardine,54338,28744,10937,8006
Aberdeenshire East       ,57591,30367,9869,7230
Aberdeenshire West       ,53779,28749,9678,7072
Airdrie & Shotts         ,51336,23981,5091,3526
Almond Valley            ,59896,30823,9063,6513
Angus North & Mearns     ,52124,25008,7228,5132
Angus South              ,54922,27718,7704,5781
Argyll & Bute            ,48925,26596,7642,5691
Ayr                      ,61563,33491,11406,8829
Banffshire & Buchan Coast,53698,25099,9948,7061
Caithness Sutherland & Ross,55121,28742,7323,5210
"Carrick, Cumnock & Doon Valley",59368,28814,9292,6618
Clackmannanshire & Dunblane,49415,27493,5556,4312
Clydebank & Milngavie    ,53018,28478,6719,5017
Clydesdale               ,56828,30073,7296,5397
Coatbridge & Chryston    ,51206,23384,4933,3689
Cowdenbeath              ,54284,25750,7414,5115
Cumbernauld & Kilsyth    ,48006,25323,5252,3887
Cunninghame North        ,56548,29662,8269,6109
Cunninghame South        ,50926,22136,6370,4360
Dumbarton                ,53470,28622,7198,5321
Dumfriesshire            ,59716,32007,11029,8529
Dundee City East         ,54404,25892,8906,6355
Dundee City West         ,53841,24605,8038,5801
Dunfermline              ,55479,29391,8777,6231
East Kilbride            ,58251,30014,6062,4490
East Lothian             ,56333,32294,8876,6571
Eastwood                 ,50476,32022,9365,7363
Edinburgh Central        ,53606,29238,9508,6649
Edinburgh Eastern        ,55773,30885,9882,7126
Edinburgh Northern & Leith,59138,31057,10216,6909
Edinburgh Pentlands      ,52620,30156,10009,7761
Edinburgh Southern       ,54868,34006,10790,8083
Edinburgh Western        ,56338,33604,10677,8135
"Ettrick, Roxburgh & Berwickshire",54327,28918,5794,4780
Falkirk East             ,56408,28248,5749,4261
Falkirk West             ,55739,28310,6235,4449
Galloway & West Dumfries ,56611,30120,9966,7674
Glasgow Anniesland       ,55411,24023,5970,4061
Glasgow Cathcart         ,58525,26388,5588,3906
Glasgow Kelvin           ,61893,24794,4884,3223
Glasgow Maryhill & Springburn,56622,20673,5550,3451
Glasgow Pollok           ,58429,23069,5480,3645
Glasgow Provan           ,55138,19319,5335,3297
Glasgow Shettleston      ,55874,21313,4768,3163
Glasgow Southside        ,52325,22811,5071,3343
Greenock & Inverclyde    ,56989,28340,9577,6977
"Hamilton, Larkhall & Stonehouse",56123,25446,5808,4022
Inverness & Nairn        ,62183,32830,9999,7358
Kilmarnock & Irvine Valle,63257,31984,8443,6154
Kirkcaldy                ,60079,27922,9654,6723
Linlithgow               ,65025,34295,9598,7084
Mid Fife & Glenrothes    ,53701,26421,7531,5373
Midlothian North & Musselburgh,58264,29916,8831,6336
"Midlothian South, Tweeddale",57781,31967,6772,5190
Moray                    ,56215,28708,9262,6976
Motherwell & Wishaw      ,53610,24514,5007,3418
Nah h-Eilanan an Iar     ,21833,13079,3297,2503
North East Fife          ,58858,29832,7887,5691
Orkney Islands           ,16406,8181,2043,1637
Paisley                  ,52066,25673,10064,6419
Perthshire North         ,53412,30070,7718,5947
Perthshire South & Kinross,58093,31306,8011,6170
Renfrewshire North & West,49060,27587,8410,5669
Renfrewshire South       ,50221,27032,7963,5310
Rutherglen               ,57777,27196,6574,4579
Shetland Islands         ,17505,9428,2046,1665
"Skye, Lochaber & Badenoch",57028,32069,7814,5721
Stirling                 ,52185,30515,6061,4720
Strathkelvin & Bearsden  ,59323,33901,7621,5961
Uddingston & Bellshill   ,55584,25096,5018,3090
