"","x"
"csv/EPE2014.csv total",0.0835083783745885
"csv/EPE2014.csv postal",0.406075437185885
"csv/EPE2014.csv non-postal",0.153938151918286
"csv/GE2010.csv total",0.290935342984211
"csv/GE2010.csv postal",0.945139087534081
"csv/GE2010.csv non-postal",0.288197957010656
"csv/Local elections 2014 - Electoral data - DISTRICTS.csv total",0.0812740583874961
"csv/Local elections 2014 - Electoral data - DISTRICTS.csv postal",0.163693349275266
"csv/Local elections 2014 - Electoral data - DISTRICTS.csv non-postal",0.0994386429289608
"csv/Local elections 2014 - Electoral data - LONDON.csv total",0.0870653373557614
"csv/Local elections 2014 - Electoral data - LONDON.csv postal",0.380400539788297
"csv/Local elections 2014 - Electoral data - LONDON.csv non-postal",0.0815632249123022
"csv/Local elections 2014 - Electoral data - METS.csv total",0.257072089090769
"csv/Local elections 2014 - Electoral data - METS.csv postal",0.0634626596726953
"csv/Local elections 2014 - Electoral data - METS.csv non-postal",0.264727182706128
"csv/Local elections 2014 - Electoral data - UNITARIES.csv total",0.0940704686602147
"csv/Local elections 2014 - Electoral data - UNITARIES.csv postal",0.273064134869945
"csv/Local elections 2014 - Electoral data - UNITARIES.csv non-postal",0.174038519649581
"csv/SIR2014.csv total",7.11981364316944
"csv/SIR2014.csv postal",9.86152324044884
"csv/SIR2014.csv non-postal",6.74437153753318
"csv/SP2011-c.csv total",0.741432310463523
"csv/SP2011-c.csv postal",0.122635844180135
"csv/SP2011-c.csv non-postal",0.422003756877917
"csv/SP2011-r.csv total",0.716001002791069
"csv/SP2011-r.csv postal",0.106753162333839
"csv/SP2011-r.csv non-postal",0.372724154049057
