,X,ONS.code,name,N,V,NP,VP,Region
372,409,E06000001,Hartlepool,70170,19173,9420,6236,North East
373,410,E06000002,Middlesbrough,98422,23828,11562,6882,North East
377,414,E06000003,Redcar & Cleveland,103830,30780,15972,10348,North East
379,416,E06000004,Stockton-on-Tees,142428,41913,31158,19013,North East
369,406,E06000005,Darlington,78200,23195,15530,9923,North East
344,379,E06000006,Halton,93603,26659,6671,4518,North West
364,399,E06000007,Warrington,159018,51902,26466,17436,North West
332,367,E06000008,Blackburn with Darwen,103332,39525,21439,13896,North West
333,368,E06000009,Blackpool,108675,32792,26661,17294,North West
317,350,E06000010,Kingston upon Hull,184408,49953,14260,9928,Yorkshire & the Humber
314,347,E06000011,East Riding of Yorkshire,266618,84699,28534,19299,Yorkshire & the Humber
321,354,E06000012,North East Lincolnshire,113607,35342,14754,9601,Yorkshire & the Humber
320,353,E06000013,North Lincolnshire,124505,37171,24429,15690,Yorkshire & the Humber
329,362,E06000014,York,153470,47435,14291,9844,Yorkshire & the Humber
280,311,E06000015,Derby City Council,175766,60882,29863,19370,East Midlands
290,321,E06000016,Leicester City Council,220706,70979,28152,18982,East Midlands
302,333,E06000017,Rutland County Council,28933,10304,3960,2748,East Midlands
299,330,E06000018,Nottingham City Council,196818,58332,35504,22479,East Midlands
245,274,E06000019,Herefordshire,134089,47221,18587,12768,West Midlands
262,291,E06000020,Telford & Wrekin,122321,42763,37296,23957,West Midlands
259,288,E06000021,Stoke-on-Trent,186143,43397,17803,11214,West Midlands
88,110,E06000022,Bath & North East Somerset,131218,50540,19597,13445,South West
90,112,E06000023,Bristol ,310708,114235,48333,32173,South West
105,128,E06000024,North Somerset,158487,56896,22743,14559,South West
110,133,E06000025,South Gloucestershire,204935,73411,36697,24356,South West
106,129,E06000026,Plymouth,179688,67595,33414,22603,South West
118,141,E06000027,Torbay ,104642,34009,15937,11269,South West
89,111,E06000028,Bournemouth ,132175,39783,17831,11454,South West
107,130,E06000029,Poole,114273,37244,16139,10657,South West
114,137,E06000030,Swindon ,156315,55724,28181,17323,South West
223,250,E06000031,Peterborough City Council,124044,46303,19897,13822, East of England 
217,244,E06000032,Luton Borough Council,132825,40073,15640,9553, East of England 
227,254,E06000033,Southend Borough Council,129688,43370,17212,11656, East of England 
234,261,E06000034,Thurrock Borough Council,109359,38157,15392,9799, East of England 
155,180,E06000035,Medway ,193650,65257,32615,19905,South East
130,155,E06000036,Bracknell Forest,84702,27823,12747,8303,South East
185,210,E06000037,West Berkshire,114388,40464,21670,13986,South East
162,187,E06000038,Reading,118074,38858,17405,10924,South East
170,195,E06000039,Slough ,90059,33097,12103,7529,South East
165,190,E06000040,Royal Borough of Windsor & Maidenhead,102320,36155,13640,8923,South East
189,214,E06000041,Wokingham,118842,46463,19783,12967,South East
157,182,E06000042,Milton Keynes,179683,65481,27527,19015,South East
131,156,E06000043,Brighton & Hove ,200433,76030,35342,22282,South East
161,186,E06000044,Portsmouth,143620,47674,17724,12070,South East
173,198,E06000045,Southampton,167714,55954,24108,16707,South East
152,177,E06000046,Isle of Wight ,111879,35600,17117,11155,South East
370,407,E06000047,Durham,399294,110552,81691,51185,North East
376,413,E06000048,Northumberland,242792,78693,49970,32678,North East
338,373,E06000049,Cheshire East,284213,92865,50662,32750,North West
339,374,E06000050,Cheshire West and Chester,253856,79381,31419,20271,North West
254,283,E06000051,Shropshire,226841,78338,34281,23036,West Midlands
93,115,E06000052,Cornwall,407477,147278,69316,48485,South West
100,123,E06000053,Isles of Scilly,1669,532,121,74,South West
124,147,E06000054,Wiltshire,353735,130777,62228,41086,South West
194,221,E06000055,Bedford Borough Council,119150,40724,18923,12430, East of England 
202,229,E06000056,Central Bedfordshire,201913,66784,30360,19589, East of England 
128,153,E07000004,Aylesbury Vale,135629,47876,18755,12938,South East
135,160,E07000005,Chiltern,72940,28532,9105,6436,South East
171,196,E07000006,South Bucks,52050,17787,8440,5653,South East
191,216,E07000007,Wycombe ,126005,41381,15282,9593,South East
200,227,E07000008,Cambridge City Council,84292,37265,11549,8608, East of England 
206,233,E07000009,East Cambs District Council,62835,21074,6488,4277, East of England 
209,236,E07000010,Fenland District Council ,69659,23201,10904,7518, East of England 
214,241,E07000011,Huntingdonshire District Council,126882,45891,14316,9767, East of England 
225,252,E07000012,South Cambs District Council,111666,47743,15396,10330, East of England 
330,365,E07000026,Allerdale,69633,25156,15758,9924,North West
331,366,E07000027,Barrow-in-Furness,52467,12405,3345,2310,North West
337,372,E07000028,Carlisle,84704,29152,14094,9936,North West
341,376,E07000029,Copeland,53867,18399,10078,6470,North West
342,377,E07000030,Eden,41517,13449,4901,3297,North West
358,393,E07000031,South Lakeland,80154,35868,17294,12732,North West
269,300,E07000032,Amber Valley,98256,36075,20100,13033,East Midlands
273,304,E07000033,Bolsover,57243,15612,6770,4495,East Midlands
277,308,E07000034,Chesterfield,80634,24832,13996,9424,East Midlands
281,312,E07000035,Derbyshire Dales Dc,57062,22564,10224,7116,East Midlands
284,315,E07000036,Erewash,85209,29103,15197,10526,East Midlands
287,318,E07000037,High Peak,71890,24635,11303,7780,East Midlands
295,326,E07000038,North East Derbyshire,79331,25006,11624,8088,East Midlands
303,334,E07000039,South Derbyshire District Council,74063,24204,11109,6940,East Midlands
95,117,E07000040,East Devon,99143,41088,12425,9374,South West
97,119,E07000041,Exeter,86101,35138,14136,10117,South West
102,125,E07000042,Mid Devon ,59599,22096,8946,6009,South West
103,126,E07000043,North Devon ,74361,27321,10674,7418,South West
111,134,E07000044,South Hams,67649,28065,9219,6403,South West
116,139,E07000045,Teignbridge ,101476,39393,17577,12283,South West
119,142,E07000046,Torridge ,51583,19910,7618,5361,South West
120,143,E07000047,West Devon ,42709,18111,7019,5001,South West
92,114,E07000048,Christchurch,39435,14941,6734,4690,South West
96,118,E07000049,East Dorset ,71982,27847,11477,8227,South West
104,127,E07000050,North Dorset ,51784,20743,7671,5410,South West
108,131,E07000051,Purbeck District Council,35853,14676,4915,3334,South West
121,144,E07000052,West Dorset ,80548,32744,11451,8277,South West
123,146,E07000053,Weymouth & Portland,49592,18111,6333,4667,South West
140,165,E07000061,Eastbourne,70976,26225,13400,9498,South East
149,174,E07000062,Hastings,59949,22935,10760,7442,South East
153,178,E07000063,Lewes ,75223,29183,11539,7794,South East
164,189,E07000064,Rother ,70082,27127,8960,6289,South East
184,209,E07000065,Wealden,117333,44557,19701,13156,South East
193,220,E07000066,Basildon District Council,131950,42450,14730,9488, East of England 
195,222,E07000067,Braintree District Council,110249,37521,15720,10036, East of England 
197,224,E07000068,Brentwood Borough Council,58238,22885,6921,4579, East of England 
201,228,E07000069,Castle Point Borough Council,67670,24012,9337,6583, East of England 
203,230,E07000070,Chelmsford Borough Council,128335,43711,14805,9910, East of England 
204,231,E07000071,Colchester Borough Council,123218,45646,17739,12412, East of England 
208,235,E07000072,Epping Forest District Council,97320,34614,8274,6050, East of England 
212,239,E07000073,Harlow Council,60664,20786,8357,5884, East of England 
218,245,E07000074,Maldon District Council,47824,17350,5653,3613, East of England 
224,251,E07000075,Rochford District Council,66054,23893,10803,7177, East of England 
232,259,E07000076,Tendring District Council,110610,40191,15960,11187, East of England 
235,262,E07000077,Uttlesford District Council,62452,22872,8386,5711, East of England 
91,113,E07000078,Cheltenham,86681,33308,16530,11655,South West
94,116,E07000079,Cotswold ,68026,26052,12668,8190,South West
98,120,E07000080,Forest of Dean,65876,23775,10764,6982,South West
99,122,E07000081,Gloucester ,90598,31762,17907,11908,South West
113,136,E07000082,Stroud ,90314,38244,14383,9813,South West
117,140,E07000083,Tewkesbury ,65589,22950,8785,6058,South West
129,154,E07000084,Basingstoke and Deane ,129832,47421,19522,13101,South East
139,164,E07000085,East Hampshire ,87320,32126,13785,8900,South East
141,166,E07000086,Eastleigh ,97495,37523,19142,13280,South East
144,169,E07000087,Fareham,89945,35036,12480,9098,South East
145,170,E07000088,Gosport,62834,21149,6914,4933,South East
148,173,E07000089,Hart ,69411,27274,9344,6513,South East
150,175,E07000090,Havant,94930,31063,12073,8628,South East
159,184,E07000091,New Forest ,142683,50638,19599,13431,South East
167,192,E07000092,Rushmoor,65349,22541,9947,6324,South East
178,203,E07000093,Test Valley ,92664,34446,17236,11248,South East
187,212,E07000094,Winchester City,92203,39913,16243,10388,South East
199,226,E07000095,Broxbourne Borough Council,69639,23044,11099,7498, East of England 
205,232,E07000096,Dacorum Borough Council,109482,36325,15235,9552, East of England 
213,240,E07000098,Hertsmere Borough Council,75789,26469,10775,6652, East of England 
220,247,E07000099,North Herts District Council,98280,37086,15415,9849, East of England 
228,255,E07000100,St Albans City Council,104688,45375,17520,13545, East of England 
233,260,E07000102,Three Rivers District Council,67246,25436,8246,5573, East of England 
236,263,E07000103,Watford Borough Council,65442,25274,11031,7381, East of England 
238,265,E07000104,Welwyn Hatfield Council,79039,28786,13041,8966, East of England 
127,152,E07000105,Ashford,88719,31483,11520,7755,South East
132,157,E07000106,Canterbury,111683,39270,11526,8236,South East
137,162,E07000107,Dartford,71466,26457,11140,7419,South East
138,163,E07000108,Dover ,84784,33225,14162,10079,South East
146,171,E07000109,Gravesham,72854,26090,10790,6949,South East
154,179,E07000110,Maidstone ,108834,43448,19407,13042,South East
168,193,E07000111,Sevenoaks ,85939,32211,11656,7769,South East
169,194,E07000112,Shepway,80063,30489,16258,10769,South East
176,201,E07000113,Swale ,97554,32712,12601,8554,South East
179,204,E07000114,Thanet,98854,35949,11281,8083,South East
180,205,E07000115,Tonbridge and Malling,86772,31720,13519,9304,South East
181,206,E07000116,Tunbridge Wells ,80452,32005,12951,8747,South East
335,370,E07000117,Burnley,66527,21961,10054,6621,North West
340,375,E07000118,Chorley,81958,32564,23207,15796,North West
343,378,E07000119,Fylde,60517,21429,12196,8288,North West
345,380,E07000120,Hyndburn,60157,22452,10388,7026,North West
347,382,E07000121,Lancaster,103044,35176,13701,10215,North West
351,386,E07000122,Pendle,66340,26154,10975,7728,North West
352,387,E07000123,Preston,97044,33621,18894,12403,North West
353,388,E07000124,Ribble Valley,45760,15158,4309,2842,North West
355,390,E07000125,Rossendale,52541,18548,8477,5973,North West
359,394,E07000126,South Ribble,85732,28070,16244,10419,North West
365,400,E07000127,West Lancashire,86697,31023,15237,11037,North West
368,403,E07000128,Wyre,85415,30097,20639,13499,North West
272,303,E07000129,Blaby,73121,23641,9360,6249,East Midlands
276,307,E07000130,Charnwood,133336,40506,15243,10008,East Midlands
286,317,E07000131,Harborough,67096,24342,12487,7864,East Midlands
288,319,E07000132,Hinckley & Bosworth Borough,84868,27229,13828,8983,East Midlands
293,324,E07000133,Melton Borough Council,39419,12510,4125,2858,East Midlands
297,328,E07000134,North West Leicestershire,72506,22812,8364,5478,East Midlands
300,331,E07000135,Oadby & Wigston Borough Council,44689,14829,6963,4614,East Midlands
274,305,E07000136,Boston,44081,14697,6865,4455,East Midlands
282,313,E07000137,East Lindsey Dc,105758,35632,16103,10163,East Midlands
291,322,E07000138,Lincoln,62156,19061,7441,5449,East Midlands
296,327,E07000139,North Kesteven District Council,84235,26240,7721,5493,East Midlands
304,335,E07000140,South Holland,65090,21498,8547,5169,East Midlands
305,336,E07000141,South Kesteven District Council,105107,34053,18890,11967,East Midlands
308,339,E07000142,West Lindsey District Council,73320,23129,10436,6709,East Midlands
196,223,E07000143,Breckland District Council,94755,34196,11847,7793, East of England 
198,225,E07000144,Broadland District Council,98103,35332,14353,9664, East of England 
211,238,E07000145,Great Yarmouth Borough Council,71903,26248,10662,7517, East of England 
216,243,E07000146,Kings Lynn & West Norfolk Borough Council ,112438,39373,15812,10855, East of England 
221,248,E07000147,North Norfolk District Council,81866,32611,9827,6966, East of England 
222,249,E07000148,Norwich City Council,103801,38729,21217,14467, East of England 
226,253,E07000149,South Norfolk Council,99147,37533,17023,11375, East of England 
278,309,E07000150,Corby,43428,14692,8903,5943,East Midlands
279,310,E07000151,Daventry,60665,23124,10356,7126,East Midlands
283,314,E07000152,East Northamptonshire Dc,65203,23697,13236,9225,East Midlands
289,320,E07000153,Kettering,70374,24100,16724,10848,East Midlands
298,329,E07000154,Northampton Borough Council,144008,48631,28127,18116,East Midlands
306,337,E07000155,South Northamptonshire District,68912,25575,11980,7909,East Midlands
307,338,E07000156,Wellingborough Borough Council,52929,18531,9072,6283,East Midlands
312,345,E07000163,Craven,44473,17098,7357,5003,Yorkshire & the Humber
315,348,E07000164,Hambleton,70942,24577,12419,8127,Yorkshire & the Humber
316,349,E07000165,Harrogate,117772,44614,21693,14662,Yorkshire & the Humber
322,355,E07000166,Richmondshire,35643,11645,5172,3370,Yorkshire & the Humber
324,357,E07000167,Ryedale,40421,13887,7054,4629,Yorkshire & the Humber
325,358,E07000168,Scarborough,84236,26236,12535,8354,Yorkshire & the Humber
326,359,E07000169,Selby,65954,21180,11609,7399,Yorkshire & the Humber
270,301,E07000170,Ashfield,88429,26767,14420,9217,East Midlands
271,302,E07000171,Bassetlaw,84762,28481,13691,8913,East Midlands
275,306,E07000172,Broxtowe,81239,30695,13669,9532,East Midlands
285,316,E07000173,Gedling,86012,29552,13321,8805,East Midlands
292,323,E07000174,Mansfield,77133,21914,11726,7365,East Midlands
294,325,E07000175,Newark & Sherwood District Council,85889,30987,14818,9713,East Midlands
301,332,E07000176,Rushcliffe Borough Council,85939,34693,24748,17447,East Midlands
