ONS ward no,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature) ,PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature) ,PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned,Postal voting statement unreturned,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,
E05000026,Barking & Dagenham,Abbey,8672,3193,36.8,3183,36.7,3204,36.9,0,4,0,6,0,10,1159,9,0,1168,10,773,9,2,7,0,0,20,0,813,0,5,29,762,34,N/A,N/A,118,3,66,N/A,N/A,N/A,N/A,N/A,28,50,19,267,118,74,0,0,Xpress,Xpress,84,,,,
E05000027,Barking & Dagenham,Alibon,7210,2471,34.3,2453,34.0,2496,34.6,0,2,0,16,0,18,964,1,0,965,2,628,10,0,1,0,0,5,0,644,0,6,26,603,32,,,,,,,,,,,,,,,,,,,,,,,,,
E05000028,Barking & Dagenham,Becontree,8601,3169,36.8,3161,36.8,3176,36.9,0,3,0,5,0,8,1302,3,0,1305,5,872,16,0,3,0,0,5,0,896,0,2,33,865,35,,,,,,,,,,,,,,,,,,,,,,,,,
E05000029,Barking & Dagenham,Chadwell Heath,7424,2710,36.5,2700,36.4,2724,36.7,0,4,0,6,0,10,1018,3,0,1021,6,685,14,2,1,0,0,11,0,715,0,6,33,671,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05000030,Barking & Dagenham,Eastbrook,7757,2833,36.5,2826,36.4,2870,37.0,0,3,0,4,0,7,1117,1,0,1118,5,773,5,0,1,0,0,7,0,786,0,9,39,736,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05000031,Barking & Dagenham,Eastbury,7962,2757,34.6,2750,34.5,2797,35.1,0,2,0,5,0,7,1215,3,0,1218,3,829,9,0,3,0,0,5,0,846,0,9,28,789,37,,,,,,,,,,,,,,,,,,,,,,,,,
E05000032,Barking & Dagenham,Gascoigne,7319,2750,37.6,2733,37.3,2777,37.9,0,8,0,9,0,17,1080,3,0,1083,5,677,28,1,2,0,0,3,0,712,0,3,29,650,32,,,,,,,,,,,,,,,,,,,,,,,,,
E05000033,Barking & Dagenham,Goresbrook,7812,2713,34.7,2707,34.7,2722,34.8,0,2,0,4,0,6,1216,3,0,1219,6,744,8,2,1,0,0,1,0,748,0,4,29,735,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05000034,Barking & Dagenham,Heath,7523,2629,34.9,2615,34.8,2654,35.3,0,5,0,9,0,14,951,1,0,952,10,630,9,1,0,0,0,4,0,644,0,2,18,605,20,,,,,,,,,,,,,,,,,,,,,,,,,
E05000035,Barking & Dagenham,LONGBRIDGE,8287,3621,43.7,3617,43.6,3629,43.8,0,2,0,2,0,4,1202,2,0,1204,3,820,8,0,2,0,0,2,0,832,0,9,27,812,36,,,,,,,,,,,,,,,,,,,,,,,,,
E05000036,Barking & Dagenham,Mayesbrook,7093,2432,34.3,2422,34.1,2441,34.4,0,0,0,10,0,10,909,3,0,912,6,585,11,1,2,0,0,4,0,604,0,5,13,576,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05000037,Barking & Dagenham,Parsloes,6901,2285,33.1,2271,32.9,2307,33.4,0,5,0,9,0,14,920,2,0,922,3,589,11,0,2,0,0,2,0,604,0,7,15,567,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05000038,Barking & Dagenham,River,7339,2622,35.7,2609,35.5,2641,36.0,0,1,0,12,0,13,1041,0,0,1041,1,702,3,0,0,0,0,2,0,707,0,4,19,683,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05000039,Barking & Dagenham,Thames,7017,2626,37.4,2620,37.3,2644,37.7,0,3,0,3,0,6,999,0,0,999,3,641,12,0,0,0,0,6,0,659,0,9,33,623,42,,,,,,,,,,,,,,,,,,,,,,,,,
E05000040,Barking & Dagenham,Valence,7344,2554,34.8,2552,34.7,2589,35.3,0,0,0,2,0,2,1065,2,0,1067,7,715,14,2,0,0,0,6,0,739,0,11,31,680,42,,,,,,,,,,,,,,,,,,,,,,,,,
E05000041,Barking & Dagenham,Village,7409,2956,39.9,2940,39.7,2966,40.0,0,0,0,16,0,16,911,5,0,916,7,619,8,0,5,0,0,5,0,637,0,1,30,609,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05000042,Barking & Dagenham,Whalebone,7427,2796,37.6,2788,37.5,2829,38.1,0,4,0,4,0,8,1029,2,0,1031,5,684,14,0,2,0,0,3,0,703,0,5,27,651,32,,,,,,,,,,,,,,,,,,,,,,,,,
E05000043,Barnet,Brunswick Park,11939,4811,40.3,4776,40.0,4903,41.1,0,1,0,34,0,35,2192,4,0,2196,1,1486,16,4,0,0,0,2,0,22,0,3,91,1394,92,854,212,537,5,135,08/05/2014,10/05/2014,1499,N/A,Yes,19,44,16,642,482,226,4,59,Xpress,Xpress,152,,,,
E05000044,Barnet,Burnt Oak,11613,4146,35.7,4108,35.4,4263,36.7,0,2,0,36,0,38,2218,1,0,2219,0,1486,16,1,0,0,0,17,0,34,0,8,115,1369,117,,,,,,,,,,,,,,,,,,,,,,,,,
E05000045,Barnet,Childs Hill,11435,4746,41.5,4709,41.2,4817,42.1,0,7,0,30,0,37,1993,4,0,1997,7,1388,18,4,2,0,0,16,0,40,0,8,63,1317,71,,,,,,,,,,,,,,,,,,,,,,,,,
E05000046,Barnet,Colindale -deferred,,,,,,,,0,4,0,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000047,Barnet,Coppetts,11552,4748,41.1,4710,40.8,4812,41.7,0,7,0,31,0,38,1792,8,0,1800,3,1262,10,8,1,0,0,6,0,25,0,3,61,1198,64,,,,,,,,,,,,,,,,,,,,,,,,,
E05000048,Barnet,EAST BARNET,11777,4935,41.9,4891,41.5,5010,42.5,0,1,2,41,0,44,2210,5,0,2215,4,1550,16,5,1,0,0,4,0,26,0,3,72,1475,75,,,,,,,,,,,,,,,,,,,,,,,,,
E05000049,Barnet,East Finchley,11044,4749,43.0,4717,42.7,4804,43.5,0,4,0,28,0,32,1690,2,0,1692,1,1167,15,2,1,0,0,10,0,28,0,11,44,1112,55,,,,,,,,,,,,,,,,,,,,,,,,,
E05000050,Barnet,Edgware,11116,4502,40.5,4476,40.3,4577,41.2,0,5,0,21,0,26,2527,2,0,2529,3,1744,18,2,1,0,0,23,0,44,0,4,71,1669,75,,,,,,,,,,,,,,,,,,,,,,,,,
E05000051,Barnet,Finchley Church End,11215,4565,40.7,4555,40.6,4641,41.4,0,1,0,9,0,10,2082,3,0,2085,3,1469,13,3,0,0,0,9,0,25,0,11,65,1393,76,,,,,,,,,,,,,,,,,,,,,,,,,
E05000052,Barnet,Garden Suburb,10834,4583,42.3,4549,42.0,4647,42.9,0,2,0,32,0,34,2142,1,0,2143,1,1438,9,1,1,0,0,15,0,26,0,3,61,1374,64,,,,,,,,,,,,,,,,,,,,,,,,,
E05000053,Barnet,Golders Green,10283,3990,38.8,3953,38.4,4041,39.3,0,9,3,25,0,37,2026,1,0,2027,5,1407,10,1,0,0,0,12,0,23,0,4,47,1356,51,,,,,,,,,,,,,,,,,,,,,,,,,
E05000054,Barnet,Hale,11550,5013,43.4,4967,43.0,5124,44.4,0,4,0,42,0,46,2530,4,0,2534,2,1781,19,4,0,0,0,14,0,37,0,9,102,1670,111,,,,,,,,,,,,,,,,,,,,,,,,,
E05000055,Barnet,Hendon,11306,4183,37.0,4167,36.9,4247,37.6,0,2,0,14,0,16,2051,3,0,2054,1,1394,16,3,1,0,0,4,0,24,0,6,58,1330,64,,,,,,,,,,,,,,,,,,,,,,,,,
E05000056,Barnet,High Barnet,11102,5285,47.6,5250,47.3,5340,48.1,0,3,1,31,0,35,1905,3,0,1908,2,1445,3,3,0,0,0,7,0,13,0,6,49,1390,55,,,,,,,,,,,,,,,,,,,,,,,,,
E05000057,Barnet,Mill Hill,12236,4931,40.3,4909,40.1,5023,41.1,0,7,0,15,0,22,2407,4,0,2411,2,1705,14,4,0,0,0,5,0,23,0,12,80,1613,92,,,,,,,,,,,,,,,,,,,,,,,,,
E05000058,Barnet,Oakleigh,11462,4665,40.7,4657,40.6,4742,41.4,0,1,1,6,0,8,1984,7,0,1991,6,1362,14,7,3,0,0,8,0,32,0,3,74,1285,77,,,,,,,,,,,,,,,,,,,,,,,,,
E05000059,Barnet,Totteridge,10398,4242,40.8,4232,40.7,4309,41.4,0,3,1,6,0,10,2113,4,0,2117,8,1467,6,4,2,0,0,15,0,27,0,8,59,1400,67,,,,,,,,,,,,,,,,,,,,,,,,,
E05000060,Barnet,Underhill,11531,4935,42.8,4922,42.7,4989,43.3,0,2,0,11,0,13,2134,4,0,2138,1,1522,15,4,1,0,0,11,0,31,0,2,52,1468,54,,,,,,,,,,,,,,,,,,,,,,,,,
E05000061,Barnet,West Finchley,9936,4441,44.7,4425,44.5,4480,45.1,0,4,0,12,0,16,1882,4,0,1886,3,1297,14,4,1,0,0,10,0,29,0,6,33,1258,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05000062,Barnet,WEST HENDON,11250,4275,38.0,4246,37.7,4371,38.9,0,11,1,17,0,29,2083,3,0,2086,0,1459,16,3,0,0,0,5,0,24,0,8,88,1363,96,,,,,,,,,,,,,,,,,,,,,,,,,
E05000063,Barnet,Woodhouse,11884,4979,41.9,4963,41.8,5056,42.5,0,5,0,11,0,16,2201,10,0,2211,5,1538,18,10,4,0,0,12,0,44,0,12,65,1461,77,,,,,,,,,,,,,,,,,,,,,,,,,
E05000064,Bexley,Barnehurst,7059,2590,36.7,2560,36.3,2656,37.6,6,9,0,15,0,30,1207,0,0,1207,4,889,16,0,0,0,0,6,296,1207,889,0,18,823,60,142,10,208,5,274,08/05/2014,09/05/2014,1599,290,Yes,37,12,106,149,98,46,663,174,Idox Strand,Idox Strand - Selcheck,123,,,,
E05000065,Bexley,Belvedere,7768,2652,34.1,2637,33.9,2715,35.0,0,6,0,9,0,15,1086,0,0,1086,6,795,26,0,0,0,0,12,253,1086,795,0,18,732,71,,,,,,,,,,,,,,,,,,,,,,,,,
E05000066,Bexley,Blackfen & Lamorbey,6321,2382,37.7,2370,37.5,2424,38.3,0,3,0,9,0,12,980,0,0,980,8,695,13,0,0,0,0,2,270,980,695,0,17,653,60,,,,,,,,,,,,,,,,,,,,,,,,,
E05000067,Bexley,Blendon & Penhill,7316,2668,36.5,2651,36.2,2714,37.1,0,6,0,11,0,17,1141,0,0,1141,6,827,16,0,0,0,0,5,293,1141,827,0,15,781,64,,,,,,,,,,,,,,,,,,,,,,,,,
E05000068,Bexley,Brampton,7284,2949,40.5,2909,39.9,2981,40.9,0,6,3,31,0,40,1302,0,0,1302,7,966,31,0,0,0,0,4,301,1302,966,0,16,934,58,,,,,,,,,,,,,,,,,,,,,,,,,
E05000069,Bexley,Christchurch,7352,2483,33.8,2462,33.5,2510,34.1,0,0,0,21,0,21,1380,1,0,1381,10,989,17,0,1,0,0,5,369,1381,989,0,13,962,56,,,,,,,,,,,,,,,,,,,,,,,,,
