ONS ward No.,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both) ,Ballot paper not returned,Postal voting statement unreturned,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,
E05000976,Barnsley,Central,"8,530","2,390",28.0,"2,370",27.8,"2,419",28.4,,5,,15,,20,1273,,,1273,,879,12,,,,,7,375,1273,879,12,7,850,29,204,20,132,1,164,02/05/2014,13/05/2014,1314,195,no,113,33,240,217,165,39,118,40,Idox ,Selcheck,150,,,,
E05000977,Barnsley,Cudworth,"8,412","2,293",27.3,"2,266",26.9,"2,333",27.7,,1,,26,,27,1288,,,1288,,882,10,,,,,5,391,1288,882,19,11,842,40,,,,,,,,,,,,,,,,,,,,,,,,,
E05000978,Barnsley,Darfield,"8,151","2,343",28.7,"2,311",28.4,"2,372",29.1,,3,,29,,32,1360,,,1360,,866,3,,,,,2,479,1360,876,14,18,837,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05000979,Barnsley,Darton East,"8,471","2,678",31.6,"2,643",31.2,"2,730",32.2,,2,,33,,35,1560,,,1560,,1069,12,,,,,5,474,1560,1069,30,17,1017,52,,,,,,,,,,,,,,,,,,,,,,,,,
E05000980,Barnsley,Darton West,"8,264","2,684",32.5,"2,659",32.2,"2,718",32.9,,5,,20,,25,1532,,,1532,,994,16,,,,,2,520,1532,994,18,13,960,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05000981,Barnsley,Dearne North,"8,210","2,045",24.9,"2,034",24.8,"2,086",25.4,,2,,9,,11,1221,,,1221,,871,14,,,,,3,333,1221,871,9,23,830,41,,,,,,,,,,,,,,,,,,,,,,,,,
E05000982,Barnsley,Dearne South,"8,989","2,279",25.4,"2,230",24.8,"2,319",25.8,,9,,40,,49,1598,,,1598,,1033,19,,,,,2,544,1598,1033,17,19,993,40,,,,,,,,,,,,,,,,,,,,,,,,,
E05000983,Barnsley,Dodworth,"8,142","2,833",34.8,"2,825",34.7,"2,870",35.2,,2,,6,,8,1610,1,,1611,,1121,8,,1,,,7,474,1611,1121,18,15,1084,37,,,,,,,,,,,,,,,,,,,,,,,,,
E05000984,Barnsley,Hoyland Milton,"9,363","2,865",30.6,"2,847",30.4,"2,922",31.2,,1,,17,,18,1686,1,,1687,,1177,17,1,,,,4,488,1687,1177,20,27,1120,57,,,,,,,,,,,,,,,,,,,,,,,,,
E05000985,Barnsley,Kingstone,"8,109","2,203",27.2,"2,185",26.9,"2,247",27.7,,,,18,,18,1162,,,1162,,765,5,,,,,10,382,1162,765,14,21,721,44,,,,,,,,,,,,,,,,,,,,,,,,,
E05000986,Barnsley,Monk Bretton,"8,509","2,278",26.8,"2,188",25.7,"2,326",27.3,,9,,81,,90,1366,2,,1368,,920,10,,2,,,3,433,1368,920,19,18,872,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05000987,Barnsley,North East,"10,221","2,884",28.2,"2,863",28.0,"2,958",28.9,,3,,18,,21,1558,1,,1559,,1062,10,,1,,,9,477,1559,1062,15,43,988,74,,,,,,,,,,,,,,,,,,,,,,,,,
E05000988,Barnsley,Old Town,"8,514","2,569",30.2,"2,554",30.0,"2,619",30.8,,2,,13,,15,1606,2,,1606,,1043,27,,2,,,5,531,1608,1043,21,22,993,50,,,,,,,,,,,,,,,,,,,,,,,,,
E05000989,Barnsley,Penistone East,"9,287","3,467",37.3,"3,445",37.1,"3,507",37.8,,4,,18,,22,1839,1,,1840,,1249,16,,1,,,1,573,1840,1249,21,12,1209,40,,,,,,,,,,,,,,,,,,,,,,,,,
E05000990,Barnsley,Penistone West,"9,557","3,529",36.9,"3,514",36.8,"3,580",37.5,,2,,13,,15,1762,2,,1764,,1233,14,,2,,,5,510,1764,1233,19,30,1182,51,,,,,,,,,,,,,,,,,,,,,,,,,
E05000991,Barnsley,Rockingham,"8,695","2,856",32.8,"2,840",32.7,"2,904",33.4,,3,,13,,16,1602,,,1602,,1148,15,,,,,8,431,1602,1148,18,24,1100,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05000992,Barnsley,Royston,"8,352","2,334",27.9,"2,325",27.8,"2,388",28.6,,1,,8,,9,1389,,,1389,,966,13,,,,,10,400,1389,966,22,19,912,54,,,,,,,,,,,,,,,,,,,,,,,,,
E05000993,Barnsley,St. Helens,"7,945","1,943",24.5,"1,930",24.3,"1,993",25.1,,3,,10,,13,1197,,,1197,,837,10,,,,,2,348,1197,837,18,28,787,50,,,,,,,,,,,,,,,,,,,,,,,,,
E05000994,Barnsley,Stairfoot,"9,025","2,255",25.0,"2,183",24.2,"2,303",25.5,,7,,65,,72,1546,,,1546,,1024,15,,,,,3,504,1546,1024,20,19,976,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05000995,Barnsley,Wombwell,"9,207","2,471",26.8,"2,461",26.7,"2,534",27.5,,1,,9,,10,1584,,,1584,,1120,11,,,,,2,451,1584,1120,30,27,1057,63,,,,,,,,,,,,,,,,,,,,,,,,,
E05000996,Barnsley,Worsborough,"7,550","2,283",30.2,"2,262",30.0,"2,309",30.6,,3,,18,,21,1151,,,1151,,803,8,,,,,2,338,1151,803,12,8,777,26,,,,,,,,,,,,,,,,,,,,,,,,,
E05001178,Birmingham,Acocks Green,"19,477","5,921",30.4,"5,866",30.1,"5,995",30.8,,13,,42,,55,1366,1,,1367,,899,42,,1,,,3,422,1367,828,5,20,825,21,n/a,,526,,394,12/05/2014,12/05/2014,,1271,no,84,73,200,335,394,196,1183,,Halarose,Idox,460,,,,
E05001179,Birmingham,Aston,"20,310","6,150",30.3,"6,076",29.9,"6,350",31.3,40,32,2,,,74,1601,5,,1606,,1116,70,3,2,,,5,410,1606,940,10,52,916,30,,,,,,,,,,,,,,,,,,,,,,,,,
E05001180,Birmingham,Bartley Green,"17,408","5,344",30.7,"5,326",30.6,"5,401",31.0,9,8,1,,,18,1682,1,,1683,,1198,29,,1,,,6,449,1683,1122,9,13,1141,20,,,,,,,,,,,,,,,,,,,,,,,,,
E05001181,Birmingham,Billesley,"19,135","5,755",30.1,"5,722",29.9,"5,839",30.5,,6,1,26,,33,1508,,,1508,,1011,39,,,,,12,446,1508,927,11,13,927,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05001182,Birmingham,Bordesley Green,"19,779","7,015",35.5,"6,952",35.1,"7,196",36.4,,22,,41,,63,1841,,,1841,,1214,87,,,,,4,536,1841,1064,13,61,1033,47,,,,,,,,,,,,,,,,,,,,,,,,,
E05001183,Birmingham,Bournville,"19,109","7,791",40.8,"7,770",40.7,"7,870",41.2,,5,,16,,21,1697,,,1697,,1223,17,,,,,10,448,1697,1129,6,14,1144,17,,,,,,,,,,,,,,,,,,,,,,,,,
E05001184,Birmingham,Brandwood,"18,271","6,760",37.0,"6,728",36.8,"6,837",37.4,32,,,,,32,1608,1,,1609,,1145,21,,1,,,10,432,1609,1057,5,16,1068,19,,,,,,,,,,,,,,,,,,,,,,,,,
E05001185,Birmingham,Edgbaston,"17,417","5,128",29.4,"5,079",29.2,"5,215",29.9,,8,,41,,49,1640,,,1640,,1111,32,,,,,12,485,1640,1027,9,15,1024,20,,,,,,,,,,,,,,,,,,,,,,,,,
E05001186,Birmingham,Erdington,"16,373","5,434",33.2,"5,405",33.0,"5,484",33.5,,8,,21,,29,1443,1,,1444,,1045,22,,1,,,2,374,1444,974,6,8,995,12,,,,,,,,,,,,,,,,,,,,,,,,,
E05001187,Birmingham,Hall Green,"19,398","7,016",36.2,"6,972",35.9,"7,098",36.6,,18,,26,,44,1614,1,,1615,,1149,28,,1,,,6,431,1615,1049,9,24,1067,24,,,,,,,,,,,,,,,,,,,,,,,,,
E05001188,Birmingham,Handsworth Wood,"19,157","5,944",31.0,"5,901",30.8,"6,018",31.4,,8,,35,,43,1130,,,1130,,789,17,,,,,5,320,1130,734,16,19,715,25,,,,,,,,,,,,,,,,,,,,,,,,,
E05001189,Birmingham,Harborne,"16,302","6,831",41.9,"6,803",41.7,"6,943",42.6,,2,,26,,28,1776,2,,1778,,1305,28,,2,,,14,429,1778,1196,11,19,1193,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001190,Birmingham,Hodge Hill,"18,012","5,685",31.6,"5,663",31.4,"5,756",32.0,14,8,,,,22,1396,,,1396,,973,24,,,,,8,391,1396,902,11,18,902,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05001191,Birmingham,Kings Norton,"16,731","5,217",31.2,"5,201",31.1,"5,297",31.7,,5,,11,,16,1503,,,1503,,1081,22,,,,,5,395,1503,1005,7,27,1001,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05001192,Birmingham,Kingstanding,"16,903","4,434",26.2,"4,421",26.2,"4,504",26.6,,,,13,,13,1294,,,1294,,919,16,,,,,3,356,1294,841,7,11,849,17,,,,,,,,,,,,,,,,,,,,,,,,,
