Local authority name,Electorate,Total number of valid votes at count ,Total number of ballots at count ,Total number of invalid ballots (inc postal votes rejected and votes rejected at count),Total number of ballots returned by close of poll,"Adjusted turnout ('Valid vote turnout', excl. invalid votes)","Unadjustd turnout ('Ballot box turnout', incl. invalids) ",Max unadjusted (incs all rejected),Total number of ballot papers rejected at the count ,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,,Total number of original postal ballot packs issued ,Number of postal ballot packs replaced due to the original pack being lost (or not received),Number of postal ballot packs replaced due to the original being spoiled,Number of postal ballot packs replaced due to the elector requesting the pack to be sent to a different address,Total no of postal ballot packs issued,,Number of signature waivers issued,,Number of complete postal ballot packs received by the close of poll (excluding those returned in C3-C6),Number of postal voting statements received  by close of poll without the corresponding ballot paper,Number of ballot papers received by close of poll without the corresponding postal voting statement,Number of postal ballot packs cancelled on request of elector by 5pm on the eleventh working day before the poll,Number of postal ballot packs cancelled as lost by 5pm on polling day,Number of postal ballot packs cancelled as spoiled by 5pm on polling day,Number of postal ballot packs returned as undeliverable by the seventh calendar day after the poll,Number of postal ballot packs received between the close of poll and the seventh calendar day after the poll,Total number of postal ballot packs not returned (including empty envelopes and any ballot packs received more than seven calendar days after the poll),Total postal ballot packs (i.e. Total of C1-C8),,Number of postal voting statements checked against the personal identifier record,Number of postal voting statements where required personal identifiers were verified as valid,Number of postal voting statements rejected because there was no signature,Number of postal voting statements rejected because there was no date of birth,Number of postal voting statements rejected because there was no signature and no date of birth,Number of postal voting statements rejected due to a mismatched signature,Number of postal voting statements rejected due to a mismatched date of birth,Number of postal voting statements rejected due to a mismatch of both identifiers,Number of postal voting statements not checked against the personal identifier record and accepted,Total checks on personal identifiers,,Number of postal ballot packs rejected due to missing ballot paper or PVS,Number of postal voting statements rejected due to absence or mismatch of personal identifiers,Number of postal ballot papers sent to the count,,Number of standard proxies appointed,Number of emergency proxies appointed,Number of postal proxies appointed,Total number of proxies issued (i.e. Total of F1 to F3),,How many electors were added to the register on the final referendum notice of alteration published on 11 September?,How many 16 and 17 year olds were registered to vote at the referendum?,"How many people tried to register after the close of registration, up to and including polling day?",How many people tried to vote on polling day and were found not to be registered?,How many people were in a queue and waiting to vote at a polling place at the close of poll?,How many people were in a queue and waiting to vote at a polling place at the close of poll?
Aberdeen City,"175,751","143,484","143,664",936,"144,420",81.60%,81.70%,82.20%,180,0,38,8,134,,"41,472",162,44,249,"41,927",,271,,"38,410",63,79,76,162,44,161,40,"2,892","41,927",,"38,410","37,796",78,29,141,81,247,38,0,"38,410",,142,614,"37,796",,"1,180",321,156,"1,657",,"6,238","3,658",620,,,
Aberdeenshire,"206,490","179,943","180,045","1,367","181,310",87.10%,87.20%,87.80%,102,0,19,4,79,,"46,817",105,131,2,"47,055",,294,,"44,144",26,102,529,141,98,138,27,"1,850","47,055",,"44,144","43,007",67,44,151,605,217,53,0,"44,144",,128,"1,137","43,007",,"1,727",425,159,"2,311",,"4,355","5,926",399,,,0
Angus,"93,656","80,236","80,302",436,"80,672",85.70%,85.70%,86.10%,66,0,17,4,45,,"16,984",15,32,1,"17,032",,129,,"15,779",19,44,152,32,15,88,10,893,"17,032",,"15,779","15,472",26,3,36,126,99,17,0,"15,779",,63,307,"15,472",,845,323,45,"1,213",,"2,557","2,490",233,15,0,0
Argyll & Bute,"72,014","63,467","63,516",245,"63,712",88.10%,88.20%,88.50%,49,0,9,1,39,,"14,445",40,12,0,"14,497",,114,,"13,737",18,34,136,40,12,50,14,456,"14,497",,"13,737","13,593",26,2,1,64,45,6,0,"13,737",,52,144,"13,593",,839,106,37,982,,"1,897","1,808",126,34,0,0
Clackmannanshire,"39,974","35,386","35,410",176,"35,562",88.50%,88.60%,89.00%,24,0,7,1,16,,"5,526",19,3,0,"5,548",,43,,"5,259",4,12,34,19,3,8,4,205,"5,548",,"5,259","5,123",9,1,22,61,34,9,0,"5,259",,16,136,"5,123",,325,42,16,383,,"1,190","1,037",119,,0,0
Comhairle Nan Eilean Siar,"22,908","19,739","19,758",94,"19,833",86.20%,86.20%,86.60%,19,0,6,0,13,,"5,125",18,0,0,"5,143",,53,,"4,755",4,9,85,18,0,13,10,249,"5,143",,"4,755","4,693",5,0,2,25,28,2,0,"4,755",,13,62,"4,693",,443,66,31,540,,416,598,42,12,0,0
Dumfries and Galloway,"122,052","106,653","106,775",636,"107,289",87.40%,87.50%,87.90%,122,0,18,9,95,,"27,737",74,24,57,"27,892",,242,,"26,387",4,54,166,74,24,56,10,"1,117","27,892",,"26,387","25,931",38,55,66,145,114,38,0,"26,387",,58,456,"25,931",,817,377,78,"1,272",,"2,599","2,936",421,154,0,0
Dundee,"118,764","93,500","93,592",454,"93,954",78.70%,78.80%,79.10%,92,1,25,6,60,,"22,139",122,44,0,"22,305",,329,,"20,208",14,13,162,122,44,98,17,"1,627","22,305",,"20,208","19,873",29,40,69,73,103,21,0,"20,208",,27,335,"19,873",,780,84,8,872,,"7,045","2,874",231,6,0,0
East Ayrshire,"99,682","84,204","84,262",550,"84,754",84.50%,84.50%,85.00%,58,0,5,2,51,,"16,310",48,41,2,"16,401",,220,,"15,335",19,34,147,48,41,72,3,702,"16,401",,"15,335","14,896",43,4,52,199,112,29,0,"15,335",,53,439,"14,896",,512,329,28,869,,"2,223","2,837",167,40,0,0
East Dunbartonshire,"86,844","78,938","79,011",414,"79,352",90.90%,91.00%,91.40%,73,1,13,4,55,,"14,921",32,14,6,"14,973",,141,,"14,025",23,165,54,38,14,37,1,616,"14,973",,"14,025","13,872",17,24,1,24,77,10,0,"14,025",,188,153,"13,872",,843,101,17,961,,"1,970","2,437",147,19,0,0
