Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Dyce/Bucksburn/Danestone,Aberdeen City,14122,4694,1378,344,0,1198,412,358,360,0,0,353,0,0
Bridge of Don,Aberdeen City,14188,5471,1031,0,0,1119,520,396,333,0,0,338,0,0
Kingswells/Sheddocksley,Aberdeen City,13798,3727,675,499,0,928,375,0,256,0,0,802,0,0
Northfield,Aberdeen City,11419,3846,879,869,0,1314,535,0,90,0,0,79,0,0
Hilton/Stockethill,Aberdeen City,10254,3758,1421,271,0,823,512,0,203,0,0,145,0,0
Tillydrone/Seaton/Old Aberdeen,Aberdeen City,12655,2779,846,392,0,710,218,0,119,0,0,129,0,0
Midstocket/Rosemout,Aberdeen City,13895,3847,1247,0,0,1233,264,0,531,0,0,245,0,0
George Street/Harbour,Aberdeen City,12991,2658,456,381,0,672,224,0,178,0,0,262,0,0
Lower Deeside,Aberdeen City,11301,4944,744,0,0,659,0,0,712,0,0,755,0,0
Hazlehead/Ashley/Queens Cross,Aberdeen City,13658,5884,738,0,0,634,248,0,899,0,0,1498,1399,0
Airyhall/Broomhill/Garthdee,Aberdeen City,11858,4781,1073,0,0,1065,0,0,728,0,0,1626,0,0
Torry/Ferryhill,Aberdeen City,14625,4288,1134,345,0,706,619,0,657,0,0,331,0,0
Kincorth/Loirston,Aberdeen City,11848,4071,1250,291,0,1389,0,0,219,0,0,331,0,0
