Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Banff and District,Aberdeenshire,8661,3319,0,0,0,1037,803,0,768,0,0,369,0,0
Troup,Aberdeenshire,7609,2842,185,0,0,723,405,0,593,0,0,56,0,0
Fraserburgh and District,Aberdeenshire,11117,4211,172,0,0,1056,704,206,259,0,0,322,0,0
Central Buchan,Aberdeenshire,10231,3904,205,0,0,1141,456,0,780,0,0,220,0,0
Peterhead and North Rattray,Aberdeenshire,10787,3562,168,0,0,618,534,394,447,0,0,92,0,0
Peterhead South and Cruden,Aberdeenshire,8621,3025,0,0,0,1030,564,0,290,0,0,0,0,0
Turriff and District,Aberdeenshire,9157,3402,0,0,0,1165,432,0,542,0,0,627,0,0
Mid-Formartine,Aberdeenshire,11843,4441,396,0,0,1293,294,0,721,0,0,439,0,0
Ellon and District,Aberdeenshire,11173,4211,399,0,0,1644,474,0,705,0,0,689,0,0
West Garioch,Aberdeenshire,8621,3126,0,0,0,1327,0,0,651,0,0,439,426,0
Inverurie and District,Aberdeenshire,10034,3497,463,0,0,688,612,0,608,0,0,606,0,0
East Garioch,Aberdeenshire,9224,3256,240,0,0,1140,0,0,359,0,0,519,0,0
Westhill and District,Aberdeenshire,10882,3962,429,0,0,713,703,0,1163,0,0,954,0,0
"Huntly, Strathbogie and Howe of Alford",Aberdeenshire,11265,4122,0,0,0,830,600,0,1091,0,0,752,0,0
"Aboyne, Upper Deeside and Donside",Aberdeenshire,8597,3847,241,0,0,1091,0,0,1332,0,0,640,543,0
Banchory and Mid-Deeside,Aberdeenshire,8296,3290,278,0,0,956,0,0,1185,0,0,757,0,0
North kincardine,Aberdeenshire,10563,3961,853,0,0,988,413,0,782,0,0,464,415,0
Stonehaven and Lower Deeside,Aberdeenshire,10701,4120,404,0,0,667,311,0,1111,278,0,354,275,0
Mearns,Aberdeenshire,10963,4188,352,0,0,867,457,0,868,374,0,839,0,0
