Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
"North, West and Central Sutherland",Highland,4913,2387,0,0,0,626,0,0,97,0,0,451,0,0
Thurso,Highland,6192,2393,606,0,0,430,0,0,42,0,0,225,0,0
Wick,Highland,5633,1727,409,0,0,798,0,0,123,0,0,0,0,0
Landward Caithness,Highland,8546,3551,302,0,0,550,0,0,109,0,0,0,0,0
East Sutherland and Edderton,Highland,6179,2999,966,0,0,520,0,0,188,0,0,290,0,0
"Wester Ross, Strathpeffer and Lochalsh",Highland,9612,4211,0,0,0,632,378,0,257,0,0,1162,0,0
Cromarty Firth,Highland,9456,3254,324,0,0,584,464,0,65,0,0,361,0,0
Tain and Easter Ross,Highland,7051,3085,78,0,0,420,0,0,44,0,0,508,0,0
Dingwall and Seaforth,Highland,9256,3566,420,0,0,435,388,0,99,0,0,598,0,0
Black Isle,Highland,8205,4221,216,0,0,610,0,0,141,0,0,646,0,0
Eilean a'Cheo,Highland,8161,3569,157,0,0,830,0,0,91,0,0,641,0,0
Caol and Mallaig,Highland,6752,2774,0,0,0,411,0,0,66,0,0,0,0,0
Aird and Loch Ness,Highland,8999,4044,221,0,0,840,287,0,279,0,0,498,0,0
Inverness West,Highland,6659,2472,343,0,0,458,281,0,94,0,0,610,0,0
Inverness Central,Highland,9251,3289,867,0,0,672,378,0,153,0,0,257,0,0
Inverness Ness-side,Highland,8822,3701,660,0,0,879,0,0,332,0,0,795,0,0
Inverness Millburn,Highland,6377,2518,1152,0,0,753,0,0,177,0,0,200,0,0
Culloden and Ardersier,Highland,8606,3443,479,0,0,566,375,0,154,0,0,475,0,0
Nairn,Highland,9136,3949,458,0,0,1120,407,0,205,0,0,330,0,0
Inverness South,Highland,9479,3421,353,0,0,696,393,0,321,0,0,569,335,0
Badenroch and Strathspey,Highland,10348,4385,566,0,0,789,723,0,448,0,0,646,0,0
Fort William and Ardnamurchan,Highland,8593,3472,574,0,0,567,413,0,175,0,0,180,0,0
