Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Renfrew North,Renfrewshire,9521,4074,1041,778,0,1398,477,0,225,0,0,97,0,0
Renfrew South and Gallowhill,Renfrewshire,10342,4358,1229,869,0,1258,629,0,197,0,0,86,0,0
Paisley East and Ralston,Renfrewshire,12687,5605,1832,460,0,1558,529,0,576,0,0,509,0,0
Paisley North West,Renfrewshire,12944,4524,1349,719,0,1085,483,0,287,0,0,211,0,0
Paisley South,Renfrewshire,13712,5770,1827,950,0,1326,417,0,418,0,0,118,0,0
Paisley South West,Renfrewshire,11743,5025,1245,1054,0,1335,287,0,260,0,0,737,0,0
"Johnstone South, Elderslie and Howwood",Renfrewshire,12947,5510,1361,1300,823,753,657,0,372,0,0,113,0,0
"Johnstone North, Kilbarchan and Lochwinnoch",Renfrewshire,10048,4726,1750,769,0,983,600,0,401,0,0,119,0,0
"Houston, Crosslee and Linwood",Renfrewshire,11743,5053,1454,1230,0,865,755,0,597,0,0,93,0,0
"Bishopton, Bridge of Weir and Langbank",Renfrewshire,8974,4208,1277,0,0,1170,294,0,1231,0,0,173,0,0
Erskine and Inchinnan,Renfrewshire,12963,5398,1424,1071,0,1170,1102,0,375,0,0,111,0,0
