Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Tweeddale West,Scottish Borders,7577,3587,336,0,0,780,0,0,885,0,0,919,334,0
Tweeddale East,Scottish Borders,8106,3749,571,0,0,990,0,0,929,0,0,614,0,0
Galashiels and District,Scottish Borders,10813,3657,273,0,0,766,492,0,386,0,0,417,0,0
Selkirkshire,Scottish Borders,7714,3291,0,0,0,671,0,0,832,0,0,649,0,0
Leaderdale and Melrose,Scottish Borders,8292,3588,225,0,0,558,0,0,441,0,0,439,0,0
Mid Berwickshire,Scottish Borders,8209,3481,0,0,0,1133,0,0,747,432,0,635,0,0
East Berwickshire,Scottish Borders,8383,3437,435,0,0,541,0,0,730,0,0,226,0,0
Kelso and District,Scottish Borders,8242,3240,0,0,0,413,0,0,777,463,0,729,0,0
Jedburgh and District,Scottish Borders,8242,3238,169,0,0,759,0,0,702,413,0,388,0,0
Hawick and Denholm,Scottish Borders,7183,3057,147,0,0,381,0,0,427,0,0,263,0,0
Hawick and Hermitage,Scottish Borders,7041,2898,191,0,0,239,0,0,513,0,0,525,0,0
