"","N","V","Democratic","Libertarian","Reform","Republican"
"Allen",8744,5533,1869,75,43,3316
"Anderson",5362,3413,944,74,18,2276
"Atchison",10908,6886,2567,148,35,3917
"Barber",3258,2389,482,42,16,1772
"Barton",17229,10543,2297,123,46,7874
"Bourbon",10996,6427,1996,110,40,4102
"Brown",6673,4088,1076,64,24,2829
"Butler",41729,26634,7282,459,119,18157
"Chase",1959,1286,358,27,8,875
"Chautauqua",2515,1678,280,34,12,1304
"Cherokee",12338,8830,2930,145,40,5456
"Cheyenne",1908,1469,233,25,9,1159
"Clark",1549,1049,174,24,14,805
"Clay",5893,3753,834,45,19,2788
"Cloud",6291,4188,974,106,20,2954
"Coffey",6136,3975,898,81,20,2903
"Comanche",1252,953,143,16,2,767
"Cowley",20898,13009,4319,225,80,8081
"Crawford",23838,15362,6826,320,71,7708
"Decatur",2032,1588,266,42,6,1218
"Dickinson",13058,8199,2020,149,38,5832
"Doniphan",4768,3535,902,63,24,2414
"Douglas",78752,49361,29267,1131,162,17401
"Edwards",1921,1423,298,20,8,1059
"Elk",1884,1408,281,32,7,1049
"Ellis",18271,11954,3057,201,48,8399
"Ellsworth",4159,2763,702,60,18,1930
"Finney",16532,9169,2682,138,44,6219
"Ford",15277,8640,2600,117,43,5602
"Franklin",17109,11012,3694,221,85,6984
"Geary",14728,8226,3332,105,29,4372
"Gove",1925,1374,176,23,16,1168
"Graham",2007,1375,256,17,10,1056
"Grant",4112,2365,456,25,12,1811
"Gray",2970,1987,324,23,6,1603
"Greeley",954,693,113,12,2,543
"Greenwood",4899,2753,478,43,12,1590
"Hamilton",1279,878,163,17,4,693
"Harper",4244,2554,550,59,17,1759
"Harvey",22103,14667,5373,235,68,8588
"Haskell",2433,1423,215,18,4,1159
"Hodgeman",1514,1079,179,7,6,868
"Jackson",8746,5686,1901,106,27,3527
"Jefferson",12977,8214,2977,167,38,4827
"Jewell",2381,1534,229,21,12,1235
"Johnson",383491,277829,110526,4590,611,158401
"Kearny",2220,1420,268,16,5,1097
"Kingman",5472,3330,733,70,27,2397
"Kiowa",1615,1216,163,1,2,976
"Labette",16372,8199,3117,121,47,4742
"Lane",1359,951,172,10,7,739
"Leavenworth",46128,29785,11357,494,156,17059
"Lincoln",2241,1506,289,18,11,1165
"Linn",7206,4585,1170,77,40,3177
"Logan",1907,1392,197,15,12,1126
"Lyon",20399,12148,5111,226,65,6470
"Marion",7801,5458,1385,80,52,3889
"Marshall",7072,4901,1469,80,29,3195
"McPherson",15681,12683,3449,212,72,8545
"Meade",3073,1815,258,18,5,1428
"Miami",21793,15138,4712,213,69,9858
"Mitchell",4261,3072,584,16,38,2327
"Montgomery",20353,12730,3501,200,81,8630
"Morris",3982,2617,718,51,20,1773
"Morton",1958,1320,189,10,7,1072
"Nemaha",7534,5123,1000,54,41,3930
"Neosho",11480,6614,2050,102,55,4272
"Ness",2076,1481,218,12,5,1209
"Norton",3367,2420,398,35,13,1878
"Osage",10842,7040,2268,167,44,4427
"Osborne",2935,1871,324,21,14,1479
"Ottawa",4413,3022,558,65,15,2295
"Pawnee",3964,2676,718,40,13,1836
"Phillips",3884,2648,382,36,11,2135
"Pottawatomie",13449,9762,2335,193,135,6804
"Pratt",6131,3928,980,42,7,2771
"Rawlins",2074,1489,190,27,4,1223
"Reno",41591,25271,8085,440,156,15718
"Republic",3800,2784,477,50,25,2134
"Rice",7792,3803,911,65,29,2676
"Riley",34625,21806,8977,488,73,11507
"Rooks",3735,2678,361,45,15,2038
"Rush",2307,1626,367,31,6,1166
"Russell",4464,3288,593,33,21,2553
"Saline",36259,22356,7040,505,96,13840
"Scott",3091,2100,277,37,10,1728
"Sedgwick",274369,187286,71977,3521,683,106506
"Seward",10179,5377,1490,55,14,3617
"Shawnee",110322,78042,36975,1369,321,37782
"Sheridan",1837,1383,168,17,3,1154
"Sherman",3938,2710,577,49,17,1976
"Smith",3082,2467,358,26,15,1624
"Stafford",2744,1872,404,31,17,1385
"Stanton",1234,757,143,6,5,605
"Stevens",2913,2111,252,23,10,1749
"Sumner",15705,9379,2658,156,59,6260
"Thomas",4514,3553,598,68,20,2788
"Trego",2250,1622,291,19,7,1261
"Wabaunsee",4534,3386,918,58,35,2256
"Wallace",1097,820,68,8,3,719
"Washington",4080,2896,524,38,11,2316
"Wichita",1416,1004,157,4,5,821
"Wilson",5845,3752,1636,94,54,5650
"Woodson",2277,1466,380,21,7,1035
"Wyandotte",84208,51682,34302,692,205,15496
