"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Dyce/Bucksburn/Danestone",2,3,4,5,6,0,0,0,0,0,0,0,0
"Bridge of Don",6,0,0,0,0,0,0,0,0,0,0,0,0
"Kingswells/Sheddocksley",4,5,7,9,10,0,0,0,0,0,0,0,0
"Northfield",5,0,0,0,0,0,0,0,0,0,0,0,0
"Hilton/Stockethill",6,7,8,0,0,0,0,0,0,0,0,0,0
"Tillydrone/Seaton/Old Aberdeen",7,8,0,0,0,0,0,0,0,0,0,0,0
"Midstocket/Rosemout",8,10,12,0,0,0,0,0,0,0,0,0,0
"George Street/Harbour",12,0,0,0,0,0,0,0,0,0,0,0,0
"Lower Deeside",10,11,0,0,0,0,0,0,0,0,0,0,0
"Hazlehead/Ashley/Queens Cross",11,12,0,0,0,0,0,0,0,0,0,0,0
"Airyhall/Broomhill/Garthdee",12,013,0,0,0,0,0,0,0,0,0,0,0
"Torry/Ferryhill",13,0,0,0,0,0,0,0,0,0,0,0,0
"Kincorth/Loirston",0,0,0,0,0,0,0,0,0,0,0,0,0
