"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",5,6,7,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",8,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",9,010,011,012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",011,013,012,014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",014,015,016,018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",018,019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
