Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Almond,City of Edinburgh,18996,8362,1248,0,0,2722,0,0,2194,0,0,1329,0,0
Pentland Hills,City of Edinburgh,18002,7947,2293,0,0,2317,0,0,1199,1002,0,370,0,0
Drum Brae/Gyle,City of Edinburgh,17123,7487,1981,0,0,1979,648,0,1201,0,0,1405,0,0
Forth,City of Edinburgh,21796,8097,2230,524,0,1377,976,0,1833,0,0,410,0,0
Inverleith,City of Edinburgh,23235,11009,2751,0,0,1434,792,0,1956,1291,0,1143,0,0
Corstorphine/Murrayfield,City of Edinburgh,17445,8212,1679,0,0,2032,0,0,2050,0,0,1788,0,0
Sighthill/Gorgie,City of Edinburgh,23877,8012,2266,1107,0,1624,1368,0,736,0,0,253,0,0
Colinton/Fairmilehead,City of Edinburgh,18521,9377,1676,0,0,1931,0,0,2692,2184,0,339,0,0
Fountainbridge/Craiglockhart,City of Edinburgh,17069,7434,1728,0,0,1750,0,0,1572,0,0,546,0,0
Meadows/Morningside,City of Edinburgh,22328,10451,2053,0,0,1650,0,0,3125,0,0,1285,0,0
City Centre,City of Edinburgh,13943,5063,1080,0,0,1264,0,0,1402,0,0,402,0,0
Leith Walk,City of Edinburgh,22147,7856,1674,937,0,1735,502,0,637,0,0,400,0,0
Leith,City of Edinburgh,16972,6262,2010,0,0,1104,926,0,405,0,0,565,0,0
Craigertinny/Duddingston,City of Edinburgh,18871,8456,2174,886,0,2180,937,0,866,0,0,673,0,0
Southside/Newington,City of Edinburgh,20821,9360,1851,0,0,1717,0,0,1565,0,0,1308,0,0
Liberton/Gilmerton,City of Edinburgh,23187,9068,1941,1768,0,1780,1084,0,1111,0,0,687,0,0
Portobello/Craigmillar,City of Edinburgh,17603,7231,2645,784,0,1477,837,0,523,0,0,137,0,0
