Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Stranraer and North Rhins,Dumfries and Galloway,7185,3310,306,0,0,450,0,0,497,0,0,0,0,0
Wigtown West,Dumfries and Galloway,6753,2949,403,0,0,741,0,0,475,0,0,0,0,0
Mid Galloway,Dumfries and Galloway,7539,3462,471,0,0,1027,227,0,644,100,0,0,0,0
Dee,Dumfries and Galloway,7373,4034,285,0,0,463,0,0,728,0,0,87,0,0
Castle Douglas and Glenkens,Dumfries and Galloway,8014,3338,335,0,0,797,0,0,904,197,0,106,0,0
Abbey,Dumfries and Galloway,9019,3935,903,783,0,814,0,0,856,405,0,0,0,0
North West Dumfries,Dumfries and Galloway,9906,4008,932,857,581,739,0,0,899,0,0,0,0,0
Mid and Upper Nithsdale,Dumfries and Galloway,9239,4349,1194,830,0,892,0,0,1154,0,0,81,0,0
Lochar,Dumfries and Galloway,9295,4180,1159,539,0,1190,0,0,663,629,0,0,0,0
Nith,Dumfries and Galloway,9844,4161,1079,799,0,784,0,0,652,356,0,0,0,0
Annadale South,Dumfries and Galloway,10864,4547,889,761,0,568,0,0,881,73,0,959,0,0
Annadale North,Dumfries and Galloway,10175,4314,845,0,0,724,0,0,652,564,531,383,0,0
Annadale East and Eskdale,Dumfries and Galloway,9663,3951,877,0,0,421,0,0,604,550,351,462,0,0
