Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Linn,Glasgow,22192,7392,1858,1545,0,1479,697,0,520,0,0,894,0,0
Newlands/Auldburn,Glasgow,17755,6722,1750,1005,0,1423,1004,0,724,0,0,105,0,0
Greater Pollok,Glasgow,24096,7157,2462,948,0,1421,1015,0,267,0,0,80,0,0
Craigton,Glasgow,22948,8199,2279,2102,0,1876,700,0,292,0,0,76,0,0
Govan,Glasgow,23590,6924,1727,504,0,1460,443,356,219,0,0,87,0,0
Pollokshields,Glasgow,18117,7558,1828,0,0,1657,1437,0,1674,0,0,220,0,0
Langside,Glasgow,18902,6480,2320,0,0,1822,615,0,478,0,0,470,0,0
Southside Central,Glasgow,22892,6955,2226,855,0,1442,1049,0,174,0,0,55,0,0
Calton,Glasgow,18140,4556,1595,892,0,695,672,0,120,0,0,43,0,0
Anderston/City,Glasgow,23063,8315,1561,1113,0,1057,516,0,249,0,0,89,0,0
Hillhead,Glasgow,20981,5783,1001,702,0,1424,488,0,378,0,0,237,0,0
Partick West,Glasgow,25686,9433,1884,1144,0,1757,1403,0,974,0,0,523,0,0
Garscadden/Scotstounhill,Glasgow,21743,8208,2295,2220,541,1820,400,0,215,0,0,90,0,0
Drumchapel/Anniesland,Glasgow,21288,6770,2075,1198,881,1342,639,0,245,0,0,133,0,0
Maryhill/Kelvin,Glasgow,22610,7605,1792,1215,0,1761,854,0,582,0,0,703,0,0
Canal,Glasgow,23679,6312,1869,940,0,1441,533,0,148,0,0,116,0,0
Springburn,Glasgow,15717,4060,1643,699,0,888,330,0,111,0,0,45,0,0
East Centre,Glasgow,22939,6988,1846,1272,981,1523,414,0,280,0,0,62,0,0
Shettleston,Glasgow,21408,7040,1989,1415,852,1251,921,0,294,0,0,52,0,0
Baillieston,Glasgow,24426,7981,2894,1154,0,1615,1357,0,413,0,0,65,0,0
North East,Glasgow,25247,6711,1958,1345,1411,1378,612,0,210,0,0,76,0,0
