Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
Clydesdale West,South Lanarkshire,14923,5793,1687,877,0,1149,921,0,644,0,0,126,0,0
Clydesdale North,South Lanarkshire,11747,4559,1253,418,0,826,520,0,813,0,0,0,0,0
Clydesdale East,South Lanarkshire,9815,4200,727,0,0,936,745,0,832,962,0,0,0,0
Clydesdale South,South Lanarkshire,11620,4648,1149,875,0,1625,313,0,487,0,0,0,0,0
Avondale and Stonehouse,South Lanarkshire,12848,5364,670,494,0,1148,866,0,624,0,0,0,0,0
East Kilbride South,South Lanarkshire,11537,4234,1203,339,0,1725,475,0,144,0,0,40,0,0
East Kilbride Central South,South Lanarkshire,10854,4524,1598,581,0,1721,306,0,223,0,0,95,0,0
East Kilbride Central North,South Lanarkshire,14005,5913,1348,1065,0,1733,549,0,374,0,0,0,0,0
East Kilbride West,South Lanarkshire,12092,4740,805,800,0,1148,579,0,1197,0,0,0,0,0
East Kilbride East,South Lanarkshire,9622,3789,1037,671,0,853,795,0,321,0,0,112,0,0
Rutherglen South,South Lanarkshire,11153,4779,1244,851,0,1141,0,0,232,0,0,1181,0,0
Rutherglen Central and North,South Lanarkshire,10280,3853,1571,777,0,902,158,0,200,0,0,97,0,0
Cambuslang West,South Lanarkshire,11948,4814,1669,606,0,1260,0,0,344,0,0,0,0,0
Cambuslang East,South Lanarkshire,11090,3611,1554,631,0,845,311,0,190,0,0,80,0,0
Blantyre,South Lanarkshire,13021,4569,1144,756,579,929,470,0,176,0,0,32,0,0
Bothwell and Uddingston,South Lanarkshire,9525,3810,1124,438,0,1342,0,0,906,0,0,0,0,0
Hamilton North and East,South Lanarkshire,12361,4256,1037,794,0,945,776,0,430,0,0,0,0,0
Hamilton West and Earnock,South Lanarkshire,13853,4289,1170,861,0,1153,592,0,369,0,0,74,0,0
Hamilton South,South Lanarkshire,14383,5392,1975,800,0,1255,502,0,496,0,0,0,0,0
Larkhall,South Lanarkshire,14510,5251,1965,752,0,1124,958,0,321,0,0,0,0,0
