ONS ward No.,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,Valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf ,Emergency proxies issued ,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both) ,PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned one figure for each authority,Postal voting statement unreturned one figure for each authority,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,,,
E05001620,Blackburn with Darwen,Audley,5938,2485,41.8,2439,41.1,2591,43.6,36,7,0,3,0,46,1236,0,0,1236,4,942,9,0,0,0,0,8,277,1236,942,34,56,836,90,73,61,285,0,147,07/05/2014,08/05/2014,1406,29,Yes,19,15,45,429,133,76,3,164,Idox,Idox Selcheck,77,,,,,,
E05001621,Blackburn with Darwen,Bastwell,5231,2890,55.2,2848,54.4,3001,57.4,0,5,0,37,0,42,1396,45,0,1441,1,1142,6,0,38,7,0,5,243,1441,1142,16,87,1031,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001622,Blackburn with Darwen,Beardwood With Lammack,4574,2003,43.8,1955,42.7,2069,45.2,0,9,0,39,0,48,1132,5,0,1137,0,849,3,0,3,2,0,1,279,1137,849,24,31,783,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001623,Blackburn with Darwen,Corporation Park,5087,2099,41.3,2064,40.6,2203,43.3,0,17,0,18,0,35,1076,1,0,1077,6,732,4,0,0,1,0,8,332,1077,732,21,69,628,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001625,Blackburn with Darwen,East Rural,1533,759,49.5,753,49.1,776,50.6,0,0,0,6,0,6,322,0,0,322,6,238,0,0,0,0,0,0,84,322,238,9,4,221,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001626,Blackburn with Darwen,Ewood,4829,1302,27.0,1263,26.2,1357,28.1,0,1,10,28,0,39,764,1,0,765,3,532,2,1,0,0,0,4,226,765,532,23,17,477,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001627,Blackburn with Darwen,Fernhurst,4313,1564,36.3,1559,36.1,1595,37.0,0,2,0,3,0,5,799,2,0,801,2,567,0,1,1,0,0,0,232,801,567,10,13,536,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001628,Blackburn with Darwen,Higher Croft,5376,1473,27.4,1449,27.0,1525,28.4,1,3,0,20,0,24,896,0,0,896,2,622,0,0,0,0,0,3,271,896,622,15,18,570,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001629,Blackburn with Darwen,Little Harwood,4694,1992,42.4,1974,42.1,2073,44.2,2,7,0,9,0,18,1184,7,0,1191,3,772,6,2,5,0,0,4,402,1191,772,27,42,691,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001630,Blackburn with Darwen,Livesey With Pleasington,5445,2287,42.0,2252,41.4,2345,43.1,0,16,0,19,0,35,1199,4,0,1203,0,892,2,1,3,0,0,1,304,1203,892,23,19,834,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001631,Blackburn with Darwen,Marsh House,4792,1709,35.7,1681,35.1,1768,36.9,0,17,0,11,0,28,1009,0,0,1009,0,709,8,0,0,0,0,0,292,1009,709,29,15,650,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001632,Blackburn with Darwen,Meadowhead,4446,1566,35.2,1515,34.1,1624,36.5,0,7,40,4,0,51,833,3,0,836,0,595,0,2,1,0,0,3,235,836,595,26,18,537,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001633,Blackburn with Darwen,Mill Hill,4210,1329,31.6,1323,31.4,1374,32.6,0,0,0,6,0,6,673,1,0,674,2,489,2,0,1,0,0,2,180,674,489,27,10,444,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001635,Blackburn with Darwen,Queens Park,4423,1450,32.8,1392,31.5,1546,35.0,2,8,22,26,0,58,819,5,0,824,6,681,0,1,4,0,0,8,130,824,681,32,37,585,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001636,Blackburn with Darwen,Roe Lee,4685,1805,38.5,1769,37.8,1867,39.9,1,4,5,26,0,36,1020,2,0,1022,2,736,1,0,2,0,0,2,281,1022,736,24,23,674,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001637,Blackburn with Darwen,Shadsworth With Whitebirk,5706,1517,26.6,1449,25.4,1595,28.0,0,9,0,59,0,68,850,0,0,850,15,618,6,0,0,0,0,9,217,850,618,35,21,540,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001638,Blackburn with Darwen,Shear Brow,5316,2988,56.2,2952,55.5,3156,59.4,0,9,0,27,0,36,1469,9,0,1478,1,1261,3,1,8,0,0,1,204,1478,1261,22,127,1093,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001639,Blackburn with Darwen,Sudell,4875,1463,30.0,1441,29.6,1507,30.9,0,3,0,10,9,22,832,1,0,833,2,588,0,1,0,0,0,1,243,833,588,23,11,544,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001640,Blackburn with Darwen,Sunnyhurst,4625,1860,40.2,1855,40.1,1906,41.2,0,1,0,4,0,5,977,4,0,981,2,647,0,0,4,0,0,4,326,981,647,32,12,601,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001641,Blackburn with Darwen,Wensley Fold,4953,1921,38.8,1873,37.8,2035,41.1,0,10,0,38,0,48,1239,4,0,1243,8,953,1,1,3,0,0,8,277,1243,953,35,64,839,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001642,Blackburn with Darwen,Whitehall,3196,1317,41.2,1303,40.8,1332,41.7,0,7,0,7,0,14,585,1,0,586,0,445,1,1,0,0,0,5,134,586,445,8,3,430,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001973,Bristol,AVONMOUTH,9708,3412,35.2,3404,35.1,3492,36.0,0,1,1,6,0,8,1402,6,0,1408,0,1031,3,2,3,0,0,4,365,1408,1031,7,21,951,52,N/A,3,223,2,76,01/05/2014,01/05/2014,777,150,Yes,8,17,55,113,214,76,356,490,Halarose,Avant Guard,170,,,,,,
E05001974,Bristol,BEDMINSTER,10325,3801,36.8,3731,36.1,3906,37.8,0,1,0,69,0,70,1483,5,0,1488,0,997,7,2,3,0,0,10,469,1488,997,2,23,892,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001975,Bristol,BISHOPSTON,10604,4785,45.1,4756,44.8,4892,46.1,0,6,0,23,0,29,1461,6,0,1467,0,1070,8,2,1,0,0,12,374,1467,1070,1,33,963,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001976,Bristol,BISHOPSWORTH,8998,2715,30.2,2683,29.8,2847,31.6,0,1,0,31,0,32,1569,0,0,1569,0,1160,7,0,0,0,0,7,395,1569,1160,2,33,1028,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001977,Bristol,BRISLINGTON EAST,9262,3169,34.2,3157,34.1,3277,35.4,0,1,11,0,0,12,1498,4,0,1512,0,1073,11,0,0,0,0,5,413,1502,1073,5,24,965,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001978,Bristol,BRISLINGTON WEST,8810,3169,36.0,3149,35.7,3248,36.9,0,1,0,19,0,20,1257,5,0,1262,0,884,9,1,0,0,0,3,365,1262,884,0,17,805,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001985,Bristol,FILWOOD,8689,2290,26.4,2246,25.9,2416,27.8,0,4,0,40,0,44,1124,8,0,1132,0,854,5,4,0,0,0,1,268,1132,854,2,32,728,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001987,Bristol,HARTCLIFFE,8902,2342,26.3,2307,25.9,2470,27.7,0,0,0,35,0,35,1485,6,0,1491,0,1034,13,3,0,0,0,2,439,1491,1034,3,23,906,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001988,Bristol,HENBURY,8190,2887,35.3,2866,35.0,3036,37.1,0,2,1,18,0,21,1581,9,0,1590,0,1231,6,1,1,0,0,7,344,1590,1231,4,39,1082,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001989,Bristol,HENGROVE,9301,2954,31.8,2940,31.6,3069,33.0,0,7,1,6,0,14,1606,3,0,1609,0,1110,7,0,0,0,0,6,486,1609,1110,7,23,995,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001990,Bristol,HENLEAZE,8148,4199,51.5,4185,51.4,4272,52.4,0,6,0,8,0,14,1735,9,0,1744,0,1359,12,1,3,0,0,11,358,1744,1359,2,17,1286,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001992,Bristol,HORFIELD,10148,3734,36.8,3718,36.6,3782,37.3,0,2,0,14,0,16,1850,3,0,1853,0,1263,18,1,0,21,0,10,540,1853,1263,8,19,1215,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001993,Bristol,KINGSWESTON,7889,2837,36.0,2825,35.8,2932,37.2,0,1,0,11,0,12,1187,5,0,1192,0,914,7,0,2,0,0,4,265,1192,914,1,15,819,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001994,Bristol,KNOWLE,8684,3621,41.7,3611,41.6,3675,42.3,0,2,1,7,0,10,1237,8,0,1245,0,950,5,3,2,0,0,0,285,1245,950,4,10,896,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001996,Bristol,LOCKLEAZE,8639,2836,32.8,2826,32.7,2964,34.3,0,2,0,8,0,10,1461,8,0,1469,0,1051,14,0,3,0,0,7,394,1469,1051,2,32,923,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001997,Bristol,REDLAND,8977,4059,45.2,4048,45.1,4122,45.9,0,1,0,10,0,11,1346,4,0,1350,0,969,11,1,3,0,7,0,359,1350,969,1,17,906,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002000,Bristol,SOUTHMEAD,8655,2544,29.4,2535,29.3,2687,31.0,0,6,0,3,0,9,1608,7,0,1615,0,1209,17,0,0,0,0,3,386,1615,1209,2,26,1066,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002001,Bristol,SOUTHVILLE,10228,4005,39.2,3995,39.1,4120,40.3,0,1,0,9,0,10,1335,8,0,1343,0,903,6,1,0,0,0,5,428,1343,903,6,21,788,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002002,Bristol,STOCKWOOD,8738,2848,32.6,2822,32.3,2913,33.3,0,3,0,23,0,26,1291,3,0,1294,0,900,8,2,1,0,0,17,366,1294,900,2,12,835,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002003,Bristol,STOKE BISHOP,8255,3722,45.1,3708,44.9,3876,47.0,0,2,0,12,0,14,1550,6,0,1556,0,1211,13,0,2,1,0,8,321,1556,1211,4,25,1057,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002004,Bristol,WESTBURY-ON-TRYM,8353,3979,47.6,3968,47.5,4075,48.8,0,0,0,11,0,11,2009,14,0,2023,0,1493,18,1,5,0,0,6,500,2023,1493,7,16,1397,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002005,Bristol,WHITCHURCH PARK,8304,2632,31.7,2626,31.6,2702,32.5,0,1,0,5,0,6,1099,8,0,1107,0,827,10,1,0,0,0,1,268,1107,827,0,16,757,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002006,Bristol,WINDMILL HILL,9909,3827,38.6,3817,38.5,3890,39.3,0,2,0,8,0,10,1304,8,0,1312,0,888,18,0,2,0,0,7,397,1312,888,1,14,825,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001767,Derby,Abbey,10663,2991,28.1,2970,27.9,3075,28.8,0,5,0,16,0,21,1657,3,0,1660,8,1061,37,0,3,0,0,13,546,1660,1061,11,36,977,51,N/A,N/A,244,0,244,N/A,N/A,N/A,N/A,N/A,31,24,56,413,203,121,0,0,Xpress,Xpress,86,,,,,,
