Name,Oui,Oui pc,Non,Non pc,Valid,Valid pc,Rejected,Rejected_pc,V,V pc,N,Oui majority,Non majority
Abitibi-Est,17 890,"52,04",16 487,"47,96",34 377,"98,40",560,"1,60",34 937,"65,65",53 221,1 403,
Abitibi-Ouest,11 462,"46,87",12 993,"53,13",24 455,"98,92",266,"1,08",24 721,"78,30",31 573,,1 531
Anjou,16 896,"46,38",19 537,"53,62",36 433,"98,18",676,"1,82",37 109,"87,74",42 293,,2 641
Argenteuil,9 257,"30,78",20 822,"69,22",30 079,"98,51",456,"1,49",30 535,"85,44",35 740,,11 565
Arthabaska,13 884,"40,83",20 120,"59,17",34 004,"98,79",416,"1,21",34 420,"87,26",39 446,,6 236
Beauce-Nord,15 532,"44,30",19 527,"55,70",35 059,"98,88",398,"1,12",35 457,"86,23",41 117,,3 995
Beauce-Sud,12 125,"42,55",16 371,"57,45",28 496,"98,84",334,"1,16",28 830,"84,95",33 938,,4 246
Beauharnois,15 258,"43,22",20 044,"56,78",35 302,"98,55",519,"1,45",35 821,"89,66",39 954,,4 786
Bellechasse,9 483,"38,88",14 908,"61,12",24 391,"98,26",431,"1,74",24 822,"82,19",30 199,,5 425
Berthier,11 137,"39,10",17 345,"60,90",28 482,"98,15",537,"1,85",29 019,"86,67",33 484,,6 208
Bonaventure,7 308,"33,18",14 715,"66,82",22 023,"98,46",344,"1,54",22 367,"82,61",27 074,,7 407
Bourassa,12 125,"36,09",21 468,"63,91",33 593,"96,83",1 100,"3,17",34 693,"88,04",39 407,,9 343
Bourget,14 141,"46,69",16 147,"53,31",30 288,"98,52",454,"1,48",30 742,"87,10",35 297,,2 006
Brôme-Missi,7 022,"25,97",20 012,"74,03",27 034,"98,31",466,"1,69",27 500,"87,53",31 419,,12 990
Chambly,25 195,"46,72",28 728,"53,28",53 923,"98,91",592,"1,09",54 515,"91,14",59 813,,3 533
Champlain,14 549,"43,96",18 544,"56,04",33 093,"98,63",460,"1,37",33 553,"86,64",38 726,,3 995
Charlesbourg,23 075,"47,74",25 262,"52,26",48 337,"98,74",618,"1,26",48 955,"88,37",55 395,,2 187
Charlevoix,10 244,"42,42",13 906,"57,58",24 150,"98,32",413,"1,68",24 563,"83,58",29 389,,3 662
Châteauguay,17 441,"40,18",25 967,"59,82",43 408,"98,87",497,"1,13",43 905,"89,76",48 914,,8 526
Chauveau,25 829,"47,86",28 134,"52,14",53 963,"98,66",733,"1,34",54 696,"87,54",62 479,,2 305
Chicoutimi,19 980,"58,51",14 170,"41,49",34 150,"98,75",433,"1,25",34 583,"85,25",40 568,5 810,
Crémazie,14 147,"43,85",18 112,"56,15",32 259,"98,29",562,"1,71",32 821,"88,68",37 011,,3 965
D'Arcy McGee,1 563,"4,12",36 365,"95,88",37 928,"98,66",515,"1,34",38 443,"89,49",42 956,,34 802
Deux-Montagnes,16 239,"42,16",22 276,"57,84",38 515,"98,47",597,"1,53",39 112,"86,77",45 075,,6 037
Dorion,12 448,"42,44",16 886,"57,56",29 334,"97,87",637,"2,13",29 971,"84,54",35 452,,4 438
Drummond,15 382,"43,37",20 088,"56,63",35 470,"98,27",625,"1,73",36 095,"86,63",41 664,,4 706
Dubuc,14 815,"52,97",13 155,"47,03",27 970,"98,45",439,"1,55",28 409,"82,28",34 527,1 660,
Duplessis,18 280,"53,03",16 192,"46,97",34 472,"98,61",486,"1,39",34 958,"75,63",46 225,2 088,
Fabre,23 681,"45,15",28 773,"54,85",52 454,"98,71",686,"1,29",53 140,"88,08",60 332,,5 092
Frontenac,14 847,"48,67",15 659,"51,33",30 506,"98,80",372,"1,20",30 878,"88,12",35 042,,812
Gaspé,10 435,"41,12",14 941,"58,88",25 376,"98,80",308,"1,20",25 684,"81,40",31 554,,4 506
Gatineau,8 943,"25,02",26 807,"74,98",35 750,"98,51",541,"1,49",36 291,"84,79",42 801,,17 864
Gouin,12 395,"48,71",13 051,"51,29",25 446,"97,88",552,"2,12",25 998,"83,06",31 300,,656
Hull,10 531,"33,22",21 173,"66,78",31 704,"96,69",1 087,"3,31",32 791,"83,56",39 243,,10 642
Huntingdon,6 573,"26,96",17 805,"73,04",24 378,"98,53",363,"1,47",24 741,"85,95",28 787,,11 232
Iberville,13 786,"38,41",22 102,"61,59",35 888,"98,41",581,"1,59",36 469,"87,14",41 853,,8 316
Îles-de-la-Madeleine,3 405,"45,78",4 033,"54,22",7 438,"98,67",100,1.33,7 538,"84,18",8 955,,628
Jacques-Cartier,7 957,"25,91",22 754,"74,09",30 711,"98,63",428,"1,37",31 139,"87,53",35 577,,14 797
Jeanne-Mance,19 008,"32,54",39 412,"67,46",58 420,"98,41",944,"1,59",59 364,"88,42",67 141,,20 404
Jean-Talon,11 928,"41,59",16 753,"58,41",28 681,"97,44",755,"2,56",29 436,"88,29",33 342,,4 825
Johnson,10 609,"39,13",16 504,"60,87",27 113,"98,61",383,"1,39",27 496,"87,09",31 571,,5 895
Joliette-Montcalm,17 346,"43,09",22 911,"56,91",40 257,"98,73",518,"1,27",40 775,"87,02",46 859,,5 565
Jonquière,22 058,"60,74",14 258,"39,26",36 316,"98,79",443,"1,21",36 759,"86,55",42 473,7 800,
Kamouraska-Témiscouata,10 922,"43,97",13 920,"56,03",24 842,"97,95",519,"2,05",25 361,"80,95",31 331,,2 998
L'Acadie,9 410,"26,42",26 205,"73,58",35 615,"98,31",614,"1,69",36 229,"88,56",40 908,,16 795
Lac-Saint-Jean,17 674,"57,61",13 007,"42,39",30 681,"98,90",340,"1,10",31 021,"86,50",35 862,4 667,
Lafontaine,18 284,"49,73",18 486,"50,27",36 770,"97,95",769,"2,05",37 539,"86,38",43 457,,202
Laporte,20 072,"49,24",20 692,"50,76",40 764,"98,32",695,"1,68",41 459,"86,68",47 831,,620
Laprairie,18 882,"34,50",35 844,"65,50",54 726,"97,92",1 161,"2,08",55 887,"89,18",62 668,,16 962
L'Assomption,30 125,"51,14",28 786,"48,86",58 911,"98,26",1 046,"1,74",59 957,"88,21",67 969,1 339,
Laurentides-Labelle,15 371,"49,43",15 723,"50,57",31 094,"98,68",417,"1,32",31 511,"82,05",38 404,,352
Laurier,8 583,"27,36",22 792,"72,64",31 375,"97,57",781,"2,43",32 156,"85,16",37 759,,14 209
Laval,16 714,"33,76",32 789,"66,24",49 503,"98,75",625,"1,25",50 128,"89,80",55 822,,16 075
Laviolette,12 321,"43,31",16 130,"56,69",28 451,"98,55",418,"1,45",28 869,"84,47",34 176,,3 809
Lévis,20 104,"49,57",20 450,"50,43",40 554,"98,25",722,"1,75",41 276,"88,03",46 889,,346
Limoilou,13 898,"46,18",16 199,"53,82",30 097,"97,94",632,"2,06",30 729,"84,68",36 290,,2 301
Lotbinière,9 212,"37,09",15 627,"62,91",24 839,"98,95",264,"1,05",25 103,"86,09",29 160,,6 415
Louis-Hébert,20 946,"51,60",19 650,"48,40",40 596,"99,00",409,"1,00",41 005,"87,05",47 106,1 296,
Maisonneuve,11 703,"50,66",11 400,"49,34",23 103,"96,49",841,"3,51",23 944,"80,28",29 825,303,
Marguerite-Bourgeoys,13 108,"28,20",33 369,"71,80",46 477,"98,52",699,"1,48",47 176,"88,99",53 013,,20 261
Maskinongé,10 260,"36,62",17 759,"63,38",28 019,"98,90",312,"1,10",28 331,"86,44",32 775,,7 499
Matane,11 154,"47,59",12 285,"52,41",23 439,"98,10",455,"1,90",23 894,"79,93",29 893,,1 131
Matapédia,9 558,"47,88",10 405,"52,12",19 963,"98,58",288,"1,42",20 251,"80,97",25 011,,847
Mégantic-Compton,8 102,"34,77",15 202,"65,23",23 304,"98,82",279,"1,18",23 583,"85,40",27 616,,7 100
Mercier,12 163,"48,09",13 131,"51,91",25 294,"96,98",789,"3,02",26 083,"81,81",31 883,,968
Mille-Îles,25 588,"48,03",27 682,"51,97",53 270,"98,52",798,"1,48",54 068,"90,09",60 014,,2 094
Montmagny-L'Islet,10 052,"38,08",16 348,"61,92",26 400,"98,54",391,"1,46",26 791,"83,63",32 037,,6 296
Montmorency,19 097,"49,36",19 589,"50,64",38 686,"98,68",519,"1,32",39 205,"86,89",45 120,,492
Mont-Royal,5 001,"14,78",28 825,"85,22",33 826,"96,55",1 208,"3,45",35 034,"87,58",40 003,,23 824
Nicolet-Yamaska,9 826,"36,62",17 006,"63,38",26 832,"98,41",434,"1,59",27 266,"87,38",31 203,,7 180
Notre-Dame-de-Grâce,4 633,"14,72",26 843,"85,28",31 476,"95,30",1 552,"4,70",33 028,"88,11",37 487,,22 210
Orford,9 983,"33,65",19 684,"66,35",29 667,"98,55",437,"1,45",30 104,"86,43",34 829,,9 701
Outremont,11 488,"35,31",21 050,"64,69",32 538,"97,74",752,"2,26",33 290,"86,27",38 588,,9 562
Papineau,12 317,"29,91",28 866,"70,09",41 183,"97,59",1 017,"2,41",42 200,"83,49",50 547,,16 549
Pointe-Claire,3 947,"9,68",36 841,"90,32",40 788,"98,97",424,"1,03",41 212,"90,36",45 609,,32 894
