"","V1","V2","V3","V4","V5","V6"
"Aberdeen City",2,23,27,0,0,0
"Aberdeenshire",3,17,20,24,0,0
"Angus",8,24,0,0,0,0
"Argyll & Bute",17,18,21,24,30,31
"Clackmannanshire",14,15,24,30,0,0
"Comhairle Nan Eilean Siar",17,0,0,0,0,0
"Dumfries and Galloway",9,26,28,29,0,0
"Dundee",15,24,0,0,0,0
"East Ayrshire",12,21,28,29,0,0
"East Dunbartonshire",16,22,30,31,0,0
"East Lothian",13,19,26,0,0,0
"East Renfrewshire",16,21,25,29,0,0
"City of Edinburgh ",15,19,26,32,0,0
"Falkirk",15,22,30,32,0,0
"Fife",24,32,0,0,0,0
"Glasgow",22,25,29,31,0,0
"Highland",20,23,24,0,0,0
"Inverclyde",21,25,0,0,0,0
"Midlothian",26,0,0,0,0,0
"Moray",0,0,0,0,0,0
"North Ayrshire",25,28,0,0,0,0
"North Lanarkshire",29,30,32,0,0,0
"Orkney",27,0,0,0,0,0
"Perth & Kinross",30,0,0,0,0,0
"Renfrewshire",31,0,0,0,0,0
"Scottish Borders",29,32,0,0,0,0
"Shetland",0,0,0,0,0,0
"South Ayrshire",0,0,0,0,0,0
"South Lanarkshire",32,0,0,0,0,0
"Stirling",31,0,0,0,0,0
"West Dunbartonshire",0,0,0,0,0,0
"West Lothian",0,0,0,0,0,0
