Scottish Parliament elections 2016 - ,,GENERAL,,,,,,,REJECTED BALLOT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL DATA,,,,,,,,,,,,,,,,,
Administration - Constituencies,,,,,,,,,,,,,,,A. Issue of postal ballot papers,,,,,B. Receipt of postal ballot packs,,,,,,,,,,C. Checks on personal identifiers,,,,,,,,,D. Waivers,E. Summary of postal ballot packs,,,F. Proxies,,,,,,,,,,,,,,,,,,,,,
ONS Code,Constituency,Electorate ,Total valid votes cast,Valid votes turnout (%),Total ballots at the count,Ballot box turnout (incl. votes rejected at count) (%),Total number of ballots returned by close of poll,Total vote turnout (incl. postal votes rejected and votes  rejected at count) (%),Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Total number of ballot papers rejected at the count ,Rejected ballots (%), Number of original postal ballot papers issued  , Number of postal ballot packs replaced due to the original pack being lost or not received ," Number of postal ballot packs replaced due to the original being spoiled
 ", Number of postal ballot packs replaced due to the elector requesting the pack be sent to a different address (i.e. ballot packs issued but then cancelled and reissued due to elector changing their registered address) , Total number of postal ballot papers issued (i.e Total A1 to A4) , Number of complete postal ballot packs received by the close of the poll (excluding those returned in B3 to B6)(i.e. PVS and matching ballot paper returned) ," Number of postal voting statements received by the close of poll WITHOUT the corresponding ballot paper
 "," Number of  ballot papers received by the close of poll WITHOUT the corresponding postal voting statements
 "," Number of postal ballot papers cancelled on request of elector by 5pm on the eleventh working day before the poll
 ", Number of postal ballot packs cancelled as spoiled by close of poll   , Number of postal ballot packs cancelled as lost by close of poll ," Number of postal ballot packs returned as undeliverable by the seventh calendar day after the poll
 "," Number of postal ballot packs received between the close of poll and the seventh calendar day after the poll
 "," Total number of postal ballot packs not returned (including empty envelopes and any ballot packs received more than seven calendar days after the poll) 
 ", Total postal ballot packs (i.e total of B1-B8) (should equal A5) ," Number of postal voting statements checked against the personal identifier record
 ", Number of postal voting statements where required personal identifiers were verified as valid , Number of postal voting statements rejected because there was no signature , Number of postal voting statements rejected because there was no date of birth , Number of postal voting statements rejected because there was no signature and no date of birth , Number of postal voting statements rejected due to a mismatched signature , Number of postal voting statements rejected due to a mismatched date of birth , Number of postal voting statements rejected due to a mismatch of both identifiers ," Total checks on personal identifiers (i.e Total of C2-C4, should equal C1) ", Number of signature waivers granted (as per the personal identifiers record) ," Number of ballot packs rejected due to missing ballot paper or PVS (should equal B2a plus B2b)
 ", Number of postal voting statements rejected due to absence or mismatch of personal identifiers (should equal C3a to C4c)  , Number of postal ballot papers sent to the count(should equal C2) , Number of standard proxies (excluding postal proxies) granted , Number of standard proxies with postal votes granted , Number of emergency proxies granted , Total number of proxies (i.e total of F1 to F3) ,What was the total number of polling places used?,Number of replacement postal packs requested for spoiled postal packs by 5pm on polling day,Number of replacement postal packs issued for spoiled postal packs by 5pm on polling day,Number of replacement postal packs requested for spoiled postal packs after 5pm on polling day,Number of replacement postal packs requested due to lost postal packs by 10pm on polling day,Number of replacement postal packs issued due to lost postal packs by 10pm on polling day,Number of replacement postal packs issued due to lost postal packs between 5pm and 10pm on polling day,How many postal ballot packs were returned on polling day before 10pm?,How many postal ballot packs were returned on the day after polling day before 10pm?,Total number of new electors added to the register on or between publication of the register date (01.12.15) and 13.03.16,Total number of new electors added to the register between 14.03.16 and 18.04.16,How many applications to register were received after the registration deadline? ,Total number of applications received between 01.12.15-13.03.16,Total number of duplicate applications received between 01.12.15-13.03.16,Total number of  applications received between 14.03.16-18.04.16,Total number of duplicate applications received between 14.03.16-18.04.16,How many people tried to vote on polling day and were found not to be registered?,Total number of local government electors aged 16 or 17 on Election day
S16000074, Aberdeen Central ," 57,195 "," 26,704 ",46.7," 26,841 ",46.9," 26,911 ",47.1, -   , 16 , -   , 121 , 137 ,0.5," 11,521 ", 21 , 4 , 70 ," 11,616 "," 8,424 ", 97 , 15 , -   , 4 , 21 , 54 , 23 ," 2,978 "," 11,616 "," 8,424 "," 8,314 ", 13 , 4 , 24 , 21 , 43 , 5 ," 8,424 ", 60 , 112 , 110 ," 8,217 ", 102 , 8 , 9 , 119 ,25,4,4,0,21,21,,1064,,5526,3786,723,3097,292,3171,315,,675
S16000075, Aberdeen Donside ," 61,200 "," 30,981 ",50.6," 31,098 ",50.8," 31,271 ",51.1, -   , 13 , 1 , 103 , 117 ,0.4," 13,566 ", 19 , 2 , 41 ," 13,628 "," 10,473 ", 139 , 14 , -   , 2 , 19 , 85 , 38 ," 2,858 "," 13,628 "," 10,473 "," 10,322 ", 17 , 3 , 29 , 44 , 54 , 4 ," 10,473 ", 64 , 153 , 151 ," 10,183 ", 110 , 12 , 3 , 125 ,26,2,2,0,19,19,,1330,,3815,2169,452,1940,224,1968,217,,1113
S16000076, Aberdeen S. and N. Kincardine ," 59,710 "," 32,340 ",54.2," 32,471 ",54.4," 32,580 ",54.6, -   , 28 , 1 , 102 , 131 ,0.4," 14,060 ", 17 , 1 , 38 ," 14,116 "," 10,880 ", 125 , 17 , -   , 1 , 17 , 51 , 30 ," 2,995 "," 14,116 "," 10,880 "," 10,765 ", 10 , 2 , 28 , 22 , 49 , 4 ," 10,880 ", 82 , 142 , 115 ," 10,640 ", 138 , 13 , 9 , 160 ,28,1,1,0,18,18,,925,,3868,1984,373,1914,193,1783,200,,1271
S16000077, Aberdeenshire East ," 62,844 "," 34,753 ",55.3," 34,860 ",55.5," 34,151 ",54.3, 1 , 8 , -   , 98 , 107 ,0.3," 12,595 ", 13 , 6 , 50 ," 12,614 "," 9,088 ", 86 , 15 , -   , 6 , 13 , 41 , 12 ," 3,353 "," 12,614 "," 9,174 "," 9,037 ", 12 , 4 , 35 , 29 , 45 , 12 ," 9,174 ", 63 , 101 , 137 ," 9,690 ", 180 , 15 , 8 , 203 ,40,6,6,0,13,13,0,693,3,3922,2260,474,2221,245,1808,178,4,1456
S16000078, Aberdeenshire West ," 59,576 "," 35,198 ",59.1," 35,281 ",59.2," 35,307 ",59.3, -   , 10 , -   , 73 , 83 ,0.2," 12,434 ", 11 , 14 , 45 ," 12,504 "," 9,757 ", 7 , 23 , -   , 11 , 14 , 27 , 3 ," 2,662 "," 12,504 "," 9,757 "," 9,648 ", 13 , 7 , 30 , 13 , 40 , 6 ," 9,757 ", 70 , 30 , 109 ," 9,648 ", 190 , 10 , 8 , 208 ,50,11,11,0,14,14,0,801,3,4034,1842,506,1996,212,1553,180,42,1497
S16000079, Airdrie & Shotts ," 53,912 "," 26,573 ",49.3," 26,675 ",49.5," 26,685 ",49.5, -   , 12 , -   , 90 , 102 ,0.4," 6,974 ", 9 , 1 , -   ," 6,984 "," 4,784 ", 8 , 101 , 2 , 1 , 9 , 57 , 6 ," 2,016 "," 6,984 "," 4,685 "," 4,672 ", 5 , 2 , 1 , 1 , 3 , 1 ," 4,685 ", 42 , 109 , 13 ," 4,672 ", 64 , -   , 3 , 67 ,32,0,0,0,3,3,1,366,,1494,701,347,1272,41,1002,22,6,903
S16000080, Almond Valley ," 64,901 "," 34,872 ",53.7," 35,000 ",53.9," 35,135 ",54.1, -   , 17 , 2 , 109 , 128 ,0.4," 11,575 ", 8 , 1 , 2 ," 11,586 "," 8,477 ", 34 , 26 , 45 , 1 , 8 , 67 , 31 ," 2,897 "," 11,586 "," 8,477 "," 8,214 ", 17 , 2 , 62 , 32 , 130 , 20 ," 8,477 ", 186 , 60 , 263 ," 8,214 ", 112 , 4 , -   , 116 ,66,1,1,0,9,8,0,718,8,2119,942,,,,,,,1770
S16000081, Angus North & Mearns ," 54,355 "," 29,379 ",54.1," 29,496 ",54.3," 29,652 ",54.6, -   , 10 , -   , 107 , 117 ,0.4," 9,766 ", 4 , 4 , 4 ," 9,778 "," 7,556 ", 92 , 22 , 62 , 4 , 4 , 44 , 35 ," 1,959 "," 9,778 "," 7,556 "," 7,375 ", 16 , 5 , 52 , 62 , 33 , 13 ," 7,556 ", 81 , 114 , 181 ," 7,283 ", 186 , 8 , 6 , 200 ,43,4,4,0,4,4,0,564,16,2459,1809,399,1668,117,1592,105,5,1059
S16000082, Angus South ," 56,418 "," 31,929 ",56.6," 32,052 ",56.8," 32,185 ",57.0, -   , 12 , 3 , 108 , 123 ,0.4," 10,612 ", 8 , 6 , 8 ," 10,632 "," 8,309 ", 89 , 46 , 54 , 8 , 6 , 63 , 23 ," 2,034 "," 10,632 "," 8,309 "," 8,142 ", 4 , 2 , 18 , 89 , 36 , 16 ," 8,307 ", 117 , 135 , 165 ," 8,053 ", 184 , 9 , 4 , 197 ,43,6,6,0,8,8,0,499,9,1834,1728,418,1500,43,1330,35,5,1096
S16000083, Argyll & Bute ," 48,526 "," 29,476 ",60.7," 29,592 ",61.0," 29,546 ",60.9, -   , 7 , -   , 109 , 116 ,0.4," 9,434 ", 11 , 2 , 3 ," 9,450 "," 7,445 ", 54 , 23 , 76 , 2 , 11 , 41 , 31 ," 1,767 "," 9,450 "," 7,499 "," 7,429 ", 14 , 2 , 1 , 8 , 42 , 3 ," 7,499 ", 62 , 77 , 70 ," 7,375 ", 162 , 5 , 5 , 172 ,117,2,2,0,11,11,0,347,22,1643,780,281,1740,230,1349,87,16,915
