Scottish Parliament elections 2016 - ,,,GENERAL,,,,,,,REJECTED BALLOT PAPERS,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration - Constituencies,,,,,,,,,,,,,,,A. Issue of postal ballot papers,,,,,B. Receipt of postal ballot packs,,,,,,,,,,C. Checks on personal identifiers,,,,,,,,,D. Waivers,E. Summary of postal ballot packs,,,F. Proxies,,,,
ONS Constituency Code,Constituency,Region,Electorate ,Total valid votes cast,Valid votes turnout (%),Total ballots at the count,Ballot box turnout (incl. votes rejected at count) (%),Total number of ballots returned by close of poll,Total vote turnout (incl. postal votes rejected and votes  rejected at count) (%),Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Total number of ballot papers rejected at the count , Number of original postal ballot papers issued  , Number of postal ballot packs replaced due to the original pack being lost or not received ," Number of postal ballot packs replaced due to the original being spoiled
 ", Number of postal ballot packs replaced due to the elector requesting the pack be sent to a different address (i.e. ballot packs issued but then cancelled and reissued due to elector changing their registered address) , Total number of postal ballot papers issued (i.e Total A1 to A4) , Number of complete postal ballot packs received by the close of the poll (excluding those returned in B3 to B6)(i.e. PVS and matching ballot paper returned) ," Number of postal voting statements received by the close of poll WITHOUT the corresponding ballot paper
 "," Number of  ballot papers received by the close of poll WITHOUT the corresponding postal voting statements
 "," Number of postal ballot papers cancelled on request of elector by 5pm on the eleventh working day before the poll
 ", Number of postal ballot packs cancelled as spoiled by close of poll   , Number of postal ballot packs cancelled as lost by close of poll ," Number of postal ballot packs returned as undeliverable by the seventh calendar day after the poll
 "," Number of postal ballot packs received between the close of poll and the seventh calendar day after the poll
 "," Total number of postal ballot packs not returned (including empty envelopes and any ballot packs received more than seven calendar days after the poll) 
 ", Total postal ballot packs (i.e total of B1-B8) (should equal A5) ," Number of postal voting statements checked against the personal identifier record
 ", Number of postal voting statements where required personal identifiers were verified as valid , Number of postal voting statements rejected because there was no signature , Number of postal voting statements rejected because there was no date of birth , Number of postal voting statements rejected because there was no signature and no date of birth , Number of postal voting statements rejected due to a mismatched signature , Number of postal voting statements rejected due to a mismatched date of birth , Number of postal voting statements rejected due to a mismatch of both identifiers ," Total checks on personal identifiers (i.e Total of C2-C4, should equal C1) ", Number of signature waivers granted (as per the personal identifiers record) ," Number of ballot packs rejected due to missing ballot paper or PVS (should equal B2a plus B2b)
 ", Number of postal voting statements rejected due to absence or mismatch of personal identifiers (should equal C3a to C4c)  , Number of postal ballot papers sent to the count(should equal C2) , Number of standard proxies (excluding postal proxies) granted , Number of standard proxies with postal votes granted , Number of emergency proxies granted , Total number of proxies (i.e total of F1 to F3) ,
S16000074,Aberdeen Central,North East Scotland,57195," 26,833 ",46.9," 26,891 ",47.0," 27,040 ",47.3, -   , 8 , -   , 50 , 58 ,"11,521",21,4,70,"11,616","8,424",97,15,0,4,21,54,23,"2,978","11,616","8,424","8,314",13,4,24,21,43,5,"8,424",60,112,110,"8,217",102,8,9,119,
S16000075,Aberdeen Donside,North East Scotland,61200," 31,040 ",50.7," 31,092 ",50.8," 31,330 ",51.2, -   , 9 , 1 , 42 , 52 ,"13,566",19,2,41,"13,628","10,473",139,14,0,2,19,85,38,"2,858","13,628","10,473","10,322",17,3,29,44,54,4,"10,473",64,153,151,"10,183",110,12,3,125,
S16000076,Aberdeen S. and N. Kincardine,North East Scotland,59710," 32,368 ",54.2," 32,424 ",54.3," 32,608 ",54.6, -   , 14 , 1 , 41 , 56 ,"14,060",17,1,38,"14,116","10,880",125,17,0,1,17,51,30,"2,995","14,116","10,880","10,765",10,2,28,22,49,4,"10,880",82,142,115,"10,640",138,13,9,160,
S16000077,Aberdeenshire East,North East Scotland,62844," 34,881 ",55.5," 34,920 ",55.6," 34,312 ",54.6, -   , 8 , -   , 31 , 39 ,"12,595",13,6,50,"12,614","9,088",53,15,0,6,13,41,12,"3,386","12,614","9,141","9,004",12,4,35,29,45,12,"9,141",63,68,137,"9,657",180,15,8,203,
S16000078,Aberdeenshire West,North East Scotland,59576," 35,223 ",59.1," 35,274 ",59.2," 35,332 ",59.3, -   , 4 , -   , 47 , 51 ,"12,434",11,14,45,"12,504","9,757",7,23,0,11,14,27,3,"2,662","12,504","9,757","9,648",13,7,30,13,40,6,"9,757",70,30,109,"9,648",190,10,8,208,
S16000079,Airdrie & Shotts,Central Scotland,53912," 26,646 ",49.4," 26,672 ",49.5," 26,762 ",49.6, -   , 7 , -   , 19 , 26 ,"6,974",9,1,0,"6,984","4,780",8,105,2,1,9,57,6,"2,016","6,984","4,677","4,664",5,2,1,1,3,1,"4,677",43,113,13,"4,664",64,0,3,67,
S16000080,Almond Valley,Lothian,64901," 34,979 ",53.9," 35,034 ",54.0," 35,242 ",54.3, -   , 23 , 1 , 31 , 55 ,"11,575",7,1,2,"11,585","8,506",5,26,45,1,7,67,31,"2,897","11,585","8,506","8,243",17,2,62,32,130,20,"8,506",186,39,263,"8,243",112,4,0,116,
S16000081,Angus North & Mearns,North East Scotland,54355," 29,494 ",54.3," 29,534 ",54.3," 29,728 ",54.7, -   , 9 , 1 , 30 , 40 ,"9,766",4,4,4,"9,778","7,556",54,23,62,4,4,44,35,"1,996","9,778","7,556","7,375",16,5,52,62,33,13,"7,556",81,77,181,"7,322",186,8,6,200,
S16000082,Angus South,North East Scotland,56418," 32,017 ",56.7," 32,069 ",56.8," 32,256 ",57.2, -   , 9 , 1 , 42 , 52 ,"10,612",8,6,8,"10,632","8,309",71,47,54,8,6,63,23,"2,051","10,632","8,309","8,142",4,2,18,89,36,16,"8,307",117,118,165,"8,070",184,9,4,197,
S16000083,Argyll & Bute,Highlands and Islands,48526," 29,559 ",60.9," 29,595 ",61.0," 29,629 ",61.1, -   , 5 , -   , 31 , 36 ,"9,434",11,2,3,"9,450","7,447",52,23,76,2,11,41,31,"1,767","9,450","7,499","7,429",14,2,1,8,42,3,"7,499",62,75,70,"7,377",162,5,5,172,
