Scottish Parliament elections 2016 - Results- Constituencies,,,GENERAL,,,,,,VOTES CAST,,,,,,,,VOTE SHARE %,,,,,,,,,
ONS Code,Constituency,Region,Electorate,Total ballots at the count,Total valid votes cast,Rejected ballots,Ballot Box Turnout (%),Rejected ballots (%),CON,LAB,LIB,SNP,IND,TUSC,GRN,Others,CON,LAB,LIB,SNP,IND,TUSC,GRN,Others,Win,Second
S16000074,Aberdeen Central,North East Scotland," 57,195 "," 26,841 "," 26,704 ", 137 ,46.9,0.5," 6,022 "," 7,299 "," 1,735 "," 11,648 ", -   , -   , -   , -   ,22.6,27.3,6.5,43.6,0.0,0.0,0.0,0.0,SNP,Lab
S16000075,Aberdeen Donside,North East Scotland," 61,200 "," 31,098 "," 30,981 ", 117 ,50.8,0.4," 5,709 "," 5,672 "," 2,261 "," 17,339 ", -   , -   , -   , -   ,18.4,18.3,7.3,56.0,0.0,0.0,0.0,0.0,SNP,Con
S16000076,Aberdeen S. and N. Kincardine,North East Scotland," 59,710 "," 32,471 "," 32,340 ", 131 ,54.4,0.4," 10,849 "," 5,603 "," 2,284 "," 13,604 ", -   , -   , -   , -   ,33.6,17.3,7.1,42.1,0.0,0.0,0.0,0.0,SNP,Con
S16000077,Aberdeenshire East,North East Scotland," 62,844 "," 34,860 "," 34,753 ", 107 ,55.5,0.3," 10,075 "," 2,155 "," 6,611 "," 15,912 ", -   , -   , -   , -   ,29.0,6.2,19.0,45.8,0.0,0.0,0.0,0.0,SNP,Con
S16000078,Aberdeenshire West,North East Scotland," 59,576 "," 35,281 "," 35,198 ", 83 ,59.2,0.2," 13,400 "," 2,036 "," 7,262 "," 12,500 ", -   , -   , -   , -   ,38.1,5.8,20.6,35.5,0.0,0.0,0.0,0.0,Con,SNP
S16000079,Airdrie & Shotts,Central," 53,912 "," 26,675 "," 26,573 ", 102 ,49.5,0.4," 4,164 "," 7,762 ", 693 ," 13,954 ", -   , -   , -   , -   ,15.7,29.2,2.6,52.5,0.0,0.0,0.0,0.0,SNP,Lab
S16000080,Almond Valley,Lothian," 64,901 "," 35,000 "," 34,872 ", 128 ,53.9,0.4," 5,308 "," 10,082 "," 1,007 "," 18,475 ", -   , -   , -   , -   ,15.2,28.9,2.9,53.0,0.0,0.0,0.0,0.0,SNP,Lab
S16000081,Angus North & Mearns,North East Scotland," 54,355 "," 29,496 "," 29,379 ", 117 ,54.3,0.4," 10,945 "," 2,752 "," 2,265 "," 13,417 ", -   , -   , -   , -   ,37.3,9.4,7.7,45.7,0.0,0.0,0.0,0.0,SNP,Con
S16000082,Angus South,North East Scotland," 56,418 "," 32,052 "," 31,929 ", 123 ,56.8,0.4," 11,318 "," 3,773 "," 1,216 "," 15,622 ", -   , -   , -   , -   ,35.5,11.8,3.8,48.9,0.0,0.0,0.0,0.0,SNP,Con
S16000083,Argyll & Bute,Highlands and Islands," 48,526 "," 29,592 "," 29,476 ", 116 ,61.0,0.4," 5,840 "," 2,492 "," 7,583 "," 13,561 ", -   , -   , -   , -   ,19.8,8.5,25.7,46.0,0.0,0.0,0.0,0.0,SNP,LD
S16000084,Ayr,South Scotand," 61,567 "," 37,730 "," 37,615 ", 115 ,61.3,0.3," 16,183 "," 5,283 ", 716 ," 15,433 ", -   , -   , -   , -   ,43.0,14.0,1.9,41.0,0.0,0.0,0.0,0.0,Con,SNP
S16000085,Banffshire & Buchan Coast,North East Scotland," 59,155 "," 28,818 "," 28,683 ", 135 ,48.7,0.5," 9,219 "," 2,372 "," 1,290 "," 15,802 ", -   , -   , -   , -   ,32.1,8.3,4.5,55.1,0.0,0.0,0.0,0.0,SNP,Con
S16000086,Caithness Sutherland & Ross,Highlands and Islands," 55,176 "," 32,344 "," 32,207 ", 137 ,58.6,0.4," 4,912 "," 3,334 "," 10,024 "," 13,937 ", -   , -   , -   , -   ,15.3,10.4,31.1,43.3,0.0,0.0,0.0,0.0,SNP,LD
S16000087,"Carrick, Cumnock & Doon Valley",South Scotand," 58,547 "," 31,795 "," 31,680 ", 115 ,54.3,0.4," 7,666 "," 8,684 ", 640 ," 14,690 ", -   , -   , -   , -   ,24.2,27.4,2.0,46.4,0.0,0.0,0.0,0.0,SNP,Lab
S16000088,Clackmannanshire & Dunblane,Mid Scotland and Fife," 50,557 "," 29,859 "," 29,746 ", 113 ,59.1,0.4," 6,915 "," 7,426 "," 1,258 "," 14,147 ", -   , -   , -   , -   ,23.3,25.0,4.2,47.6,0.0,0.0,0.0,0.0,SNP,Lab
S16000089,Clydebank & Milngavie,West Scotland," 54,769 "," 32,963 "," 32,838 ", 125 ,60.2,0.4," 6,029 "," 7,726 "," 2,925 "," 16,158 ", -   , -   , -   , -   ,18.4,23.5,8.9,49.2,0.0,0.0,0.0,0.0,SNP,Lab
S16000090,Clydesdale,South Scotand," 58,483 "," 33,802 "," 33,719 ", 83 ,57.8,0.2," 8,842 "," 6,995 ", 820 ," 14,821 "," 1,332 ", -   , -   , 909 ,26.2,20.7,2.4,44.0,4.0,0.0,0.0,2.7,SNP,Con
S16000091,Coatbridge & Chryston,Central," 53,192 "," 28,407 "," 28,334 ", 73 ,53.4,0.3," 2,868 "," 9,826 ", 423 ," 13,605 ", -   , -   ," 1,612 ", -   ,10.1,34.7,1.5,48.0,0.0,0.0,5.7,0.0,SNP,Lab
S16000092,Cowdenbeath,Mid Scotland and Fife," 54,596 "," 29,857 "," 29,734 ", 123 ,54.7,0.4," 4,251 "," 10,674 "," 1,094 "," 13,715 ", -   , -   , -   , -   ,14.3,35.9,3.7,46.1,0.0,0.0,0.0,0.0,SNP,Lab
S16000093,Cumbernauld & Kilsyth,Central," 49,981 "," 28,401 "," 28,308 ", 93 ,56.8,0.3," 3,068 "," 7,537 ", 688 ," 17,015 ", -   , -   , -   , -   ,10.8,26.6,2.4,60.1,0.0,0.0,0.0,0.0,SNP,Lab
S16000094,Cunninghame North,West Scotland," 55,645 "," 32,121 "," 31,965 ", 156 ,57.7,0.5," 7,863 "," 6,735 ", 780 ," 16,587 ", -   , -   , -   , -   ,24.6,21.1,2.4,51.9,0.0,0.0,0.0,0.0,SNP,Con
S16000095,Cunninghame South,West Scotland," 50,214 "," 25,798 "," 25,695 ", 103 ,51.4,0.4," 3,940 "," 7,723 ", 616 ," 13,416 ", -   , -   , -   , -   ,15.3,30.1,2.4,52.2,0.0,0.0,0.0,0.0,SNP,Lab
