Scottish Parliament elections 2016 - Results- Regional list,,,GENERAL,,,,,,VOTES CAST,,,,,,,,,,,,,,,,,VOTE SHARE %,,,,,,,,,,,,
ONS Code,Constituency,Region,Electorate,Total ballots at the count,Total valid votes cast,Rejected ballots,Ballot Box Turnout (%),Rejected ballot (%),CON,LAB,LIB,SNP,SGRN,UKIP,IND,SOL,RISE,CHP,WEP,SLBR,ABBUP,COMP,NF,ANWP,Others,CON,LAB,LIB,SNP,SGRN,UKIP,IND,Others,,,,,
S16000074,Aberdeen Central,North East Scotland,"57,195","26,891",26833,58,47.02,0.22,"6,466","5,381","1,401","10,269","2,282",478,0,88,75,208,0,65,0,60,60,0,0,24.1,20.1,5.2,38.3,8.5,1.8,0.0,0.0,,,,,
S16000075,Aberdeen Donside,North East Scotland,"61,200","31,092",31040,52,50.80,0.17,"5,825","5,208","1,653","16,080","1,046",675,0,72,55,226,0,57,0,37,106,0,0,18.8,16.8,5.3,51.8,3.4,2.2,0.0,0.0,,,,,
S16000076,Aberdeen S. and N. Kincardine,North East Scotland,"59,710","32,424",32368,56,54.30,0.17,"11,039","4,496","1,776","12,348","1,577",611,0,78,47,229,0,57,0,60,50,0,0,34.1,13.9,5.5,38.2,4.9,1.9,0.0,0.0,,,,,
S16000077,Aberdeenshire East,North East Scotland,"62,844","34,920",34881,39,55.57,0.11,"10,706","2,244","4,079","15,204","1,410",720,0,58,39,214,0,84,0,58,65,0,0,30.7,6.4,11.7,43.6,4.0,2.1,0.0,0.0,,,,,
S16000078,Aberdeenshire West,North East Scotland,"59,576","35,274",35223,51,59.21,0.14,"13,606","2,184","4,804","11,807","1,719",613,0,70,49,204,0,78,0,41,48,0,0,38.6,6.2,13.6,33.5,4.9,1.7,0.0,0.0,,,,,
S16000079,Airdrie & Shotts,Central Scotland,"53,912","26,672",26646,26,49.47,0.10,"4,270","7,029",423,"12,646",880,730,35,279,106,248,0,0,0,0,0,0,0,16.0,26.4,1.6,47.5,3.3,2.7,0.1,0.0,,,,,
S16000080,Almond Valley,Lothian,"64,901","35,034",34979,55,53.98,0.16,"5,868","8,453",723,"16,878","1,626",875,0,215,110,0,231,0,0,0,0,0,0,16.8,24.2,2.1,48.3,4.7,2.5,0.0,0.0,,,,,
S16000081,Angus North & Mearns,North East Scotland,"54,355","29,534",29494,40,54.34,0.14,"10,575","2,663","1,522","12,170","1,532",626,0,80,44,110,0,56,0,47,69,0,0,35.9,9.0,5.2,41.3,5.2,2.1,0.0,0.0,,,,,
S16000082,Angus South,North East Scotland,"56,418","32,069",32017,52,56.84,0.16,"10,885","3,399",943,"14,148","1,520",667,0,83,60,174,0,45,0,43,50,0,0,34.0,10.6,3.0,44.2,4.8,2.1,0.0,0.0,,,,,
S16000083,Argyll & Bute,Highlands and Islands,"48,526","29,595",29559,36,60.99,0.12,"7,151","2,739","3,856","12,327","2,213",679,153,162,86,193,0,0,0,0,0,0,0,24.2,9.3,13.1,41.7,7.5,2.3,0.5,0.0,,,,,
