,N,V,1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,"2. Политическая партия ""Либерально-демократическая партия России""","3. Политическая партия ""ПАТРИОТЫ РОССИИ""","4. Политическая партия ""Коммунистическая партия Российской Федерации""","5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""","6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""","7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""
Республика Адыгея (Адыгея),340097,220846,18943,17360,2068,40831,3962,136612,1070
Республика Алтай,151402,95016,9938,10252,778,20741,1479,51342,486
Республика Башкортостан - Бирская,741585,613502,29652,28360,3083,83442,5318,461866,1781
Республика Башкортостан - Салаватская,726901,586224,33273,22313,3181,99895,4607,421283,1672
Республика Башкортостан - Стерлитамакская,746333,601996,21389,22625,2386,85535,3942,463340,2779
Республика Башкортостан - Уфимская,802893,564091,46031,51083,4300,105138,15979,338464,3096
Республика Бурятия,670122,375852,48166,36119,3008,92834,7161,186953,1611
Республика Дагестан - Дербентская,800835,721896,1426,139,605,53852,284,665112,478
Республика Дагестан - Махачкалинская,842969,772604,1416,310,1343,64823,457,703868,387
Республика Ингушетия,192557,164878,3851,675,419,4894,1280,151257,2502
Кабардино-Балкарская Республика,531612,522518,1045,418,135,92153,368,428171,228
Республика Калмыкия,215713,134103,9790,5485,870,25035,1944,90089,890
Карачаево-Черкесская Республика,319479,297047,1386,828,390,26263,381,267475,324
Республика Карелия,560944,276459,58027,50582,2605,54294,17512,90942,2497
Республика Коми,743161,531804,61804,64163,5079,72533,8164,316916,3145
Республика Марий Эл,533233,375131,40239,44537,3258,78791,7622,198570,2114
Республика Мордовия,656132,614399,7969,9512,837,28053,1822,565597,609
Республика Саха (Якутия),625569,370843,81924,31811,2941,61544,6245,184552,1826
Республика Северная Осетия - Алания,511363,433011,26422,9788,1548,95228,1107,297704,1214
Республика Татарстан (Татарстан) - Московская,683105,568176,23251,19619,1786,47818,6284,467867,1551
Республика Татарстан (Татарстан) - Набережночелнинская,698589,604498,26498,15752,2088,65047,4103,489032,1978
Республика Татарстан (Татарстан) - Нефтяная,762577,657596,24867,17633,2479,65752,3992,541080,1793
Республика Татарстан (Татарстан) - Центральная,730759,432356,46361,26537,3540,63236,10258,279210,3214
Республика Тыва,163001,139001,9422,2926,436,5517,730,119705,265
Удмуртская Республика,1223682,680635,77282,114668,17543,135128,19648,311721,4645
Республика Хакасия,376057,207976,28907,33855,3425,49962,5636,84843,1348
Чеченская Республика,614109,610727,1113,150,436,576,282,607909,261
Чувашская Республика - Чувашия,981161,586870,113598,64516,7997,126388,9668,262526,2177
Алтайский край,1969757,1014404,166463,171347,7738,255487,25027,384429,3913
Краснодарский край - Армавирская,745514,520843,58853,62086,5140,99444,8959,284010,2351
Краснодарский край - Каневская,781521,568841,61298,63335,5011,101909,7558,327553,2177
Краснодарский край - Краснодарская,804196,572805,68037,53508,6035,107002,16534,318609,3080
Краснодарский край - Крымская,709504,515128,57195,52892,4591,86112,8077,304058,2203
Краснодарский край - Сочинская,709356,498926,48541,52539,5040,83137,13799,293023,2847
Красноярский край,2183881,1065382,171949,184249,10724,255919,34976,397941,9624
Приморский край,1534315,728245,135432,139520,6406,173938,23184,246059,3706
Ставропольский край,1987827,990328,119297,154492,9381,185724,21448,495691,4295
Хабаровский край,1054480,550454,78933,111033,7612,114793,20465,213616,4002
Амурская область,655553,347740,36386,74239,6123,67905,6644,154129,2314
Архангельская область,988921,488333,109222,89741,6092,99924,22041,157599,3714
Астраханская область,764652,420119,62168,35576,3001,56629,4325,256994,1426
Белгородская область,1206316,895078,105399,87786,9328,204004,18960,465571,4030
Брянская область,1042619,615045,69690,66398,5840,145420,12337,312620,2740
Владимирская область,1263297,603095,133516,80192,6821,127283,21798,230059,3426
Волгоградская область - Волгоградская,677846,330009,76939,43139,4520,83903,19216,99744,2548
Волгоградская область - Волжская,657493,328528,73303,47004,3698,75994,11224,115368,1937
Волгоградская область - Михайловская,653348,360607,76612,47277,2848,75395,5101,151776,1598
