"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"1",2020-02-15,16,13,0,3,3,0,0,0,0,0,0,0,0.8125
"2",2020-02-16,16,13,0,3,3,0,0,0,0,0,0,0,0.8125
"3",2020-02-17,16,9,0,7,7,0,-4,4,0,4,0,0,0.5625
"4",2020-02-18,16,7,0,9,9,0,-2,2,0,2,0,0,0.4375
"5",2020-02-19,16,7,0,9,9,0,0,0,0,0,0,0,0.4375
"6",2020-02-20,16,3,0,13,13,0,-4,4,0,4,0,0,0.1875
"7",2020-02-21,16,2,0,14,14,0,-1,1,0,1,0,0,0.125
"8",2020-02-22,16,2,0,14,14,0,0,0,0,0,0,0,0.125
"9",2020-02-23,16,2,0,14,14,0,0,0,0,0,0,0,0.125
"10",2020-02-24,16,2,0,14,14,0,0,0,0,0,0,0,0.125
"11",2020-02-25,18,3,0,15,15,2,1,1,0,1,0.666666666666667,0,0.166666666666667
"12",2020-02-26,26,11,0,15,15,8,8,0,0,0,0.727272727272727,0,0.423076923076923
"13",2020-02-27,48,32,0,16,16,22,21,1,0,1,0.6875,0,0.666666666666667
"14",2020-02-28,74,58,0,16,16,26,26,0,0,0,0.448275862068966,0,0.783783783783784
"15",2020-02-29,79,63,0,16,16,5,5,0,0,0,0.0793650793650794,0,0.79746835443038
"16",2020-03-01,130,114,0,16,16,51,51,0,0,0,0.447368421052632,0,0.876923076923077
"17",2020-03-02,165,149,0,16,16,35,35,0,0,0,0.23489932885906,0,0.903030303030303
"18",2020-03-03,203,187,0,16,16,38,38,0,0,0,0.203208556149733,0,0.921182266009852
"19",2020-03-04,262,246,0,16,16,59,59,0,0,0,0.239837398373984,0,0.938931297709924
"20",2020-03-05,545,528,0,17,17,283,282,1,0,1,0.535984848484849,0,0.968807339449541
"21",2020-03-06,670,652,0,18,18,125,124,1,0,1,0.191717791411043,0,0.973134328358209
"22",2020-03-07,800,782,0,18,18,130,130,0,0,0,0.166240409207161,0,0.9775
"23",2020-03-08,1040,1022,0,18,18,240,240,0,0,0,0.234833659491194,0,0.982692307692308
"24",2020-03-09,1224,1204,2,20,18,184,182,2,2,0,0.152823920265781,0.1,0.983660130718954
"25",2020-03-10,1565,1545,2,20,18,341,341,0,0,0,0.220711974110032,0.1,0.987220447284345
"26",2020-03-11,1966,1938,3,28,25,401,393,8,1,7,0.206914344685243,0.107142857142857,0.985757884028484
"27",2020-03-12,2745,2714,6,31,25,779,776,3,3,0,0.287030213706706,0.193548387096774,0.988706739526412
"28",2020-03-13,3675,3621,8,54,46,930,907,23,2,21,0.256835128417564,0.148148148148148,0.98530612244898
"29",2020-03-14,4599,4544,9,55,46,924,923,1,1,0,0.203345070422535,0.163636363636364,0.988040878451837
"30",2020-03-15,5813,5754,13,59,46,1214,1210,4,4,0,0.210983663538408,0.220338983050847,0.989850335455015
"31",2020-03-16,7272,7188,17,84,67,1459,1434,25,4,21,0.202977184195882,0.202380952380952,0.988448844884488
