"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"1",2020-02-15,2,0,0,2,2,0,0,0,0,0,0,0,0
"2",2020-02-16,2,0,0,2,2,0,0,0,0,0,0,0,0
"3",2020-02-17,2,0,0,2,2,0,0,0,0,0,0,0,0
"4",2020-02-18,2,0,0,2,2,0,0,0,0,0,0,0,0
"5",2020-02-19,2,0,0,2,2,0,0,0,0,0,0,0,0
"6",2020-02-20,2,0,0,2,2,0,0,0,0,0,0,0,0
"7",2020-02-21,2,0,0,2,2,0,0,0,0,0,0,0,0
"8",2020-02-22,2,0,0,2,2,0,0,0,0,0,0,0,0
"9",2020-02-23,2,0,0,2,2,0,0,0,0,0,0,0,0
"10",2020-02-24,3,1,0,2,2,1,1,0,0,0,1,0,0.333333333333333
"11",2020-02-25,9,7,0,2,2,6,6,0,0,0,0.857142857142857,0,0.777777777777778
"12",2020-02-26,13,11,0,2,2,4,4,0,0,0,0.363636363636364,0,0.846153846153846
"13",2020-02-27,25,23,0,2,2,12,12,0,0,0,0.521739130434783,0,0.92
"14",2020-02-28,33,31,0,2,2,8,8,0,0,0,0.258064516129032,0,0.939393939393939
"15",2020-02-29,58,56,0,2,2,25,25,0,0,0,0.446428571428571,0,0.96551724137931
"16",2020-03-01,84,82,0,2,2,26,26,0,0,0,0.317073170731707,0,0.976190476190476
"17",2020-03-02,120,118,0,2,2,36,36,0,0,0,0.305084745762712,0,0.983333333333333
"18",2020-03-03,165,162,1,3,2,45,44,1,1,0,0.277777777777778,0.333333333333333,0.981818181818182
"19",2020-03-04,228,224,2,4,2,63,62,1,1,0,0.28125,0.5,0.982456140350877
"20",2020-03-05,282,276,3,6,3,54,52,2,1,1,0.195652173913043,0.5,0.978723404255319
"21",2020-03-06,401,387,8,14,6,119,111,8,5,3,0.30749354005168,0.571428571428571,0.965087281795511
"22",2020-03-07,525,485,10,40,30,124,98,26,2,24,0.255670103092783,0.25,0.923809523809524
"23",2020-03-08,674,625,17,49,32,149,140,9,7,2,0.2384,0.346938775510204,0.927299703264095
"24",2020-03-09,1231,1169,30,62,32,557,544,13,13,0,0.476475620188195,0.483870967741935,0.949634443541836
"25",2020-03-10,1695,1524,36,171,135,464,355,109,6,103,0.304461942257218,0.210526315789474,0.899115044247788
"26",2020-03-11,2277,2039,55,238,183,582,515,67,19,48,0.2854340362923,0.23109243697479,0.895476504172156
"27",2020-03-12,3146,2871,86,275,189,869,832,37,31,6,0.302681992337165,0.312727272727273,0.912587412587413
"28",2020-03-13,5232,4906,133,326,193,2086,2035,51,47,4,0.425193640440277,0.407975460122699,0.937691131498471
"29",2020-03-14,6391,5678,196,713,517,1159,772,387,63,324,0.204121169425854,0.274894810659187,0.888436864340479
