"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"1",2020-02-15,12,7,1,5,4,0,0,0,0,0,0,0.2,0.583333333333333
"2",2020-02-16,12,7,1,5,4,0,0,0,0,0,0,0.2,0.583333333333333
"3",2020-02-17,12,6,1,6,5,0,-1,1,0,1,0,0.166666666666667,0.5
"4",2020-02-18,12,4,1,8,7,0,-2,2,0,2,0,0.125,0.333333333333333
"5",2020-02-19,12,4,1,8,7,0,0,0,0,0,0,0.125,0.333333333333333
"6",2020-02-20,12,4,1,8,7,0,0,0,0,0,0,0.125,0.333333333333333
"7",2020-02-21,12,4,1,8,7,0,0,0,0,0,0,0.125,0.333333333333333
"8",2020-02-22,12,1,1,11,10,0,-3,3,0,3,0,0.0909090909090909,0.0833333333333333
"9",2020-02-23,12,1,1,11,10,0,0,0,0,0,0,0.0909090909090909,0.0833333333333333
"10",2020-02-24,12,0,1,12,11,0,-1,1,0,1,0,0.0833333333333333,0
"11",2020-02-25,14,2,1,12,11,2,2,0,0,0,1,0.0833333333333333,0.142857142857143
"12",2020-02-26,18,5,2,13,11,4,3,1,1,0,0.8,0.153846153846154,0.277777777777778
"13",2020-02-27,38,25,2,13,11,20,20,0,0,0,0.8,0.153846153846154,0.657894736842105
"14",2020-02-28,57,44,2,13,11,19,19,0,0,0,0.431818181818182,0.153846153846154,0.771929824561403
"15",2020-02-29,100,86,2,14,12,43,42,1,0,1,0.5,0.142857142857143,0.86
"16",2020-03-01,130,116,2,14,12,30,30,0,0,0,0.258620689655172,0.142857142857143,0.892307692307692
"17",2020-03-02,191,176,3,15,12,61,60,1,1,0,0.346590909090909,0.2,0.921465968586387
"18",2020-03-03,212,196,4,16,12,21,20,1,1,0,0.107142857142857,0.25,0.924528301886792
"19",2020-03-04,285,269,4,16,12,73,73,0,0,0,0.271375464684015,0.25,0.943859649122807
"20",2020-03-05,423,404,7,19,12,138,135,3,3,0,0.341584158415842,0.368421052631579,0.955082742316785
"21",2020-03-06,653,632,9,21,12,230,228,2,2,0,0.363924050632911,0.428571428571429,0.967840735068913
"22",2020-03-07,949,921,16,28,12,296,289,7,7,0,0.321389793702497,0.571428571428571,0.970495258166491
"23",2020-03-08,1209,1178,19,31,12,260,257,3,3,0,0.220713073005093,0.612903225806452,0.974358974358974
"24",2020-03-09,1412,1370,30,42,12,203,192,11,11,0,0.148175182481752,0.714285714285714,0.970254957507082
"25",2020-03-10,1784,1739,33,45,12,372,369,3,3,0,0.213916043703278,0.733333333333333,0.974775784753363
"26",2020-03-11,2281,2221,48,60,12,497,482,15,15,0,0.223773075191355,0.8,0.973695747479176
"27",2020-03-12,2876,2803,61,73,12,595,582,13,13,0,0.212272565108812,0.835616438356164,0.97461752433936
"28",2020-03-13,3661,3570,79,91,12,785,767,18,18,0,0.219887955182073,0.868131868131868,0.975143403441683
"29",2020-03-14,4499,4396,91,103,12,838,826,12,12,0,0.190627843494086,0.883495145631068,0.977106023560791
"30",2020-03-15,5423,5284,127,139,12,924,888,36,36,0,0.174867524602574,0.913669064748201,0.974368430757883
"31",2020-03-16,6633,6473,148,160,12,1210,1189,21,21,0,0.186930325969411,0.925,0.975878184833409
"32",2020-03-17,7730,6953,175,777,602,1097,480,617,27,590,0.157773622896591,0.225225225225225,0.899482535575679
"33",2020-03-18,9134,8268,264,866,602,1404,1315,89,89,0,0.169811320754717,0.304849884526559,0.905189402233414
"34",2020-03-19,10995,9328,372,1667,1295,1861,1060,801,108,693,0.199506861063465,0.223155368926215,0.848385629831742
"35",2020-03-20,12612,10575,450,2037,1587,1617,1247,370,78,292,0.15290780141844,0.220913107511046,0.83848715509039
"36",2020-03-21,14459,12310,562,2149,1587,1847,1735,112,112,0,0.15004061738424,0.26151698464402,0.851372847361505
"37",2020-03-22,16018,13144,674,2874,2200,1559,834,725,112,613,0.118609251369446,0.234516353514266,0.820576851042577
"38",2020-03-23,19856,16796,860,3060,2200,3838,3652,186,186,0,0.228506787330317,0.281045751633987,0.845890410958904
"39",2020-03-24,22304,17923,1100,4381,3281,2448,1127,1321,240,1081,0.136584277185739,0.251084227345355,0.803577833572453
"40",2020-03-25,25233,20002,1331,5231,3900,2929,2079,850,231,619,0.146435356464354,0.254444656853374,0.792692109539096
"41",2020-03-26,29155,22511,1696,6644,4948,3922,2509,1413,365,1048,0.174225933987828,0.25526791089705,0.772114560109758
"42",2020-03-27,32964,25269,1995,7695,5700,3809,2758,1051,299,752,0.150738058490641,0.259259259259259,0.766563523844194
"43",2020-03-28,37575,29561,2314,8014,5700,4611,4292,319,319,0,0.155982544568858,0.288744696780634,0.786719893546241
"44",2020-03-29,40174,30366,2606,9808,7202,2599,805,1794,292,1502,0.0855891457551209,0.265701468189233,0.755862000298701
"45",2020-03-30,44550,33599,3024,10951,7927,4376,3233,1143,418,725,0.130241971487247,0.276139165373025,0.754186307519641
"46",2020-03-31,52128,39161,3523,12967,9444,7578,5562,2016,499,1517,0.19350884808866,0.271689673787306,0.75124693063229
"47",2020-04-01,56989,42022,4032,14967,10935,4861,2861,2000,509,1491,0.115677502260721,0.269392663860493,0.737370369720472
"48",2020-04-02,59105,41290,5387,17815,12428,2116,-732,2848,1355,1493,0.0512472753693388,0.302385630087005,0.698587259961086
"49",2020-04-03,82165,61650,6507,20515,14008,23060,20360,2700,1120,1580,0.37404703974047,0.317182549354131,0.750319479096939
"50",2020-04-04,89953,66955,7560,22998,15438,7788,5305,2483,1053,1430,0.11631692928086,0.328724236890164,0.744333151757029
"51",2020-04-05,92839,68578,8078,24261,16183,2886,1623,1263,518,745,0.0420834670010791,0.332962367585837,0.738676633742285
"52",2020-04-06,98010,71849,8911,26161,17250,5171,3271,1900,833,1067,0.0719703823296079,0.340621535874011,0.733078257320682
"53",2020-04-07,106069,79404,10328,26665,16337,8059,7555,504,1417,-913,0.101493627525062,0.387324207762985,0.748607038814357
"54",2020-04-08,112950,80827,10869,32123,21254,6881,1423,5458,541,4917,0.0851324433666968,0.338355695296205,0.7155998229305
"55",2020-04-09,117749,82333,12210,35416,23206,4799,1506,3293,1341,1952,0.0582876853752444,0.344759430765756,0.699224621865154
"56",2020-04-10,124869,86740,13197,38129,24932,7120,4407,2713,987,1726,0.0820843901314273,0.346114506019041,0.694647991094667
"57",2020-04-11,129654,89431,13832,40223,26391,4785,2691,2094,635,1459,0.0535049367668929,0.343882853094001,0.689766609591682
"58",2020-04-12,132591,91012,14393,41579,27186,2937,1581,1356,561,795,0.0322704698281545,0.346160321316049,0.686411596563869
"59",2020-04-13,136779,94094,14967,42685,27718,4188,3082,1106,574,532,0.0445086828065551,0.350638397563547,0.687927240292735
"60",2020-04-14,143303,98769,15729,44534,28805,6524,4675,1849,762,1087,0.0660531138312628,0.353190820496699,0.689231907217574
"61",2020-04-15,147863,99741,17167,48122,30955,4560,972,3588,1438,2150,0.0457184106836707,0.356739121399776,0.674550090286279
"62",2020-04-16,165027,114295,17920,50732,32812,17164,14554,2610,753,1857,0.150172798460125,0.353228731372704,0.692583637828961
