"","Date","Infection.Day","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor"
"1",2020-02-15,18,3,3,0,0,0,0,0,0,0,0,0
"2",2020-02-16,19,3,3,0,0,0,0,0,0,0,0,0
"3",2020-02-17,20,3,3,0,0,0,0,0,0,0,0,0
"4",2020-02-18,21,3,3,0,0,0,0,0,0,0,0,0
"5",2020-02-19,22,3,3,0,0,0,0,0,0,0,0,0
"6",2020-02-20,23,4,4,0,0,0,1,1,0,0,0,0.25
"7",2020-02-21,24,21,19,1,2,1,17,15,2,1,1,0.894736842105263
"8",2020-02-22,25,79,75,2,4,2,58,56,2,1,1,0.773333333333333
"9",2020-02-23,26,157,152,3,5,2,78,77,1,1,0,0.513157894736842
"10",2020-02-24,27,229,221,7,8,1,72,69,3,4,-1,0.32579185520362
"11",2020-02-25,28,323,310,11,13,2,94,89,5,4,1,0.303225806451613
"12",2020-02-26,29,470,455,12,15,3,147,145,2,1,1,0.323076923076923
"13",2020-02-27,30,655,593,17,62,45,185,138,47,5,42,0.311973018549747
"14",2020-02-28,31,889,822,21,67,46,234,229,5,4,1,0.284671532846715
"15",2020-02-29,32,1128,1049,29,79,50,239,227,12,8,4,0.227836034318398
"16",2020-03-01,33,1701,1577,41,124,83,573,528,45,12,33,0.363348129359543
"17",2020-03-02,34,2036,1835,52,201,149,335,258,77,11,66,0.182561307901907
"18",2020-03-03,35,2502,2263,79,239,160,466,428,38,27,11,0.205921343349536
"19",2020-03-04,36,3089,2706,107,383,276,587,443,144,28,116,0.216925351071693
"20",2020-03-05,37,3858,3296,148,562,414,769,590,179,41,138,0.233313106796116
"21",2020-03-06,38,4636,3913,197,723,526,778,617,161,49,112,0.198824431382571
"22",2020-03-07,39,5883,5061,233,822,589,1247,1148,99,36,63,0.24639399328196
"23",2020-03-08,40,7375,6387,366,988,622,1492,1326,166,133,33,0.233599498982308
"24",2020-03-09,41,9172,7985,463,1187,724,1797,1598,199,97,102,0.225046963055729
"25",2020-03-10,42,10149,8514,631,1635,1004,977,529,448,168,280,0.114752172891708
"26",2020-03-11,43,12462,10590,827,1872,1045,2313,2076,237,196,41,0.218413597733711
"27",2020-03-12,44,15113,12839,1016,2274,1258,2651,2249,402,189,213,0.20648025547161
"28",2020-03-13,45,17660,14955,1266,2705,1439,2547,2116,431,250,181,0.170310932798395
"29",2020-03-14,46,21157,17750,1441,3407,1966,3497,2795,702,175,527,0.197014084507042
"30",2020-03-15,47,24747,20603,1809,4144,2335,3590,2853,737,368,369,0.174246468960831
"31",2020-03-16,48,27980,23073,2158,4907,2749,3233,2470,763,349,414,0.140120487149482
"32",2020-03-17,49,31506,26062,2503,5444,2941,3526,2989,537,345,192,0.135292763410329
"33",2020-03-18,50,35713,28710,2978,7003,4025,4207,2648,1559,475,1084,0.146534308603274
"34",2020-03-19,51,41035,33190,3405,7845,4440,5322,4480,842,427,415,0.160349502862308
"35",2020-03-20,52,47021,37860,4032,9161,5129,5986,4670,1316,627,689,0.1581088219757
"36",2020-03-21,53,53578,42681,4825,10897,6072,6557,4821,1736,793,943,0.153628078067524
"37",2020-03-22,54,59138,46638,5476,12500,7024,5560,3957,1603,651,952,0.119216089883786
"38",2020-03-23,55,63927,50418,6077,13509,7432,4789,3780,1009,601,408,0.0949859177277956
"39",2020-03-24,56,69176,54030,6820,15146,8326,5249,3612,1637,743,894,0.0971497316305756
"40",2020-03-25,57,74386,57521,7503,16865,9362,5210,3491,1719,683,1036,0.090575615862033
"41",2020-03-26,58,80589,62013,8215,18576,10361,6203,4492,1711,712,999,0.100027413606824
"42",2020-03-27,59,86498,66414,9134,20084,10950,5909,4401,1508,919,589,0.0889722046556449
"43",2020-03-28,60,92472,70065,10023,22407,12384,5974,3651,2323,889,1434,0.0852636837222579
"44",2020-03-29,61,97689,73880,10779,23809,13030,5217,3815,1402,756,646,0.0706145100162426
"45",2020-03-30,62,101739,75528,11591,26211,14620,4050,1648,2402,812,1590,0.0536224976167779
