"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"27",2020-03-12,7869,7293,66,576,510,114,-69,183,6,177,0.0156314273961333,0.114583333333333,0.926801372474266
"28",2020-03-13,7979,7198,67,781,714,110,-95,205,1,204,0.0152820227841067,0.0857874519846351,0.902118059907257
"31",2020-03-16,8236,7024,75,1212,1137,74,-229,303,0,303,0.0105353075170843,0.0618811881188119,0.852841185041282
"32",2020-03-17,8320,6838,81,1482,1401,84,-186,270,6,264,0.0122842936531149,0.0546558704453441,0.821875
"33",2020-03-18,8413,6789,84,1624,1540,93,-49,142,3,139,0.0136986301369863,0.0517241379310345,0.806965410673957
"34",2020-03-19,8565,6527,91,2038,1947,152,-262,414,7,407,0.0232878811092385,0.0446516192345437,0.7620548744892
"35",2020-03-20,8652,6325,94,2327,2233,87,-202,289,3,286,0.0137549407114624,0.040395358831113,0.731044845122515
"36",2020-03-21,8799,6085,102,2714,2612,147,-240,387,8,379,0.0241577649958915,0.0375829034635225,0.691555858620298
"37",2020-03-22,8897,5884,104,3013,2909,98,-201,299,2,297,0.0166553365057784,0.0345170925987388,0.661346521299314
"38",2020-03-23,8961,5684,111,3277,3166,64,-200,264,7,257,0.0112596762843068,0.033872444308819,0.634304207119741
"39",2020-03-24,9037,5410,120,3627,3507,76,-274,350,9,341,0.0140480591497227,0.033085194375517,0.59864999446719
"40",2020-03-25,9137,5281,126,3856,3730,100,-129,229,6,223,0.0189358076121947,0.0326763485477178,0.577979643208931
"41",2020-03-26,9241,4966,131,4275,4144,104,-315,419,5,414,0.0209424083769634,0.0306432748538012,0.537387728600801
"42",2020-03-27,9332,4665,139,4667,4528,91,-301,392,8,384,0.0195069667738478,0.029783586886651,0.499892841834548
"43",2020-03-28,9478,4523,144,4955,4811,146,-142,288,5,283,0.0322794605350431,0.0290615539858729,0.477210381937118
"44",2020-03-29,9583,4398,152,5185,5033,105,-125,230,8,222,0.0238744884038199,0.0293153326904532,0.458937702180945
"45",2020-03-30,9661,4275,158,5386,5228,78,-123,201,6,195,0.0182456140350877,0.0293353137764575,0.442500776317151
"46",2020-03-31,9786,4216,162,5570,5408,125,-59,184,4,180,0.0296489563567362,0.0290843806104129,0.430819538115675
"47",2020-04-01,9887,4155,165,5732,5567,101,-61,162,3,159,0.0243080625752106,0.0287857641311933,0.420248811570749
"48",2020-04-02,9976,3979,169,5997,5828,89,-176,265,4,261,0.0223674290022619,0.0281807570451893,0.398857257417803
"49",2020-04-03,10062,3867,174,6195,6021,86,-112,198,5,193,0.0222394621153349,0.0280871670702179,0.384317233154442
"50",2020-04-04,10156,3654,177,6502,6325,94,-213,307,3,304,0.0257252326217843,0.0272223931098124,0.35978731784167
