"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor"
"26",2020-03-11,503,498,5,5,0,0,0,0,0,0,0
"27",2020-03-12,614,607,5,7,2,111,109,2,0,2,0.182866556836903
"28",2020-03-13,804,792,10,12,2,190,185,5,5,0,0.23989898989899
"29",2020-03-14,959,945,12,14,2,155,153,2,2,0,0.164021164021164
"30",2020-03-15,1135,1113,20,22,2,176,168,8,8,0,0.158131176999102
"31",2020-03-16,1413,1387,24,26,2,278,274,4,4,0,0.200432588320115
"32",2020-03-17,1705,1660,43,45,2,292,273,19,19,0,0.175903614457831
"33",2020-03-18,2051,1991,58,60,2,346,331,15,15,0,0.173782019085887
"34",2020-03-19,2460,2382,76,78,2,409,391,18,18,0,0.171704450041982
"35",2020-03-20,2994,2886,106,108,2,534,504,30,30,0,0.185031185031185
"36",2020-03-21,3631,3493,136,138,2,637,607,30,30,0,0.182364729458918
"37",2020-03-22,4204,4023,179,181,2,573,530,43,43,0,0.142431021625652
"38",2020-03-23,4749,4534,213,215,2,545,511,34,34,0,0.120202911336568
"39",2020-03-24,5560,5282,276,278,2,811,748,63,63,0,0.153540325634229
"40",2020-03-25,6412,6053,356,359,3,852,771,81,80,1,0.140756649595242
"41",2020-03-26,7431,6994,434,437,3,1019,941,78,78,0,0.14569631112382
"42",2020-03-27,8603,8054,546,549,3,1172,1060,112,112,0,0.145517755152719
"43",2020-03-28,9762,9120,639,642,3,1159,1066,93,93,0,0.127083333333333
"44",2020-03-29,10866,9845,771,1021,250,1104,725,379,132,247,0.112138141188421
"45",2020-03-30,11750,10636,864,1114,250,884,791,93,93,0,0.0831139526137646
"46",2020-03-31,12595,11306,1039,1289,250,845,670,175,175,0,0.0747390765964974
