"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate"
"1",2020-02-15,9,1,0,8,8,0,0,0,0,0,0,0
"2",2020-02-16,9,1,0,8,8,0,0,0,0,0,0,0
"3",2020-02-17,9,1,0,8,8,0,0,0,0,0,0,0
"4",2020-02-18,9,1,0,8,8,0,0,0,0,0,0,0
"5",2020-02-19,9,1,0,8,8,0,0,0,0,0,0,0
"6",2020-02-20,9,1,0,8,8,0,0,0,0,0,0,0
"7",2020-02-21,9,1,0,8,8,0,0,0,0,0,0,0
"8",2020-02-22,9,1,0,8,8,0,0,0,0,0,0,0
"9",2020-02-23,13,5,0,8,8,4,4,0,0,0,0.8,0
"10",2020-02-24,13,5,0,8,8,0,0,0,0,0,0,0
"11",2020-02-25,13,5,0,8,8,0,0,0,0,0,0,0
"12",2020-02-26,13,5,0,8,8,0,0,0,0,0,0,0
"13",2020-02-27,16,8,0,8,8,3,3,0,0,0,0.375,0
"14",2020-02-28,20,12,0,8,8,4,4,0,0,0,0.333333333333333,0
"15",2020-02-29,23,15,0,8,8,3,3,0,0,0,0.2,0
"16",2020-03-01,36,28,0,8,8,13,13,0,0,0,0.464285714285714,0
"17",2020-03-02,39,31,0,8,8,3,3,0,0,0,0.0967741935483871,0
"18",2020-03-03,51,43,0,8,8,12,12,0,0,0,0.27906976744186,0
"19",2020-03-04,87,79,0,8,8,36,36,0,0,0,0.455696202531646,0
"20",2020-03-05,116,97,1,19,18,29,18,11,1,10,0.298969072164948,0.0526315789473684
"21",2020-03-06,164,144,2,20,18,48,47,1,1,0,0.333333333333333,0.1
"22",2020-03-07,209,189,2,20,18,45,45,0,0,0,0.238095238095238,0.1
"23",2020-03-08,278,257,3,21,18,69,68,1,1,0,0.268482490272374,0.142857142857143
"24",2020-03-09,321,298,5,23,18,43,41,2,2,0,0.144295302013423,0.217391304347826
"25",2020-03-10,383,359,6,24,18,62,61,1,1,0,0.172701949860724,0.25
"26",2020-03-11,460,434,8,26,18,77,75,2,2,0,0.17741935483871,0.307692307692308
"27",2020-03-12,590,562,10,28,18,130,128,2,2,0,0.231316725978648,0.357142857142857
"28",2020-03-13,798,769,11,29,18,208,207,1,1,0,0.270481144343303,0.379310344827586
"29",2020-03-14,1140,1101,21,39,18,342,332,10,10,0,0.310626702997275,0.538461538461538
"30",2020-03-15,1391,1336,35,55,20,251,235,16,14,2,0.187874251497006,0.636363636363636
"31",2020-03-16,1543,1436,55,107,52,152,100,52,20,32,0.105849582172702,0.514018691588785
"32",2020-03-17,1950,1814,71,136,65,407,378,29,16,13,0.224366041896362,0.522058823529412
"33",2020-03-18,2626,2457,104,169,65,676,643,33,33,0,0.275132275132275,0.615384615384615
"34",2020-03-19,3269,3060,144,209,65,643,603,40,40,0,0.210130718954248,0.688995215311005
"35",2020-03-20,3983,3741,177,242,65,714,681,33,33,0,0.190858059342422,0.731404958677686
"36",2020-03-21,5018,4692,233,326,93,1035,951,84,56,28,0.220588235294118,0.714723926380368
"37",2020-03-22,5683,5309,281,374,93,665,617,48,48,0,0.125258994160859,0.751336898395722
"38",2020-03-23,6650,6180,335,470,135,967,871,96,54,42,0.156472491909385,0.712765957446808
"39",2020-03-24,8077,7520,422,557,135,1427,1340,87,87,0,0.189760638297872,0.757630161579892
"40",2020-03-25,9529,8931,463,598,135,1452,1411,41,41,0,0.162579778300302,0.774247491638796
"41",2020-03-26,11658,10945,578,713,135,2129,2014,115,115,0,0.194518044769301,0.810659186535764
"42",2020-03-27,14543,13649,759,894,135,2885,2704,181,181,0,0.21137079639534,0.848993288590604
"43",2020-03-28,17089,15935,1019,1154,135,2546,2286,260,260,0,0.159774082208974,0.883015597920277
"44",2020-03-29,19522,18159,1228,1363,135,2433,2224,209,209,0,0.133983148851809,0.900953778429934
"45",2020-03-30,22141,20598,1408,1543,135,2619,2439,180,180,0,0.127148266822022,0.91250810110175
"46",2020-03-31,25150,23226,1789,1924,135,3009,2628,381,381,0,0.129553087057608,0.92983367983368
"47",2020-04-01,29474,26987,2352,2487,135,4324,3761,563,563,0,0.16022529365991,0.945717732207479
"48",2020-04-02,33718,30662,2921,3056,135,4244,3675,569,569,0,0.138412367099341,0.955824607329843
"49",2020-04-03,38168,34428,3605,3740,135,4450,3766,684,684,0,0.12925525734867,0.963903743315508
