"","Date","Total.Cases","Active.Cases","Deaths"
"1",2020-01-22,571,554,17
"2",2020-01-23,830,771,25
"3",2020-01-24,1287,1208,41
"4",2020-01-25,1975,1870,56
"5",2020-01-26,2744,2613,80
"6",2020-01-27,4515,4349,106
"7",2020-01-28,5974,5739,132
"8",2020-01-29,7711,7417,170
"9",2020-01-30,9692,9308,213
"10",2020-01-31,11791,11289,259
"11",2020-02-01,14380,13748,304
"12",2020-02-02,17205,16369,361
"13",2020-02-03,20440,19383,425
"14",2020-02-04,24324,22942,490
"15",2020-02-05,28018,26302,563
"16",2020-02-06,31161,28985,636
"17",2020-02-07,34546,31774,722
"18",2020-02-08,37198,33738,811
"19",2020-02-09,40171,35982,908
"20",2020-02-10,42638,37626,1016
"21",2020-02-11,44653,38791,1113
"22",2020-02-12,58761,51591,1259
"23",2020-02-13,63851,55748,1380
"24",2020-02-14,66492,56873,1523
"25",2020-02-15,68500,57416,1665
"26",2020-02-16,70548,57934,1770
"27",2020-02-17,72436,58016,1868
"28",2020-02-18,74185,57805,2004
"29",2020-02-19,74576,56301,2118
"30",2020-02-20,75465,54921,2236
"31",2020-02-21,76288,53284,2345
"32",2020-02-22,76936,52093,2442
"33",2020-02-23,77150,49824,2592
"34",2020-02-24,77658,47765,2663
"35",2020-02-25,78064,45600,2715
"36",2020-02-26,78497,43258,2744
"37",2020-02-27,78824,39919,2788
"38",2020-02-28,79251,37414,2835
"39",2020-02-29,79824,35129,2870
"40",2020-03-01,80026,32616,2912
"41",2020-03-02,80151,30004,2943
"42",2020-03-03,80270,27423,2981
"43",2020-03-04,80409,25353,3012
"44",2020-03-05,80552,23784,3042
"45",2020-03-06,80651,22179,3070
"46",2020-03-07,80695,20533,3097
"47",2020-03-08,80735,19016,3119
"48",2020-03-09,80754,17721,3136
"49",2020-03-10,80778,16136,3158
"50",2020-03-11,80793,14831,3169
"51",2020-03-12,80813,13524,3176
"52",2020-03-13,80824,12088,3189
"53",2020-03-14,80844,10733,3199
"54",2020-03-15,80860,9893,3213
"55",2020-03-16,80881,8967,3226
"56",2020-03-17,80894,8056,3237
"57",2020-03-18,80928,7263,3245
"58",2020-03-19,80967,6569,3248
"59",2020-03-20,81008,6013,3255
"60",2020-03-21,81054,5353,3261
"61",2020-03-22,81093,5120,3270
"62",2020-03-23,81171,4735,3277
"63",2020-03-24,81218,4287,3281
"64",2020-03-25,81285,3947,3287
"65",2020-03-26,81340,3460,3292
"66",2020-03-27,81394,3128,3295
"67",2020-03-28,81439,2691,3300
"68",2020-03-29,81439,2691,3300
"69",2020-03-30,81518,2161,3305
"70",2020-03-31,81544,2004,3312
"71",2020-04-01,81589,1863,3318
"72",2020-04-02,81620,1727,3322
"73",2020-04-03,81639,1558,3326
"74",2020-04-04,81669,1376,3329
"75",2020-04-05,81708,1299,3331
"76",2020-04-06,81740,1242,3331
"77",2020-04-07,81802,1190,3333
"78",2020-04-08,81865,1160,3335
"79",2020-04-09,81907,1116,3336
"80",2020-04-10,81953,1089,3339
"81",2020-04-11,82052,1138,3339
"82",2020-04-12,82160,1156,3341
"83",2020-04-13,82249,1170,3341
"84",2020-04-14,82295,1137,3342
"85",2020-04-15,82341,1107,3342
"86",2020-04-16,82365,1081,3342
"87",2020-04-17,82692,66,4632
"88",2020-04-18,82719,1058,4632
"89",2020-04-19,82735,1041,4632
"90",2020-04-20,82747,1031,4632
"91",2020-04-21,82758,1003,4632
"92",2020-04-22,82788,1005,4632
"93",2020-04-23,82798,959,4632
"94",2020-04-24,82804,915,4632
"95",2020-04-25,82816,838,4632
"96",2020-04-26,82827,801,4632
"97",2020-04-27,82830,723,4633
"98",2020-04-28,82836,648,4633
