"","Date","Total.Cases","Active.Cases","Deaths"
"1",2020-02-15,2,0,0
"2",2020-02-16,2,0,0
"3",2020-02-17,2,0,0
"4",2020-02-18,2,0,0
"5",2020-02-19,2,0,0
"6",2020-02-20,2,0,0
"7",2020-02-21,2,0,0
"8",2020-02-22,2,0,0
"9",2020-02-23,2,0,0
"10",2020-02-24,3,1,0
"11",2020-02-25,9,7,0
"12",2020-02-26,13,11,0
"13",2020-02-27,25,23,0
"14",2020-02-28,33,31,0
"15",2020-02-29,58,56,0
"16",2020-03-01,84,82,0
"17",2020-03-02,120,118,0
"18",2020-03-03,165,162,1
"19",2020-03-04,228,224,2
"20",2020-03-05,282,276,3
"21",2020-03-06,401,387,8
"22",2020-03-07,525,485,10
"23",2020-03-08,674,625,17
"24",2020-03-09,1231,1169,30
"25",2020-03-10,1695,1524,36
"26",2020-03-11,2277,2039,55
"27",2020-03-12,3146,2871,86
"28",2020-03-13,5232,4906,133
"29",2020-03-14,6391,5678,196
"30",2020-03-15,7988,7177,294
"31",2020-03-16,9942,9070,342
"32",2020-03-17,11826,10265,533
"33",2020-03-18,14789,13050,638
"34",2020-03-19,18077,16139,831
"35",2020-03-20,21571,18890,1093
"36",2020-03-21,25496,21990,1381
"37",2020-03-22,28768,24421,1772
"38",2020-03-23,35136,29470,2311
"39",2020-03-24,42058,35273,2991
"40",2020-03-25,49515,40501,3647
"41",2020-03-26,57786,46406,4365
"42",2020-03-27,65719,51224,5138
"43",2020-03-28,73235,54968,5982
"44",2020-03-29,80110,58598,6803
"45",2020-03-30,87956,63460,7716
"46",2020-03-31,95923,68200,8464
"47",2020-04-01,104118,72084,9387
"48",2020-04-02,112065,74974,10348
"49",2020-04-03,119199,77488,11198
"50",2020-04-04,126168,80002,11947
"51",2020-04-05,131646,80925,12641
"52",2020-04-06,136675,82897,13341
"53",2020-04-07,141942,84689,14045
"54",2020-04-08,148220,85407,14792
"55",2020-04-09,153222,85610,15447
