"","Date","Total.Cases","Active.Cases","Deaths"
"1",2020-02-15,12,7,1
"2",2020-02-16,12,7,1
"3",2020-02-17,12,6,1
"4",2020-02-18,12,4,1
"5",2020-02-19,12,4,1
"6",2020-02-20,12,4,1
"7",2020-02-21,12,4,1
"8",2020-02-22,12,1,1
"9",2020-02-23,12,1,1
"10",2020-02-24,12,0,1
"11",2020-02-25,14,2,1
"12",2020-02-26,18,5,2
"13",2020-02-27,38,25,2
"14",2020-02-28,57,44,2
"15",2020-02-29,100,86,2
"16",2020-03-01,130,116,2
"17",2020-03-02,191,176,3
"18",2020-03-03,212,196,4
"19",2020-03-04,285,269,4
"20",2020-03-05,423,404,7
"21",2020-03-06,653,632,9
"22",2020-03-07,949,921,16
"23",2020-03-08,1209,1178,19
"24",2020-03-09,1412,1370,30
"25",2020-03-10,1784,1739,33
"26",2020-03-11,2281,2221,48
"27",2020-03-12,2876,2803,61
"28",2020-03-13,3661,3570,79
"29",2020-03-14,4499,4396,91
"30",2020-03-15,5423,5284,127
"31",2020-03-16,6633,6473,148
"32",2020-03-17,7730,6953,175
"33",2020-03-18,9134,8268,264
"34",2020-03-19,10995,9328,372
"35",2020-03-20,12612,10575,450
"36",2020-03-21,14459,12310,562
"37",2020-03-22,16018,13144,674
"38",2020-03-23,19856,16796,860
"39",2020-03-24,22304,17923,1100
"40",2020-03-25,25233,20002,1331
"41",2020-03-26,29155,22511,1696
"42",2020-03-27,32964,25269,1995
"43",2020-03-28,37575,29561,2314
"44",2020-03-29,40174,30366,2606
"45",2020-03-30,44550,33599,3024
"46",2020-03-31,52128,39161,3523
"47",2020-04-01,56989,42022,4032
"48",2020-04-02,59105,41290,5387
"49",2020-04-03,82165,61650,6507
"50",2020-04-04,89953,66955,7560
"51",2020-04-05,92839,68578,8078
