"","Date","Total.Cases","Active.Cases","Deaths"
"1",2020-02-15,3,3,0
"2",2020-02-16,3,3,0
"3",2020-02-17,3,3,0
"4",2020-02-18,3,3,0
"5",2020-02-19,3,3,0
"6",2020-02-20,4,4,0
"7",2020-02-21,21,19,1
"8",2020-02-22,79,75,2
"9",2020-02-23,157,152,3
"10",2020-02-24,229,221,7
"11",2020-02-25,323,310,11
"12",2020-02-26,470,455,12
"13",2020-02-27,655,593,17
"14",2020-02-28,889,822,21
"15",2020-02-29,1128,1049,29
"16",2020-03-01,1701,1577,41
"17",2020-03-02,2036,1835,52
"18",2020-03-03,2502,2263,79
"19",2020-03-04,3089,2706,107
"20",2020-03-05,3858,3296,148
"21",2020-03-06,4636,3913,197
"22",2020-03-07,5883,5061,233
"23",2020-03-08,7375,6387,366
"24",2020-03-09,9172,7985,463
"25",2020-03-10,10149,8514,631
"26",2020-03-11,12462,10590,827
"27",2020-03-12,15113,12839,1016
"28",2020-03-13,17660,14955,1266
"29",2020-03-14,21157,17750,1441
"30",2020-03-15,24747,20603,1809
"31",2020-03-16,27980,23073,2158
"32",2020-03-17,31506,26062,2503
"33",2020-03-18,35713,28710,2978
"34",2020-03-19,41035,33190,3405
"35",2020-03-20,47021,37860,4032
"36",2020-03-21,53578,42681,4825
"37",2020-03-22,59138,46638,5476
"38",2020-03-23,63927,50418,6077
"39",2020-03-24,69176,54030,6820
"40",2020-03-25,74386,57521,7503
"41",2020-03-26,80589,62013,8215
"42",2020-03-27,86498,66414,9134
"43",2020-03-28,92472,70065,10023
"44",2020-03-29,97689,73880,10779
"45",2020-03-30,101739,75528,11591
"46",2020-03-31,105792,77635,12428
"47",2020-04-01,110574,80572,13155
"48",2020-04-02,115242,83049,13915
"49",2020-04-03,119827,85388,14681
"50",2020-04-04,124632,88274,15362
"51",2020-04-05,128948,91426,15887
"52",2020-04-06,132547,93187,16523
"53",2020-04-07,135586,94046,17127
"54",2020-04-08,139422,95262,17669
"55",2020-04-09,143626,96877,18279
"56",2020-04-10,147577,98273,18849
"57",2020-04-11,152271,100269,19468
"58",2020-04-12,156363,102253,19899
"59",2020-04-13,159516,103616,20465
"60",2020-04-14,162488,104291,21067
"61",2020-04-15,165155,105418,21645
"62",2020-04-16,168941,106607,22170
"63",2020-04-17,172434,106962,22745
"64",2020-04-18,175925,107771,23227
"65",2020-04-19,178972,108257,23660
"66",2020-04-20,181228,108237,24114
"67",2020-04-21,183957,107709,24648
"68",2020-04-22,187327,107669,25085
"69",2020-04-23,189973,106848,25549
"70",2020-04-24,192994,106527,25969
"71",2020-04-25,195351,105847,26384
"72",2020-04-26,197675,106103,26644
"73",2020-04-27,199414,105813,26977
"74",2020-04-28,201505,105205,27359
"75",2020-04-29,203591,104657,27682
"76",2020-04-30,205463,101551,27967
"77",2020-05-01,207428,100943,28236
"78",2020-05-02,209328,100704,28710
"79",2020-05-03,210717,100179,28884
"80",2020-05-04,211938,99980,29079
"81",2020-05-05,213013,98467,29315
"82",2020-05-06,214457,91528,29684
"83",2020-05-07,215858,89624,29958
"83",2020-05-08,217185,87961,30201
