"","Date","Total.Cases","Active.Cases","Deaths"
"1",2020-02-15,28,19,0
"2",2020-02-16,29,20,0
"3",2020-02-17,30,20,0
"4",2020-02-18,31,19,0
"5",2020-02-19,58,42,0
"6",2020-02-20,111,94,1
"7",2020-02-21,209,190,2
"8",2020-02-22,436,416,2
"9",2020-02-23,602,578,6
"10",2020-02-24,833,803,8
"11",2020-02-25,977,944,11
"12",2020-02-26,1261,1225,12
"13",2020-02-27,1766,1729,13
"14",2020-02-28,2337,2297,16
"15",2020-02-29,3150,3109,17
"16",2020-03-01,3736,3685,21
"17",2020-03-02,4335,4277,28
"18",2020-03-03,5186,5120,32
"19",2020-03-04,5621,5498,35
"20",2020-03-05,6284,6107,42
"21",2020-03-06,6593,6415,43
"22",2020-03-07,7041,6875,48
"23",2020-03-08,7313,7097,50
"24",2020-03-09,7478,7178,53
"25",2020-03-10,7513,7165,60
"26",2020-03-11,7755,7362,60
"27",2020-03-12,7869,7293,66
"28",2020-03-13,7979,7198,67
"29",2020-03-14,8086,7180,72
"30",2020-03-15,8162,7253,75
"31",2020-03-16,8236,7024,75
"32",2020-03-17,8320,6838,81
"33",2020-03-18,8413,6789,84
"34",2020-03-19,8565,6527,91
"35",2020-03-20,8652,6325,94
"36",2020-03-21,8799,6085,102
"37",2020-03-22,8897,5884,104
"38",2020-03-23,8961,5684,111
"39",2020-03-24,9037,5410,120
"40",2020-03-25,9137,5281,126
"41",2020-03-26,9241,4966,131
"42",2020-03-27,9332,4665,139
"43",2020-03-28,9478,4523,144
"44",2020-03-29,9583,4398,152
"45",2020-03-30,9661,4275,158
"46",2020-03-31,9786,4216,162
"47",2020-04-01,9887,4155,165
"48",2020-04-02,9976,3979,169
"49",2020-04-03,10062,3867,174
"50",2020-04-04,10156,3654,177
"51",2020-04-05,10237,3591,183
"52",2020-04-06,10284,3500,186
"53",2020-04-07,10331,3445,192
"54",2020-04-08,10384,3408,200
