"","Date","Total.Cases","Active.Cases","Deaths"
"1",2020-02-15,0,0,0
"2",2020-02-16,0,0,0
"3",2020-02-17,0,0,0
"4",2020-02-18,0,0,0
"5",2020-02-19,0,0,0
"6",2020-02-20,0,0,0
"7",2020-02-21,0,0,0
"8",2020-02-22,0,0,0
"9",2020-02-23,0,0,0
"10",2020-02-24,0,0,0
"11",2020-02-25,0,0,0
"12",2020-02-26,0,0,0
"13",2020-02-27,1,1,0
"14",2020-02-28,2,2,0
"15",2020-02-29,7,7,0
"16",2020-03-01,10,10,0
"17",2020-03-02,18,18,0
"18",2020-03-03,23,23,0
"19",2020-03-04,38,38,0
"20",2020-03-05,82,82,0
"21",2020-03-06,128,127,1
"22",2020-03-07,188,187,1
"23",2020-03-08,265,262,3
"24",2020-03-09,321,317,4
"25",2020-03-10,382,378,4
"26",2020-03-11,503,498,5
"27",2020-03-12,614,607,5
"28",2020-03-13,804,792,10
"29",2020-03-14,959,945,12
"30",2020-03-15,1135,1113,20
"31",2020-03-16,1413,1387,24
"32",2020-03-17,1705,1660,43
"33",2020-03-18,2051,1991,58
"34",2020-03-19,2460,2382,76
"35",2020-03-20,2994,2886,106
"36",2020-03-21,3631,3493,136
"37",2020-03-22,4204,4023,179
"38",2020-03-23,4749,4534,213
"39",2020-03-24,5560,5282,276
"40",2020-03-25,6412,6053,356
"41",2020-03-26,7431,6994,434
"42",2020-03-27,8603,8054,546
"43",2020-03-28,9762,9120,639
"44",2020-03-29,10866,9845,771
"45",2020-03-30,11750,10636,864
"46",2020-03-31,12595,11306,1039
"47",2020-04-01,13614,12191,1173
"48",2020-04-02,14697,13108,1339
"49",2020-04-03,15723,13986,1487
"50",2020-04-04,16627,14726,1651
"51",2020-04-05,17851,15835,1766
"52",2020-04-06,18803,16686,1867
"53",2020-04-07,19580,17229,2101
"54",2020-04-08,20549,18051,2240
"55",2020-04-09,21762,19116,2396
"56",2020-04-10,23907,20336,2511
"57",2020-04-11,24413,21520,2643
"58",2020-04-12,25587,22600,2737
"59",2020-04-13,26551,23478,2823
"60",2020-04-14,27419,24224,2945
"61",2020-04-15,28153,24769,3134
"62",2020-04-16,29214,25649,3315
"63",2020-04-17,30449,26740,3459
"64",2020-04-18,31589,27738,3601
"65",2020-04-19,32655,28721,3684
"66",2020-04-20,33405,29404,3751
"67",2020-04-21,34134,29968,3916
"68",2020-04-22,34842,30538,4054
"69",2020-04-23,35729,31302,4177
"70",2020-04-24,36535,31996,4289
"71",2020-04-25,37190,32531,4409
"72",2020-04-26,37845,33120,4475
"73",2020-04-27,38245,33477,4518
"74",2020-04-28,38416,33600,4566
"75",2020-04-29,38802,33841,4711
"76",2020-04-30,39316,34271,4795
"77",2020-05-01,39791,34648,4893
"78",2020-05-02,40236,34999,4987
"79",2020-05-03,40571,35265,5056
"80",2020-05-04,40770,35438,5082
"81",2020-05-05,41087,35669,5168
"82",2020-05-06,41319,35865,5204
"83",2020-05-07,41774,36236,5288
