"","Date","Total.Cases","Active.Cases","Deaths"
"1",2020-02-15,1,1,0
"2",2020-02-16,1,1,0
"3",2020-02-17,1,1,0
"4",2020-02-18,1,1,0
"5",2020-02-19,1,1,0
"6",2020-02-20,1,1,0
"7",2020-02-21,1,1,0
"8",2020-02-22,1,1,0
"9",2020-02-23,1,1,0
"10",2020-02-24,1,1,0
"11",2020-02-25,1,1,0
"12",2020-02-26,2,2,0
"13",2020-02-27,7,7,0
"14",2020-02-28,11,11,0
"15",2020-02-29,13,13,0
"16",2020-03-01,14,14,0
"17",2020-03-02,15,15,0
"18",2020-03-03,30,29,0
"19",2020-03-04,52,51,0
"20",2020-03-05,94,93,0
"21",2020-03-06,137,136,0
"22",2020-03-07,161,160,0
"23",2020-03-08,203,202,0
"24",2020-03-09,260,259,0
"25",2020-03-10,355,354,0
"26",2020-03-11,500,498,1
"27",2020-03-12,687,685,1
"28",2020-03-13,814,812,1
"29",2020-03-14,961,958,2
"30",2020-03-15,1040,1036,3
"31",2020-03-16,1121,1113,7
"32",2020-03-17,1196,1187,8
"33",2020-03-18,1301,1276,10
"34",2020-03-19,1439,1412,11
"35",2020-03-20,1639,1607,16
"36",2020-03-21,1770,1734,20
"37",2020-03-22,1934,1897,21
"38",2020-03-23,2046,2003,27
"39",2020-03-24,2299,2243,40
"40",2020-03-25,2526,2448,62
"41",2020-03-26,2840,2747,77
"42",2020-03-27,3069,2948,105
"43",2020-03-28,3447,3326,105
"44",2020-03-29,3700,3574,110
"45",2020-03-30,4028,3866,146
"46",2020-03-31,4435,4239,180
"47",2020-04-01,4947,4605,239
"48",2020-04-02,5568,5157,308
"49",2020-04-03,6131,5568,358
"50",2020-04-04,6443,5865,373
"51",2020-04-05,6830,6224,401
"52",2020-04-06,7206,6524,477
"53",2020-04-07,7693,6897,591
"54",2020-04-08,8419,7527,687
"55",2020-04-09,9141,8143,793
"56",2020-04-10,9685,8434,870
"57",2020-04-11,10151,8883,887
"58",2020-04-12,10483,9203,899
"59",2020-04-13,10948,9648,919
"60",2020-04-14,11445,10031,1033
"61",2020-04-15,11927,10343,1203
"62",2020-04-16,12540,10657,1333
"63",2020-04-17,13216,11266,1400
"64",2020-04-18,13822,11761,1511
"65",2020-04-19,14385,12295,1540
"66",2020-04-20,14777,12647,1580
"67",2020-04-21,15322,13007,1765
"68",2020-04-22,16004,13517,1937
"69",2020-04-23,16755,14184,2021
"70",2020-04-24,17567,14865,2152
"71",2020-04-25,18177,14980,2192
"72",2020-04-26,18640,15441,2194
"73",2020-04-27,18926,15647,2274
"74",2020-04-28,19621,16261,2355
"75",2020-04-29,20302,16835,2462
"76",2020-04-30,21092,17501,2586
"77",2020-05-01,21520,17862,2653
"78",2020-05-02,22082,18408,2669
"79",2020-05-03,22317,18633,2679
