"","Date","Total.Cases","Active.Cases","Deaths"
"1",2020-02-15,9,1,0
"2",2020-02-16,9,1,0
"3",2020-02-17,9,1,0
"4",2020-02-18,9,1,0
"5",2020-02-19,9,1,0
"6",2020-02-20,9,1,0
"7",2020-02-21,9,1,0
"8",2020-02-22,9,1,0
"9",2020-02-23,13,5,0
"10",2020-02-24,13,5,0
"11",2020-02-25,13,5,0
"12",2020-02-26,13,5,0
"13",2020-02-27,16,8,0
"14",2020-02-28,20,12,0
"15",2020-02-29,23,15,0
"16",2020-03-01,36,28,0
"17",2020-03-02,39,31,0
"18",2020-03-03,51,43,0
"19",2020-03-04,87,79,0
"20",2020-03-05,116,97,1
"21",2020-03-06,164,144,2
"22",2020-03-07,209,189,2
"23",2020-03-08,278,257,3
"24",2020-03-09,321,298,5
"25",2020-03-10,383,359,6
"26",2020-03-11,460,434,8
"27",2020-03-12,590,562,10
"28",2020-03-13,798,769,11
"29",2020-03-14,1140,1101,21
"30",2020-03-15,1391,1336,35
"31",2020-03-16,1543,1436,55
"32",2020-03-17,1950,1814,71
"33",2020-03-18,2626,2457,104
"34",2020-03-19,3269,3060,144
"35",2020-03-20,3983,3741,177
"36",2020-03-21,5018,4692,233
"37",2020-03-22,5683,5309,281
"38",2020-03-23,6650,6180,335
"39",2020-03-24,8077,7520,422
"40",2020-03-25,9529,8931,463
"41",2020-03-26,11658,10945,578
"42",2020-03-27,14543,13649,759
"43",2020-03-28,17089,15935,1019
"44",2020-03-29,19522,18159,1228
"45",2020-03-30,22141,20598,1408
"46",2020-03-31,25150,23226,1789
"47",2020-04-01,29474,26987,2352
"48",2020-04-02,33718,30662,2921
