"","Date","Total.Cases","Active.Cases","Deaths"
"1",2020-02-15,15,12,0
"2",2020-02-16,15,12,0
"3",2020-02-17,15,12,0
"4",2020-02-18,15,12,0
"5",2020-02-19,15,12,0
"6",2020-02-20,15,10,0
"7",2020-02-21,35,29,0
"8",2020-02-22,35,29,0
"9",2020-02-23,35,28,0
"10",2020-02-24,53,48,0
"11",2020-02-25,57,51,0
"12",2020-02-26,60,54,0
"13",2020-02-27,60,54,0
"14",2020-02-28,63,57,0
"15",2020-02-29,68,60,1
"16",2020-03-01,75,65,1
"17",2020-03-02,100,85,6
"18",2020-03-03,124,106,9
"19",2020-03-04,158,138,11
"20",2020-03-05,221,200,12
"21",2020-03-06,319,289,15
"22",2020-03-07,435,401,19
"23",2020-03-08,541,504,22
"24",2020-03-09,704,663,26
"25",2020-03-10,994,949,30
"26",2020-03-11,1301,1248,38
"27",2020-03-12,1630,1581,41
"28",2020-03-13,2183,2126,48
"29",2020-03-14,2770,2664,57
"30",2020-03-15,3613,3484,69
"31",2020-03-16,4596,4434,87
"32",2020-03-17,6344,6127,110
"33",2020-03-18,9197,8940,150
"34",2020-03-19,13779,13464,206
"35",2020-03-20,19367,18965,255
"36",2020-03-21,24192,23720,301
"37",2020-03-22,33592,33000,414
"38",2020-03-23,43781,42930,555
"39",2020-03-24,54856,53697,780
"40",2020-03-25,68211,66790,1027
"41",2020-03-26,85435,82272,1295
"42",2020-03-27,104126,99909,1695
"43",2020-03-28,123578,118127,2220
"44",2020-03-29,143491,136349,2583
"45",2020-03-30,163844,155182,3156
"46",2020-03-31,188530,177390,3889
"47",2020-04-01,215003,201023,5102
"48",2020-04-02,244877,228404,6070
"49",2020-04-03,277161,257486,7392
"50",2020-04-04,311357,288080,8452
"51",2020-04-05,336673,309080,9616
"52",2020-04-06,367004,336462,10871
"53",2020-04-07,400335,365820,12841
"54",2020-04-08,434927,397248,14788
"55",2020-04-09,468566,425947,16691
"56",2020-04-10,502876,456815,18747
"57",2020-04-11,532879,481849,20577
"58",2020-04-12,560300,505561,22105
"59",2020-04-13,586941,526353,23640
"60",2020-04-14,613886,549017,26047
"61",2020-04-15,644089,566859,28529
"62",2020-04-16,677570,585445,34617
"63",2020-04-17,709735,612071,37154
"64",2020-04-18,738792,631509,39014
"65",2020-04-19,764636,652874,40575
