"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"1",2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2020-02-27,1,1,0,0,0,1,1,0,0,0,1,0,1
"14",2020-02-28,2,2,0,0,0,1,1,0,0,0,0.5,0,1
"15",2020-02-29,7,7,0,0,0,5,5,0,0,0,0.714285714285714,0,1
"16",2020-03-01,10,10,0,0,0,3,3,0,0,0,0.3,0,1
"17",2020-03-02,18,18,0,0,0,8,8,0,0,0,0.444444444444444,0,1
"18",2020-03-03,23,23,0,0,0,5,5,0,0,0,0.217391304347826,0,1
"19",2020-03-04,38,38,0,0,0,15,15,0,0,0,0.394736842105263,0,1
"20",2020-03-05,82,82,0,0,0,44,44,0,0,0,0.536585365853659,0,1
"21",2020-03-06,128,127,1,1,0,46,45,1,1,0,0.362204724409449,1,0.9921875
"22",2020-03-07,188,187,1,1,0,60,60,0,0,0,0.320855614973262,1,0.99468085106383
"23",2020-03-08,265,262,3,3,0,77,75,2,2,0,0.293893129770992,1,0.988679245283019
"24",2020-03-09,321,317,4,4,0,56,55,1,1,0,0.176656151419558,1,0.987538940809969
"25",2020-03-10,382,378,4,4,0,61,61,0,0,0,0.161375661375661,1,0.989528795811518
"26",2020-03-11,503,498,5,5,0,121,120,1,1,0,0.242971887550201,1,0.990059642147117
"27",2020-03-12,614,607,5,7,2,111,109,2,0,2,0.182866556836903,0.714285714285714,0.988599348534202
"28",2020-03-13,804,792,10,12,2,190,185,5,5,0,0.23989898989899,0.833333333333333,0.985074626865672
"29",2020-03-14,959,945,12,14,2,155,153,2,2,0,0.164021164021164,0.857142857142857,0.985401459854015
"30",2020-03-15,1135,1113,20,22,2,176,168,8,8,0,0.158131176999102,0.909090909090909,0.980616740088106
"31",2020-03-16,1413,1387,24,26,2,278,274,4,4,0,0.200432588320115,0.923076923076923,0.981599433828733
"32",2020-03-17,1705,1660,43,45,2,292,273,19,19,0,0.175903614457831,0.955555555555556,0.973607038123167
"33",2020-03-18,2051,1991,58,60,2,346,331,15,15,0,0.173782019085887,0.966666666666667,0.970745977571916
"34",2020-03-19,2460,2382,76,78,2,409,391,18,18,0,0.171704450041982,0.974358974358974,0.968292682926829
"35",2020-03-20,2994,2886,106,108,2,534,504,30,30,0,0.185031185031185,0.981481481481482,0.963927855711423
"36",2020-03-21,3631,3493,136,138,2,637,607,30,30,0,0.182364729458918,0.985507246376812,0.961993941063068
"37",2020-03-22,4204,4023,179,181,2,573,530,43,43,0,0.142431021625652,0.988950276243094,0.956945765937203
"38",2020-03-23,4749,4534,213,215,2,545,511,34,34,0,0.120202911336568,0.990697674418605,0.954727311012845
"39",2020-03-24,5560,5282,276,278,2,811,748,63,63,0,0.153540325634229,0.992805755395683,0.95
"40",2020-03-25,6412,6053,356,359,3,852,771,81,80,1,0.140756649595242,0.991643454038997,0.944011228945727
"41",2020-03-26,7431,6994,434,437,3,1019,941,78,78,0,0.14569631112382,0.993135011441648,0.941192302516485
"42",2020-03-27,8603,8054,546,549,3,1172,1060,112,112,0,0.145517755152719,0.994535519125683,0.936185051726142
"43",2020-03-28,9762,9120,639,642,3,1159,1066,93,93,0,0.127083333333333,0.995327102803738,0.934234787953288
"44",2020-03-29,10866,9845,771,1021,250,1104,725,379,132,247,0.112138141188421,0.755142017629775,0.906037180195104
"45",2020-03-30,11750,10636,864,1114,250,884,791,93,93,0,0.0831139526137646,0.775583482944345,0.905191489361702
"46",2020-03-31,12595,11306,1039,1289,250,845,670,175,175,0,0.0747390765964974,0.806051202482545,0.897657800714569
"47",2020-04-01,13614,12191,1173,1423,250,1019,885,134,134,0,0.0835862521532278,0.824314827828531,0.895475246070222
"48",2020-04-02,14697,13108,1339,1589,250,1083,917,166,166,0,0.0826212999694843,0.842668344870988,0.891882697149078
"49",2020-04-03,15723,13986,1487,1737,250,1026,878,148,148,0,0.0733590733590734,0.856073690270581,0.889524899828277
"50",2020-04-04,16627,14726,1651,1901,250,904,740,164,164,0,0.0613880211870162,0.868490268279853,0.885667889577194
"51",2020-04-05,17851,15835,1766,2016,250,1224,1109,115,115,0,0.0772971266182507,0.875992063492063,0.887065150411742
"52",2020-04-06,18803,16686,1867,2117,250,952,851,101,101,0,0.0570538175716169,0.881908360888049,0.887411583257991
"53",2020-04-07,19580,17229,2101,2351,250,777,543,234,234,0,0.0450983806372976,0.893662271373883,0.879928498467824
"54",2020-04-08,20549,18051,2240,2498,258,969,822,147,139,8,0.053681236496593,0.896717373899119,0.878436906905446
"55",2020-04-09,21762,19116,2396,2646,250,1213,1065,148,156,-8,0.0634546976354886,0.90551776266062,0.878411910669975
"56",2020-04-10,23907,20336,2511,3571,1060,2145,1220,925,115,810,0.105477970102282,0.703164379725567,0.850629522733927
