"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"1",2020-02-15,1,1,0,0,0,0,0,0,0,0,0,0,1
"2",2020-02-16,1,1,0,0,0,0,0,0,0,0,0,0,1
"3",2020-02-17,1,1,0,0,0,0,0,0,0,0,0,0,1
"4",2020-02-18,1,1,0,0,0,0,0,0,0,0,0,0,1
"5",2020-02-19,1,1,0,0,0,0,0,0,0,0,0,0,1
"6",2020-02-20,1,1,0,0,0,0,0,0,0,0,0,0,1
"7",2020-02-21,1,1,0,0,0,0,0,0,0,0,0,0,1
"8",2020-02-22,1,1,0,0,0,0,0,0,0,0,0,0,1
"9",2020-02-23,1,1,0,0,0,0,0,0,0,0,0,0,1
"10",2020-02-24,1,1,0,0,0,0,0,0,0,0,0,0,1
"11",2020-02-25,1,1,0,0,0,0,0,0,0,0,0,0,1
"12",2020-02-26,2,2,0,0,0,1,1,0,0,0,0.5,0,1
"13",2020-02-27,7,7,0,0,0,5,5,0,0,0,0.714285714285714,0,1
"14",2020-02-28,11,11,0,0,0,4,4,0,0,0,0.363636363636364,0,1
"15",2020-02-29,13,13,0,0,0,2,2,0,0,0,0.153846153846154,0,1
"16",2020-03-01,14,14,0,0,0,1,1,0,0,0,0.0714285714285714,0,1
"17",2020-03-02,15,15,0,0,0,1,1,0,0,0,0.0666666666666667,0,1
"18",2020-03-03,30,29,0,1,1,15,14,1,0,1,0.517241379310345,0,0.966666666666667
"19",2020-03-04,52,51,0,1,1,22,22,0,0,0,0.431372549019608,0,0.980769230769231
"20",2020-03-05,94,93,0,1,1,42,42,0,0,0,0.451612903225806,0,0.98936170212766
"21",2020-03-06,137,136,0,1,1,43,43,0,0,0,0.316176470588235,0,0.992700729927007
"22",2020-03-07,161,160,0,1,1,24,24,0,0,0,0.15,0,0.993788819875776
"23",2020-03-08,203,202,0,1,1,42,42,0,0,0,0.207920792079208,0,0.995073891625616
"24",2020-03-09,260,259,0,1,1,57,57,0,0,0,0.22007722007722,0,0.996153846153846
"25",2020-03-10,355,354,0,1,1,95,95,0,0,0,0.268361581920904,0,0.997183098591549
"26",2020-03-11,500,498,1,2,1,145,144,1,1,0,0.291164658634538,0.5,0.996
"27",2020-03-12,687,685,1,2,1,187,187,0,0,0,0.272992700729927,0.5,0.997088791848617
"28",2020-03-13,814,812,1,2,1,127,127,0,0,0,0.1564039408867,0.5,0.997542997542998
"29",2020-03-14,961,958,2,3,1,147,146,1,1,0,0.153444676409186,0.666666666666667,0.99687825182102
"30",2020-03-15,1040,1036,3,4,1,79,78,1,1,0,0.0762548262548263,0.75,0.996153846153846
"31",2020-03-16,1121,1113,7,8,1,81,77,4,4,0,0.0727762803234501,0.875,0.992863514719001
"32",2020-03-17,1196,1187,8,9,1,75,74,1,1,0,0.06318449873631,0.888888888888889,0.99247491638796
"33",2020-03-18,1301,1276,10,25,15,105,89,16,2,14,0.0822884012539185,0.4,0.980784012298232
"34",2020-03-19,1439,1412,11,27,16,138,136,2,1,1,0.0977337110481586,0.407407407407407,0.981236970118138
"35",2020-03-20,1639,1607,16,32,16,200,195,5,5,0,0.124455507156192,0.5,0.980475899938987
"36",2020-03-21,1770,1734,20,36,16,131,127,4,4,0,0.0755478662053057,0.555555555555556,0.979661016949153
"37",2020-03-22,1934,1897,21,37,16,164,163,1,1,0,0.0864522930943595,0.567567567567568,0.980868665977249
