"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"1",2020-02-15,9,1,0,8,8,0,0,0,0,0,0,0,0.111111111111111
"2",2020-02-16,9,1,0,8,8,0,0,0,0,0,0,0,0.111111111111111
"3",2020-02-17,9,1,0,8,8,0,0,0,0,0,0,0,0.111111111111111
"4",2020-02-18,9,1,0,8,8,0,0,0,0,0,0,0,0.111111111111111
"5",2020-02-19,9,1,0,8,8,0,0,0,0,0,0,0,0.111111111111111
"6",2020-02-20,9,1,0,8,8,0,0,0,0,0,0,0,0.111111111111111
"7",2020-02-21,9,1,0,8,8,0,0,0,0,0,0,0,0.111111111111111
"8",2020-02-22,9,1,0,8,8,0,0,0,0,0,0,0,0.111111111111111
"9",2020-02-23,13,5,0,8,8,4,4,0,0,0,0.8,0,0.384615384615385
"10",2020-02-24,13,5,0,8,8,0,0,0,0,0,0,0,0.384615384615385
"11",2020-02-25,13,5,0,8,8,0,0,0,0,0,0,0,0.384615384615385
"12",2020-02-26,13,5,0,8,8,0,0,0,0,0,0,0,0.384615384615385
"13",2020-02-27,16,8,0,8,8,3,3,0,0,0,0.375,0,0.5
"14",2020-02-28,20,12,0,8,8,4,4,0,0,0,0.333333333333333,0,0.6
"15",2020-02-29,23,15,0,8,8,3,3,0,0,0,0.2,0,0.652173913043478
"16",2020-03-01,36,28,0,8,8,13,13,0,0,0,0.464285714285714,0,0.777777777777778
"17",2020-03-02,39,31,0,8,8,3,3,0,0,0,0.0967741935483871,0,0.794871794871795
"18",2020-03-03,51,43,0,8,8,12,12,0,0,0,0.27906976744186,0,0.843137254901961
"19",2020-03-04,87,79,0,8,8,36,36,0,0,0,0.455696202531646,0,0.908045977011494
"20",2020-03-05,116,97,1,19,18,29,18,11,1,10,0.298969072164948,0.0526315789473684,0.836206896551724
"21",2020-03-06,164,145,1,19,18,48,48,0,0,0,0.331034482758621,0.0526315789473684,0.884146341463415
"22",2020-03-07,209,190,1,19,18,45,45,0,0,0,0.236842105263158,0.0526315789473684,0.909090909090909
"23",2020-03-08,278,258,2,20,18,69,68,1,1,0,0.267441860465116,0.1,0.928057553956835
"24",2020-03-09,321,300,3,21,18,43,42,1,1,0,0.143333333333333,0.142857142857143,0.934579439252336
"25",2020-03-10,383,358,7,25,18,62,58,4,4,0,0.173184357541899,0.28,0.934725848563969
"26",2020-03-11,460,435,7,25,18,77,77,0,0,0,0.177011494252874,0.28,0.945652173913043
"27",2020-03-12,590,563,9,27,18,130,128,2,2,0,0.230905861456483,0.333333333333333,0.954237288135593
"28",2020-03-13,798,770,10,28,18,208,207,1,1,0,0.27012987012987,0.357142857142857,0.964912280701754
"29",2020-03-14,1140,1094,28,46,18,342,324,18,18,0,0.312614259597806,0.608695652173913,0.959649122807018
"30",2020-03-15,1391,1328,43,63,20,251,234,17,15,2,0.189006024096386,0.682539682539683,0.95470884255931
"31",2020-03-16,1543,1426,65,117,52,152,98,54,22,32,0.106591865357644,0.555555555555556,0.924173687621517
"32",2020-03-17,1950,1804,81,146,65,407,378,29,16,13,0.225609756097561,0.554794520547945,0.925128205128205
"33",2020-03-18,2626,2446,115,180,65,676,642,34,34,0,0.276369582992641,0.638888888888889,0.931454683929931
"34",2020-03-19,3269,3046,158,223,65,643,600,43,43,0,0.211096520026264,0.708520179372197,0.931783420006118
"35",2020-03-20,3983,3724,194,259,65,714,678,36,36,0,0.191729323308271,0.749034749034749,0.934973637961336
