"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"CN",2020-04-23,82798,959,4632,81839,77207,10,-46,56,0,56,0.0104275286757039,0.0565989320495118,0.0115824053721104
"KR",2020-04-23,10702,2051,240,8651,8411,8,-128,136,2,134,0.00390053632374451,0.0277424575193619,0.191646421229677
"SE",2020-04-23,16755,14184,2021,2571,550,751,667,84,84,0,0.0529469825155104,0.786075457020615,0.846553267681289
"NL",2020-04-23,35729,31302,4177,4427,250,887,764,123,123,0,0.0283368474857837,0.943528348768918,0.876095048839878
"DE",2020-04-23,153129,44254,5575,108875,103300,2481,-1679,4160,360,3800,0.0560627287928775,0.0512055109070034,0.288998164945895
"FR",2020-04-23,158183,94239,21856,63944,42088,2239,292,1947,516,1431,0.0237587410732287,0.341799074189916,0.595759342027904
"ES",2020-04-23,213024,101617,22157,111407,89250,4635,860,3775,440,3335,0.0456124467362744,0.198883373576167,0.477021368484302
"IT",2020-04-23,189973,106848,25549,83125,57576,2646,-821,3467,464,3003,0.0247641509433962,0.307356390977444,0.562437820111279
"UK",2020-04-23,138078,118996,18738,19082,344,4583,3945,638,638,0,0.0385138996268782,0.981972539566083,0.861802749170759
"US",2020-04-23,886442,750284,50236,136158,85922,37725,33276,4449,2577,1872,0.0502809602763753,0.368953715536362,0.846399426019977
