"","name","N","V","NP","VP","W","Region","Long","Lat"
"1","Aberdeen City",175751,143664,41472,37796,84094,"","-2.094278","57.149717"
"2","Aberdeenshire",206490,180045,46817,43007,108606,"","-2.490960","57.053856"
"3","Angus",93656,80302,16984,15472,45192,"","-2.889062","56.643558"
"4","Argyll & Bute",72014,63516,14445,13593,37143,"","-5.432345","56.038292"
"5","Clackmannanshire",39974,35410,5526,5123,19036,"","-3.791896","56.114073"
"6","Comhairle Nan Eilean Siar",22908,19758,5125,4693,10544,"","-6.384869","58.209435"
"7","Dumfries and Galloway",122052,106775,27737,25931,70039,"","-3.605120","55.070859"
"8","Dundee",118764,93592,22139,19873,39880,"","-2.970721","56.462018"
"9","East Ayrshire",99682,84262,16310,14896,44442,"","-4.498792","55.614719"
"10","East Dunbartonshire",86844,79011,14921,13872,48314,"","-4.156166","55.939240"
"11","East Lothian",81947,71798,16608,15122,44283,"","-2.774864","55.958674"
"12","East Renfrewshire",72993,66021,16381,15186,41690,"","-4.295033","55.800047"
"13","City of Edinburgh ",378039,319025,83041,75088,194638,"","-3.188267","55.953252"
"14","Falkirk",122460,108626,16739,15713,58030,"","-3.783913","56.001878"
"15","Fife",302165,254162,56494,51178,139788,"","-3.159860","56.200842"
"16","Glasgow",486296,364664,75053,63728,169347,"","-4.251806","55.864237"
"17","Highland",190787,165976,38788,35899,87739,"","-4.224721","57.477773"
"18","Inverclyde",62486,54601,14026,12786,27329,"","-4.771983","55.956476"
"19","Midlothian",69620,60395,13836,12578,33972,"","-3.066606","55.893118"
"20","Moray",75173,64205,15940,14618,36935,"","-3.318485","57.649454"
"21","North Ayrshire",113941,96173,19363,17687,49016,"","-4.669636","55.611567"
"22","North Lanarkshire",268738,226883,36411,31162,110922,"","-3.981097","55.783209"
"23","Orkney",17806,14907,4487,4224,10004,"","-2.962249","58.984674"
"24","Perth & Kinross",120052,104285,23428,21517,62714,"","-3.430838","56.394994"
"25","Renfrewshire",134745,117612,29145,26281,62067,"","-4.440114","55.847258"
"26","Scottish Borders",95542,83526,14903,13588,55553,"","-2.647540","55.570844"
"27","Shetland",18516,15635,3005,2807,9951,"","-1.149293","60.152987"
"28","South Ayrshire",94895,81716,20510,18613,47247,"","-4.629179","55.458564"
"29","South Lanarkshire",261193,222927,40615,37418,121800,"","-4.053679","55.777633"
"30","Stirling",69043,62225,10905,10180,37153,"","-3.936903","56.116523"
"31","West Dunbartonshire",71128,62532,9714,8972,28776,"","-4.564554","55.945287"
"32","West Lothian",138238,119115,25967,23622,65682,"","-3.518068","55.900708"

