Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3
West Fife and Coastal Villages,Fife,14331,6307,1933,890,0,992,553,0,505,0,0,605,0,0
Dunfermline North,Fife,10162,3816,997,884,0,1204,0,0,253,0,0,518,0,0
Dunfermline Central,Fife,14864,5751,1608,747,0,996,529,0,421,0,0,1028,0,0
Dunfermline South,Fife,15927,5771,1271,1194,0,1012,528,0,370,0,0,1190,0,0
Rosyth,Fife,10875,3865,1049,794,0,1076,306,0,223,0,0,275,0,0
Inverkeithing and Dalgety Bay,Fife,13311,5387,960,877,0,1377,662,0,832,0,0,497,0,0
The Lochs,Fife,9968,3726,1380,349,0,708,0,0,99,0,0,0,0,0
Cowdenbeath,Fife,10742,3706,1309,1117,0,895,180,0,126,0,0,79,0,0
Lochgelly and Cardenden,Fife,9826,3450,1210,1102,0,719,299,0,120,0,0,0,0,0
"Burntisland, Kinghorn and Western Kirkcaldy",Fife,11474,4780,1331,470,0,1216,377,0,254,0,0,739,0,0
Kirkcaldy North,Fife,11935,4416,1739,844,0,796,554,0,164,0,0,104,0,0
Kirkcaldy Central,Fife,11565,4197,1534,575,0,871,489,0,305,0,0,423,0,0
Kirkcaldy East,Fife,10749,3716,1111,745,0,742,610,0,224,0,0,104,0,0
Glenrothes West and Kinglassie,Fife,13711,5180,1424,708,0,941,910,349,155,0,0,83,0,0
"Glenrothes North, Leslie and Markinch",Fife,14278,5337,1253,930,0,1193,946,397,310,0,0,82,0,0
Glenrothes Central and Thornton,Fife,10797,4036,1051,833,0,1197,572,0,156,0,0,55,0,0
Howe of Fife and Tay Coast,Fife,11781,4755,513,0,0,1159,339,0,779,0,0,1367,211,0
Tay Bridgehead,Fife,10959,4778,798,0,0,1214,0,0,590,0,0,1182,994,0
St. Andrews,Fife,14331,4411,600,0,0,690,0,0,769,0,0,641,351,298
East Neuk and Landward,Fife,10249,3957,413,0,0,964,0,0,542,0,0,1066,526,0
Cupar,Fife,11170,4507,575,0,0,898,0,0,723,0,0,955,0,0
"Leven, Kennoway and Largo",Fife,14903,5911,1128,958,0,1383,744,0,402,0,0,589,0,0
"Buckhaven, Methil and Wemyss Villages",Fife,14114,5067,1430,732,0,830,490,0,60,0,0,21,0,0
