Ward,Council,N,V,Lab1,Lab2,Lab3,SNP1,SNP2,SNP3,Con1,Con2,Con3,LD1,LD2,LD3,Turnout
Carse of Gowrie,Perth and Kinross,0,3220,493,0,0,755,751,0,1045,0,0,176,0,0,0.4566
Strathmore,Perth and Kinross,0,5291,322,0,0,1117,1088,0,1252,0,0,1081,0,0,0.4712
Blairgowrie and Glens,Perth and Kinross,0,3929,322,0,0,1340,844,0,1316,0,0,107,0,0,0.4623
Highland,Perth and Kinross,0,3448,141,0,0,1141,527,0,825,0,0,215,0,0,0.503
Strathtay,Perth and Kinross,0,3190,303,0,0,918,822,0,1003,0,0,144,0,0,0.4599
Strathearn,Perth and Kinross,0,3689,323,0,0,1137,0,0,874,575,0,106,0,0,0.4435
Strathallan,Perth and Kinross,0,3128,312,0,0,770,419,0,1064,0,0,563,0,0,0.4146
Kinross-shire,Perth and Kinross,0,4645,230,0,0,652,411,0,696,0,0,789,87,0,0.478
Almond and Earn,Perth and Kinross,0,3689,369,0,0,892,628,0,1112,0,0,244,0,0,0.4379
Perth City South,Perth and Kinross,0,5011,552,0,0,911,471,0,1066,0,0,1288,287,0,0.459
Perth City North,Perth and Kinross,0,3952,913,526,0,1239,588,150,410,0,0,126,0,0,0.3295
Perth City Centre,Perth and Kinross,0,4239,739,0,0,923,625,0,703,0,0,894,0,0,0.3807
