"","PANo","Constituency.Name","Constituency.ID","N","V","Forename","Surname","W"
"3",3,"Aberdeen North","S14000001",67745,43936,"Kirsty","Blackman",24793
"4",4,"Aberdeen South","S14000002",68056,48551,"Callum","McCaig",20221
"5",5,"West Aberdeenshire and Kincardine","S14000058",73445,55196,"Stuart","Donaldson",22949
"6",6,"Airdrie and Shotts","S14000003",66715,44286,"Neil","Gray",23887
"12",12,"Angus","S14000004",65792,44485,"Mike","Weir",24130
"17",17,"Argyll and Bute","S14000005",68875,51883,"Brendan","O'Hara",22959
"23",23,"Ayr, Carrick and Cumnock","S14000006",72985,52209,"Corri","Wilson",25492
"24",24,"Central Ayrshire","S14000010",69982,50774,"Philippa","Whitford",26999
"25",25,"North Ayrshire and Arran","S14000048",75772,53869,"Patricia","Gibson",28641
"27",27,"Banff and Buchan","S14000007",68609,45629,"Eilidh","Whiteford",27487
"51",51,"Berwickshire, Roxburgh and Selkirk","S14000008",74179,55038,"Calum","Kerr",20145
"115",115,"Caithness, Sutherland and Easter Ross","S14000009",47558,34186,"Paul","Monaghan",15831
"156",156,"Coatbridge, Chryston and Bellshill","S14000011",73813,50698,"Philip","Boswell",28696
"173",173,"Cumbernauld, Kilsyth and Kirkintilloch East","S14000012",67009,49382,"Stuart","McDonald",29572
"207",207,"Dumfries and Galloway","S14000013",75249,56602,"Richard ","Arkless",23440
"208",208,"Dumfriesshire, Clydesdale and Tweeddale","S14000014",68483,52134,"Emma","Harper",19961
"209",209,"East Dunbartonshire","S14000018",66966,54871,"John","Nicolson",22093
"210",210,"West Dunbartonshire","S14000059",69193,51141,"Martin","Docherty",30198
"211",211,"Dundee East","S14000015",66960,48185,"Stewart","Hosie",28765
"212",212,"Dundee West","S14000016",66287,44714,"Chris","Law",27684
"213",213,"Dunfermline and West Fife","S14000017",78037,55890,"Douglas","Chapman",28096
"223",223,"East Kilbride, Strathaven and Lesmahagow","S14000019",83071,60539,"Lisa","Cameron",33678
"224",224,"East Lothian","S14000020",79481,59014,"George ","Kerevan",25104
"228",228,"Edinburgh East","S14000022",66178,47089,"Tommy","Sheppard",23188
"229",229,"Edinburgh North and Leith","S14000023",80978,58008,"Deidre","Brock",23742
"230",230,"Edinburgh South","S14000024",65846,49286,"Neil","Hay",16656
"231",231,"Edinburgh South West","S14000025",72178,51602,"Joanna","Cherry",22168
"232",232,"Edinburgh West","S14000026",71749,54858,"Michelle","Thomson",21378
"245",245,"Falkirk","S14000028",83380,60340,"John","McNally",34831
"250",250,"North East Fife","S14000049",62003,45263,"Stephen","Gethins",18523
"262",262,"Glasgow Central","S14000029",70945,39318,"Alison","Thewliss",20658
"263",263,"Glasgow East","S14000030",70378,42417,"Natalie","McGarry",24116
"264",264,"Glasgow North","S14000031",58875,36922,"Patrick","Grady",19610
"265",265,"Glasgow North East","S14000032",66678,37857,"Anne","McLaughlin",21976
"266",266,"Glasgow North West","S14000033",68418,43854,"Carol","Monaghan",23908
"267",267,"Glasgow South","S14000034",74051,48778,"Stewart","McDonald",26773
"268",268,"Glasgow South West","S14000035",66209,40921,"Christopher","Stephens",23388
"269",269,"Glenrothes","S14000036",69781,47598,"Peter","Grant",28459
"271",271,"Gordon","S14000037",79393,58161,"Alex","Salmond",27717
"330",330,"Inverclyde","S14000038",59350,44607,"Ronnie","Cowan",24585
"331",331,"Inverness, Nairn, Badenoch and Strathspey","S14000039",77268,57613,"Drew","Hendry",28838
"342",342,"Kilmarnock and Loudoun","S14000040",75233,53903,"Alan","Brown",30000
"345",345,"Kirkcaldy and Cowdenbeath","S14000041",75941,52892,"Roger","Mullin",27628
"348",348,"Lanark and Hamilton East","S14000042",78846,55258,"Angela","Crawley",26976
"369",369,"Linlithgow and East Falkirk","S14000043",86955,61597,"Martyn ","Day",32055
"374",374,"Livingston","S14000044",82373,57547,"Hannah","Bardell",32736
"396",396,"Midlothian","S14000045",67875,48331,"Owen","Thompson",24453
"403",403,"Moray","S14000046",71685,49280,"Angus","Robertson",24384
"406",406,"Motherwell and Wishaw","S14000047",70269,48237,"Marion","Fellows",27275
"407",407,"Na h-Eileanan an Iar","S14000027",21744,15938,"Angus","MacNeil",8662
"436",436,"Ochil and South Perthshire","S14000050",77370,57871,"Tasmina","Ahmed-Sheikh",26620
"441",441,"Orkney and Shetland","S14000051",34551,22728,"Danus","Skene",8590
"445",445,"Paisley and Renfrewshire North","S14000052",66206,50462,"Gavin","Newlands",25601
"446",446,"Paisley and Renfrewshire South","S14000053",61281,46226,"Mhairi","Black",23548
"450",450,"Perth and North Perthshire","S14000054",72447,54200,"Pete","Wishart",27379
"469",469,"East Renfrewshire","S14000021",69982,56730,"Kirsten","Oswald",23013
"479",479,"Ross, Skye and Lochaber","S14000055",54169,41811,"Ian","Blackford",20119
"487",487,"Rutherglen and Hamilton West","S14000056",82701,57615,"Margaret","Ferrier",30279
"533",533,"Stirling","S14000057",67236,52135,"Steven","Paterson",23783
