"","X","name","N","V","NP","VP","W","Region","NNP","VNP","a","ap","anp","v"
"1",1,"Aberdeen City",175751,143664,41472,37796,84094,NA,134279,105868,0.817429203816764,0.911361882716049,0.788418144311471,0.585351932286446
"2",2,"Aberdeenshire",206490,180045,46817,43007,108606,NA,159673,137038,0.871930844108673,0.918619304953329,0.858241531129245,0.603215862700991
"3",3,"Angus",93656,80302,16984,15472,45192,NA,76672,64830,0.857414367472452,0.910975035327367,0.845549874791319,0.562775522402929
"4",4,"Argyll & Bute",72014,63516,14445,13593,37143,NA,57569,49923,0.881995167606299,0.941017653167186,0.867185464399243,0.584781787266201
"5",5,"Clackmannanshire",39974,35410,5526,5123,19036,NA,34448,30287,0.885825786761395,0.927072023163228,0.87920924291686,0.537588251906241
"6",6,"Comhairle Nan Eilean Siar",22908,19758,5125,4693,10544,NA,17783,15065,0.862493452069146,0.915707317073171,0.84715739751448,0.533657252758376
"7",7,"Dumfries and Galloway",122052,106775,27737,25931,70039,NA,94315,80844,0.874832038803133,0.934888416194974,0.857170121401686,0.655949426363849
"8",8,"Dundee",118764,93592,22139,19873,39880,NA,96625,73719,0.788050250917787,0.897646686842224,0.762939197930142,0.426104795281648
"9",9,"East Ayrshire",99682,84262,16310,14896,44442,NA,83372,69366,0.845308079693425,0.913304721030043,0.832005949239553,0.527426360637061
"10",10,"East Dunbartonshire",86844,79011,14921,13872,48314,NA,71923,65139,0.909803786099212,0.929696401045506,0.905676904467278,0.611484476844996
"11",11,"East Lothian",81947,71798,16608,15122,44283,NA,65339,56676,0.876151658999109,0.910525048169557,0.867414560981956,0.616772054931892
"12",12,"East Renfrewshire",72993,66021,16381,15186,41690,NA,56612,50835,0.904483991615634,0.927049630669678,0.897954497279729,0.631465745747565
"13",13,"City of Edinburgh ",378039,319025,83041,75088,194638,NA,294998,243937,0.843894413010298,0.904228031936032,0.826910690919938,0.61010265653162
"14",14,"Falkirk",122460,108626,16739,15713,58030,NA,105721,92913,0.887032500408297,0.938706015891033,0.87885093784584,0.534218327104008
"15",15,"Fife",302165,254162,56494,51178,139788,NA,245671,202984,0.841136465176311,0.905901511664956,0.826243227731397,0.549995672051684
"16",16,"Glasgow",486296,364664,75053,63728,169347,NA,411243,300936,0.749880731077369,0.849106631313872,0.731771726205674,0.464391878551214
"17",17,"Highland",190787,165976,38788,35899,87739,NA,151999,130077,0.869954451823237,0.92551820150562,0.855775366943204,0.52862462042705
"18",18,"Inverclyde",62486,54601,14026,12786,27329,NA,48460,41815,0.873811733828378,0.91159275630971,0.862876599257119,0.500521968462116
"19",19,"Midlothian",69620,60395,13836,12578,33972,NA,55784,47817,0.867494972708992,0.909077768141081,0.85718127061523,0.562496895438364
"20",20,"Moray",75173,64205,15940,14618,36935,NA,59233,49587,0.854096550623229,0.917063989962359,0.837151587797343,0.575266723775407
"21",21,"North Ayrshire",113941,96173,19363,17687,49016,NA,94578,78486,0.844059644903941,0.913443164798843,0.829854723085707,0.509664874756948
"22",22,"North Lanarkshire",268738,226883,36411,31162,110922,NA,232327,195721,0.844253510854438,0.855840268050864,0.842437598729377,0.488895157415937
"23",23,"Orkney",17806,14907,4487,4224,10004,NA,13319,10683,0.837189711333258,0.941386226877647,0.802087243787071,0.671094116857852
"24",24,"Perth & Kinross",120052,104285,23428,21517,62714,NA,96624,82768,0.868665245060474,0.918430937339935,0.856598774631562,0.601371242268783
"25",25,"Renfrewshire",134745,117612,29145,26281,62067,NA,105600,91331,0.872848714238005,0.901732715731686,0.864876893939394,0.527726762575247
"26",26,"Scottish Borders",95542,83526,14903,13588,55553,NA,80639,69938,0.874233321471185,0.911762732335771,0.867297461526061,0.665098292747169
"27",27,"Shetland",18516,15635,3005,2807,9951,NA,15511,12828,0.844404839058112,0.934109816971714,0.827025981561473,0.636456667732651
"28",28,"South Ayrshire",94895,81716,20510,18613,47247,NA,74385,63103,0.861120185468149,0.907508532423208,0.848329636351415,0.57818542268344
"29",29,"South Lanarkshire",261193,222927,40615,37418,121800,NA,220578,185509,0.853495308067215,0.921285239443555,0.841013156343788,0.546367196436502
"30",30,"Stirling",69043,62225,10905,10180,37153,NA,58138,52045,0.901249945686022,0.933516735442458,0.895197633217517,0.597075130574528
"31",31,"West Dunbartonshire",71128,62532,9714,8972,28776,NA,61414,53560,0.879147452480036,0.923615400452955,0.872113850262155,0.460180387641528
"32",32,"West Lothian",138238,119115,25967,23622,65682,NA,112271,95493,0.861666112067594,0.909693071975969,0.850558024779329,0.551416698148848
