"","Constituency","N","V","NP","VP","Region"
"1","Aberdeen Central         ",57396,25285,9955,6948,"North East Scotland"
"2","Aberdeen Donside         ",56145,26845,10525,7488,"North East Scotland"
"3","Aberdeen S. and N. Kincardine",54338,28744,10937,8006,"North East Scotland"
"4","Aberdeenshire East       ",57591,30367,9869,7230,"North East Scotland"
"5","Aberdeenshire West       ",53779,28749,9678,7072,"North East Scotland"
"6","Airdrie & Shotts         ",51336,23981,5091,3526,"Central Scotland"
"7","Almond Valley            ",59896,30823,9063,6513,"Lothian"
"8","Angus North & Mearns     ",52124,25008,7228,5132,"North East Scotland"
"9","Angus South              ",54922,27718,7704,5781,"North East Scotland"
"10","Argyll & Bute            ",48925,26596,7642,5691,"Glasgow"
"11","Ayr                      ",61563,33491,11406,8829,"Highlands and Islands"
"12","Banffshire & Buchan Coast",53698,25099,9948,7061,"South Scotland"
"13","Caithness Sutherland & Ross",55121,28742,7323,5210,"North East Scotland"
"14","Carrick, Cumnock & Doon Valley",59368,28814,9292,6618,"Highlands and Islands"
"15","Clackmannanshire & Dunblane",49415,27493,5556,4312,"South Scotland"
"16","Clydebank & Milngavie    ",53018,28478,6719,5017,"Glasgow"
"17","Clydesdale               ",56828,30073,7296,5397,"Mid Scotland and Fife"
"18","Coatbridge & Chryston    ",51206,23384,4933,3689,"West Scotland"
"19","Cowdenbeath              ",54284,25750,7414,5115,"South Scotland"
"20","Cumbernauld & Kilsyth    ",48006,25323,5252,3887,"Central Scotland"
"21","Cunninghame North        ",56548,29662,8269,6109,"Mid Scotland and Fife"
"22","Cunninghame South        ",50926,22136,6370,4360,"Central Scotland"
"23","Dumbarton                ",53470,28622,7198,5321,"West Scotland"
"24","Dumfriesshire            ",59716,32007,11029,8529,"West Scotland"
"25","Dundee City East         ",54404,25892,8906,6355,"West Scotland"
"26","Dundee City West         ",53841,24605,8038,5801,"South Scotland"
"27","Dunfermline              ",55479,29391,8777,6231,"North East Scotland"
"28","East Kilbride            ",58251,30014,6062,4490,"North East Scotland"
"29","East Lothian             ",56333,32294,8876,6571,"Mid Scotland and Fife"
"30","Eastwood                 ",50476,32022,9365,7363,"Central Scotland"
"31","Edinburgh Central        ",53606,29238,9508,6649,"South Scotland"
"32","Edinburgh Eastern        ",55773,30885,9882,7126,"West Scotland"
"33","Edinburgh Northern & Leith",59138,31057,10216,6909,"Lothian"
"34","Edinburgh Pentlands      ",52620,30156,10009,7761,"Lothian"
"35","Edinburgh Southern       ",54868,34006,10790,8083,"Lothian"
"36","Edinburgh Western        ",56338,33604,10677,8135,"Lothian"
"37","Ettrick, Roxburgh & Berwickshire",54327,28918,5794,4780,"Lothian"
"38","Falkirk East             ",56408,28248,5749,4261,"Lothian"
"39","Falkirk West             ",55739,28310,6235,4449,"South Scotland"
"40","Galloway & West Dumfries ",56611,30120,9966,7674,"Central Scotland"
"41","Glasgow Anniesland       ",55411,24023,5970,4061,"Central Scotland"
"42","Glasgow Cathcart         ",58525,26388,5588,3906,"South Scotland"
"43","Glasgow Kelvin           ",61893,24794,4884,3223,"West Scotland"
"44","Glasgow Maryhill & Springburn",56622,20673,5550,3451,"Central Scotland"
"45","Glasgow Pollok           ",58429,23069,5480,3645,"Highlands and Islands"
"46","Glasgow Provan           ",55138,19319,5335,3297,"Glasgow"
"47","Glasgow Shettleston      ",55874,21313,4768,3163,"South Scotland"
"48","Glasgow Southside        ",52325,22811,5071,3343,"Mid Scotland and Fife"
"49","Greenock & Inverclyde    ",56989,28340,9577,6977,"Lothian"
"50","Hamilton, Larkhall & Stonehouse",56123,25446,5808,4022,"Glasgow"
"51","Inverness & Nairn        ",62183,32830,9999,7358,"Mid Scotland and Fife"
"52","Kilmarnock & Irvine Valle",63257,31984,8443,6154,"Lothian"
"53","Kirkcaldy                ",60079,27922,9654,6723,"South Scotland"
"54","Linlithgow               ",65025,34295,9598,7084,"Highlands and Islands"
"55","Mid Fife & Glenrothes    ",53701,26421,7531,5373,"Central Scotland"
"56","Midlothian North & Musselburgh",58264,29916,8831,6336,"Highlands and Islands"
"57","Midlothian South, Tweeddale",57781,31967,6772,5190,"Mid Scotland and Fife"
"58","Moray                    ",56215,28708,9262,6976,"Highlands and Islands"
"59","Motherwell & Wishaw      ",53610,24514,5007,3418,"West Scotland"
"60","Nah h-Eilanan an Iar     ",21833,13079,3297,2503,"Mid Scotland and Fife"
"61","North East Fife          ",58858,29832,7887,5691,"Mid Scotland and Fife"
"62","Orkney Islands           ",16406,8181,2043,1637,"Glasgow"
"63","Paisley                  ",52066,25673,10064,6419,"Glasgow"
"64","Perthshire North         ",53412,30070,7718,5947,"West Scotland"
"65","Perthshire South & Kinross",58093,31306,8011,6170,"West Scotland"
"66","Renfrewshire North & West",49060,27587,8410,5669,"Glasgow"
"67","Renfrewshire South       ",50221,27032,7963,5310,"Highlands and Islands"
"68","Rutherglen               ",57777,27196,6574,4579,"Glasgow"
"69","Shetland Islands         ",17505,9428,2046,1665,"Highlands and Islands"
"70","Skye, Lochaber & Badenoch",57028,32069,7814,5721,"Glasgow"
"71","Stirling                 ",52185,30515,6061,4720,"Mid Scotland and Fife"
"72","Strathkelvin & Bearsden  ",59323,33901,7621,5961,"West Scotland"
"73","Uddingston & Bellshill   ",55584,25096,5018,3090,"Central Scotland"
